Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
SAUDI ARAB,793504.28,2102.52,7.6,9.983,377.41
U ARAB EMTS,883566.02,1810.78,8.463,8.598,487.95
BANGLADESH PR,1493980.52,1490.26,14.31,7.076,1002.5
U S A,292735.33,1329.36,2.804,6.312,220.21
MALAYSIA,508277.02,975.1,4.868,4.63,521.26
U K,209665.21,798.35,2.008,3.791,262.62
KUWAIT,347931.58,755.81,3.333,3.589,460.34
NIGERIA,570956.14,664.35,5.469,3.154,859.42
INDONESIA,271242.84,582.67,2.598,2.767,465.52
SOUTH AFRICA,419586.92,556.45,4.019,2.642,754.04
PHILIPPINES,136261.74,493.77,1.305,2.344,275.96
NETHERLAND,102094.45,462.79,0.978,2.197,220.61
JAPAN,26302.65,452.4,0.252,2.148,58.14
COTE D IVOIRE,348735.78,397.42,3.34,1.887,877.5
PAKISTAN IR,195109.61,385.93,1.869,1.832,505.56
NEPAL,355403.08,378.29,3.404,1.796,939.5
SRI LANKA DSR,296889.4,372.38,2.844,1.768,797.28
ANGOLA,158333.55,361.36,1.517,1.716,438.16
GERMANY,63542.02,360.71,0.609,1.713,176.16
EGYPT A RP,124370.61,324.58,1.191,1.541,383.17
YEMEN REPUBLC,148701.09,290.51,1.424,1.379,511.86
RUSSIA,139389.44,268.62,1.335,1.275,518.91
JORDAN,40033.59,235.49,0.383,1.118,170.0
OMAN,195167.37,218.15,1.869,1.036,894.65
IRAN,51894.34,213.48,0.497,1.014,243.09
CANADA,57265.95,209.14,0.549,0.993,273.82
CHINA P RP,42978.33,205.57,0.412,0.976,209.07
AUSTRALIA,51809.83,194.37,0.496,0.923,266.55
SINGAPORE,92005.85,186.15,0.881,0.884,494.26
VIETNAM SOC REP,38566.02,181.2,0.369,0.86,212.84
SOMALIA,162516.05,180.54,1.557,0.857,900.17
BELGIUM,58900.24,179.85,0.564,0.854,327.5
SENEGAL,144264.35,178.7,1.382,0.848,807.3
CAMEROON,150631.17,159.9,1.443,0.759,942.03
FRANCE,39351.93,155.32,0.377,0.737,253.36
BENIN,113058.82,134.37,1.083,0.638,841.4
QATAR,69416.1,130.09,0.665,0.618,533.6
TOGO,106677.63,127.33,1.022,0.605,837.8
SPAIN,38125.55,126.28,0.365,0.6,301.91
BAHARAIN IS,82967.68,121.14,0.795,0.575,684.89
ITALY,40618.44,116.55,0.389,0.553,348.51
GUINEA,101363.8,112.12,0.971,0.532,904.07
CONGO P REP,33185.91,106.12,0.318,0.504,312.72
MOZAMBIQUE,64461.34,79.19,0.617,0.376,814.01
MAURITIUS,31076.63,79.08,0.298,0.375,392.98
GEORGIA,14727.83,77.19,0.141,0.366,190.8
THAILAND,20000.87,76.64,0.192,0.364,260.97
ALGERIA,19693.96,66.88,0.189,0.318,294.47
GHANA,13612.96,64.47,0.13,0.306,211.15
UKRAINE,33432.61,62.53,0.32,0.297,534.67
DENMARK,7677.38,61.9,0.074,0.294,124.03
LIBYA,38204.66,58.3,0.366,0.277,655.31
SWITZERLAND,31129.01,53.11,0.298,0.252,586.12
MALDIVES,46210.31,52.54,0.443,0.249,879.53
UNSPECIFIED,11077.7,50.45,0.106,0.24,219.58
SUDAN,22455.52,49.79,0.215,0.236,451.0
DJIBOUTI,35469.4,43.94,0.34,0.209,807.22
ISRAEL,10885.82,43.22,0.104,0.205,251.87
LIBERIA,81069.6,42.75,0.777,0.203,1896.36
LEBANON,10714.49,41.96,0.103,0.199,255.35
AZERBAIJAN,6409.78,41.55,0.061,0.197,154.27
TURKEY,18170.81,41.53,0.174,0.197,437.53
SYRIA,10559.68,40.86,0.101,0.194,258.44
GABON,6872.34,38.21,0.066,0.181,179.86
AFGHANISTAN TIS,17879.4,37.65,0.171,0.179,474.88
HONG KONG,25163.72,33.7,0.241,0.16,746.7
IRAQ,17342.96,33.65,0.166,0.16,515.39
KOREA RP,8255.28,32.8,0.079,0.156,251.69
MADAGASCAR,24832.64,32.42,0.238,0.154,765.97
GREECE,6496.55,31.46,0.062,0.149,206.5
TAIWAN,10413.11,31.36,0.1,0.149,332.05
MEXICO,5421.83,27.25,0.052,0.129,198.97
NEW ZEALAND,6751.87,27.09,0.065,0.129,249.24
BHUTAN,17294.57,26.93,0.166,0.128,642.2
KENYA,14799.86,24.12,0.142,0.115,613.59
SEYCHELLES,11725.13,21.43,0.112,0.102,547.14
ESTONIA,12156.61,21.07,0.116,0.1,576.96
BRAZIL,3356.03,19.55,0.032,0.093,171.66
PORTUGAL,6064.4,19.21,0.058,0.091,315.69
SWEDEN,4952.18,19.04,0.047,0.09,260.09
SIERRA LEONE,10896.44,18.88,0.104,0.09,577.14
BRUNEI,4847.41,17.64,0.046,0.084,274.8
POLAND,2928.0,17.58,0.028,0.083,166.55
TUNISIA,5110.88,17.05,0.049,0.081,299.76
ETHIOPIA,2615.75,15.83,0.025,0.075,165.24
MOROCCO,1866.0,15.21,0.018,0.072,122.68
GAMBIA,15483.75,14.15,0.148,0.067,1094.26
NORWAY,2699.79,12.61,0.026,0.06,214.1
REUNION,7801.98,12.56,0.075,0.06,621.18
TURKMENISTAN,1867.95,11.93,0.018,0.057,156.58
COMOROS,2954.31,11.74,0.028,0.056,251.64
LITHUANIA,8158.17,11.17,0.078,0.053,730.36
FINLAND,1571.67,10.84,0.015,0.051,144.99
ARMENIA,1872.35,10.24,0.018,0.049,182.85
NAMIBIA,1248.48,9.12,0.012,0.043,136.89
CHILE,1996.26,8.22,0.019,0.039,242.85
TANZANIA REP,2090.25,7.94,0.02,0.038,263.26
EQUTL GUINEA,1389.23,7.73,0.013,0.037,179.72
AUSTRIA,1560.22,7.33,0.015,0.035,212.85
ARGENTINA,1237.0,7.22,0.012,0.034,171.33
UGANDA,1981.67,6.95,0.019,0.033,285.13
CYPRUS,1625.77,6.82,0.016,0.032,238.38
UZBEKISTAN,1141.1,6.45,0.011,0.031,176.91
TAJIKISTAN,2048.0,6.43,0.02,0.031,318.51
MYANMAR,726.9,5.71,0.007,0.027,127.3
ST HELENA,1372.44,4.15,0.013,0.02,330.71
ERITREA,3738.5,3.95,0.036,0.019,946.46
ROMANIA,1251.91,3.95,0.012,0.019,316.94
COLOMBIA,578.56,3.85,0.006,0.018,150.28
BAHAMAS,1028.19,3.76,0.01,0.018,273.45
MALI,774.01,3.76,0.007,0.018,205.85
BULGARIA,1418.45,3.55,0.014,0.017,399.56
LATVIA,1649.01,3.47,0.016,0.016,475.22
ALBANIA,1040.15,3.34,0.01,0.016,311.42
IRELAND,748.02,3.33,0.007,0.016,224.63
GUATEMALA,544.02,3.22,0.005,0.015,168.95
HAITI,581.66,3.05,0.006,0.014,190.71
HUNGARY,396.5,2.48,0.004,0.012,159.88
BOTSWANA,726.21,2.24,0.007,0.011,324.2
CZECH REPUBLIC,693.98,2.17,0.007,0.01,319.81
DOMINIC REP,486.45,2.1,0.005,0.01,231.64
KAZAKHSTAN,932.08,2.01,0.009,0.01,463.72
TRINIDAD,330.75,1.9,0.003,0.009,174.08
