Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
SAUDI ARAB,160762.27,177.72,16.39,19.287,904.58
U ARAB EMTS,150679.12,154.12,15.362,16.726,977.67
U K,66696.77,78.27,6.8,8.494,852.14
MALAYSIA,79100.08,77.67,8.064,8.429,1018.41
U S A,55133.21,72.43,5.621,7.861,761.19
BANGLADESH PR,63351.88,27.65,6.459,3.001,2291.21
OMAN,20869.89,27.26,2.128,2.958,765.59
GERMANY,14961.9,26.1,1.525,2.833,573.25
JORDAN,92899.11,23.55,9.471,2.556,3944.76
BAHARAIN IS,20074.42,23.12,2.047,2.509,868.27
KUWAIT,24060.01,22.68,2.453,2.461,1060.85
JAPAN,14371.28,21.56,1.465,2.34,666.57
SINGAPORE,39527.25,21.3,4.03,2.312,1855.74
SRI LANKA DSR,33902.29,18.93,3.456,2.054,1790.93
KOREA RP,39093.25,17.7,3.986,1.921,2208.66
NETHERLAND,5042.06,13.24,0.514,1.437,380.82
FRANCE,4937.58,12.58,0.503,1.365,392.49
CANADA,6045.45,10.22,0.616,1.109,591.53
YEMEN REPUBLC,7680.24,9.82,0.783,1.066,782.1
BELGIUM,11430.74,9.81,1.165,1.065,1165.21
ITALY,2821.48,6.56,0.288,0.712,430.1
NEPAL,7397.67,6.08,0.754,0.66,1216.72
SWITZERLAND,1133.71,6.08,0.116,0.66,186.47
QATAR,5288.33,6.08,0.539,0.66,869.79
CZECH REPUBLIC,3410.96,5.66,0.348,0.614,602.64
SPAIN,2283.08,4.64,0.233,0.504,492.04
SUDAN,22667.66,4.27,2.311,0.463,5308.59
AUSTRALIA,2092.01,3.8,0.213,0.412,550.53
DENMARK,1185.61,2.47,0.121,0.268,480.0
MAURITIUS,2003.68,2.42,0.204,0.263,827.97
PAKISTAN IR,2310.84,2.03,0.236,0.22,1138.34
MALDIVES,2144.77,1.67,0.219,0.181,1284.29
BHUTAN,1589.89,1.47,0.162,0.16,1081.56
RUSSIA,1400.4,1.46,0.143,0.158,959.18
C AFRI REP,1151.11,1.39,0.117,0.151,828.14
AFGHANISTAN TIS,1577.97,1.36,0.161,0.148,1160.27
PORTUGAL,85.32,1.32,0.009,0.143,64.64
EGYPT A RP,219.23,1.21,0.022,0.131,181.18
UNSPECIFIED,1126.69,1.17,0.115,0.127,962.98
LIBYA,598.52,1.12,0.061,0.122,534.39
SERBIA,409.4,0.94,0.042,0.102,435.53
REUNION,1058.07,0.94,0.108,0.102,1125.61
SEYCHELLES,680.74,0.88,0.069,0.096,773.57
HONG KONG,431.82,0.83,0.044,0.09,520.27
GREECE,191.48,0.79,0.02,0.086,242.38
NEW ZEALAND,384.21,0.78,0.039,0.085,492.58
THAILAND,484.85,0.6,0.049,0.065,808.08
AUSTRIA,229.32,0.58,0.023,0.063,395.38
IRAN,170.0,0.57,0.017,0.062,298.25
SWEDEN,365.59,0.56,0.037,0.061,652.84
NORWAY,222.4,0.54,0.023,0.059,411.85
MOZAMBIQUE,404.38,0.52,0.041,0.056,777.65
NIGERIA,165.36,0.47,0.017,0.051,351.83
ISRAEL,231.81,0.39,0.024,0.042,594.38
FINLAND,173.52,0.33,0.018,0.036,525.82
BRAZIL,99.81,0.32,0.01,0.035,311.91
DJIBOUTI,223.19,0.29,0.023,0.031,769.62
POLAND,40.2,0.26,0.004,0.028,154.62
KENYA,189.94,0.26,0.019,0.028,730.54
IRAQ,236.03,0.23,0.024,0.025,1026.22
IRELAND,90.5,0.23,0.009,0.025,393.48
ZIMBABWE,209.0,0.22,0.021,0.024,950.0
CHINA P RP,49.67,0.2,0.005,0.022,248.35
URUGUAY,120.0,0.17,0.012,0.018,705.88
VIETNAM SOC REP,93.22,0.17,0.01,0.018,548.35
MEXICO,94.1,0.14,0.01,0.015,672.14
PHILIPPINES,91.8,0.13,0.009,0.014,706.15
INDONESIA,65.52,0.12,0.007,0.013,546.0
LEBANON,74.6,0.1,0.008,0.011,746.0
SYRIA,22.5,0.1,0.002,0.011,225.0
ARGENTINA,79.3,0.1,0.008,0.011,793.0
TURKEY,78.5,0.09,0.008,0.01,872.22
CUBA,58.8,0.08,0.006,0.009,735.0
ETHIOPIA,23.1,0.08,0.002,0.009,288.75
SIERRA LEONE,35.91,0.06,0.004,0.007,598.5
CONGO D. REP.,48.35,0.06,0.005,0.007,805.83
BURUNDI,16.01,0.05,0.002,0.005,320.2
SENEGAL,18.15,0.04,0.002,0.004,453.75
TANZANIA REP,12.69,0.03,0.001,0.003,423.0
BERMUDA,20.0,0.03,0.002,0.003,666.67
GHANA,4.81,0.02,0.0,0.002,240.5
GUINEA BISSAU,12.24,0.02,0.001,0.002,612.0
MOROCCO,18.0,0.02,0.002,0.002,900.0
GUINEA,7.83,0.02,0.001,0.002,391.5
SOMALIA,5.0,0.02,0.001,0.002,250.0
MALAWI,6.7,0.02,0.001,0.002,335.0
UGANDA,5.75,0.02,0.001,0.002,287.5
MALI,6.35,0.01,0.001,0.001,635.0
HUNGARY,1.5,0.01,0.0,0.001,150.0
NIGER,0.76,0.01,0.0,0.001,76.0
Total,980870.51,921.44,100.0,100.0,1064.5
