Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
U ARAB EMTS,1260563.3,4830.58,9.831,13.779,260.95
SAUDI ARAB,943133.3,4383.31,7.356,12.504,215.16
BANGLADESH PR,1803101.48,2405.21,14.063,6.861,749.66
MALAYSIA,1721580.92,2383.35,13.427,6.799,722.34
U S A,338696.15,2101.83,2.642,5.996,161.14
VIETNAM SOC REP,554630.91,1555.17,4.326,4.436,356.64
KUWAIT,284598.31,1298.01,2.22,3.703,219.26
IRAN,218771.02,1159.84,1.706,3.308,188.62
U K,185046.27,1052.23,1.443,3.002,175.86
EGYPT A RP,77694.71,749.87,0.606,2.139,103.61
PHILIPPINES,132542.9,749.33,1.034,2.137,176.88
INDONESIA,212212.8,706.12,1.655,2.014,300.53
NETHERLAND,116285.41,680.28,0.907,1.941,170.94
PAKISTAN IR,528789.52,677.68,4.124,1.933,780.29
TAIWAN,570034.15,612.15,4.446,1.746,931.2
SRI LANKA DSR,349363.01,545.32,2.725,1.556,640.66
ANGOLA,203540.27,494.88,1.587,1.412,411.29
YEMEN REPUBLC,243462.42,473.11,1.899,1.35,514.6
OMAN,157580.39,454.9,1.229,1.298,346.41
GERMANY,62631.29,407.33,0.488,1.162,153.76
JORDAN,226538.82,407.31,1.767,1.162,556.18
NEPAL,241602.37,374.91,1.884,1.069,644.43
CANADA,72852.95,341.03,0.568,0.973,213.63
SINGAPORE,107729.48,271.39,0.84,0.774,396.95
CHINA P RP,54885.32,268.12,0.428,0.765,204.7
JAPAN,77555.03,251.68,0.605,0.718,308.15
QATAR,77288.3,244.75,0.603,0.698,315.78
AUSTRALIA,59437.7,224.82,0.464,0.641,264.38
RUSSIA,83047.97,224.67,0.648,0.641,369.64
BELGIUM,50861.72,215.57,0.397,0.615,235.94
FRANCE,46926.56,205.01,0.366,0.585,228.9
THAILAND,30889.38,170.58,0.241,0.487,181.08
ALGERIA,28364.49,169.58,0.221,0.484,167.26
CONGO P REP,32320.3,168.5,0.252,0.481,191.81
BAHARAIN IS,90696.94,163.16,0.707,0.465,555.88
GHANA,37704.17,159.12,0.294,0.454,236.95
MAURITIUS,35996.27,132.09,0.281,0.377,272.51
IRAQ,27127.22,115.07,0.212,0.328,235.75
LEBANON,18109.88,111.37,0.141,0.318,162.61
MADAGASCAR,58850.07,109.31,0.459,0.312,538.38
SPAIN,27666.98,107.4,0.216,0.306,257.61
SOUTH AFRICA,22167.13,105.21,0.173,0.3,210.69
SYRIA,21553.01,104.74,0.168,0.299,205.78
KENYA,60379.68,102.48,0.471,0.292,589.19
ITALY,16997.44,95.77,0.133,0.273,177.48
AFGHANISTAN TIS,338650.52,93.26,2.641,0.266,3631.25
MALDIVES,80139.84,90.05,0.625,0.257,889.95
SIERRA LEONE,88450.48,87.92,0.69,0.251,1006.03
HAITI,27218.49,84.13,0.212,0.24,323.53
NIGERIA,29694.34,78.21,0.232,0.223,379.67
SUDAN,27103.58,69.63,0.211,0.199,389.25
DENMARK,6044.04,67.01,0.047,0.191,90.2
TURKEY,14006.9,66.23,0.109,0.189,211.49
KOREA RP,17278.45,62.3,0.135,0.178,277.34
GEORGIA,9432.59,62.14,0.074,0.177,151.8
SENEGAL,9810.67,61.35,0.077,0.175,159.91
DJIBOUTI,34877.77,57.8,0.272,0.165,603.42
COTE D IVOIRE,15136.64,53.98,0.118,0.154,280.41
GABON,6110.52,52.88,0.048,0.151,115.55
ISRAEL,10333.83,52.21,0.081,0.149,197.93
MYANMAR,23069.1,51.61,0.18,0.147,446.99
UNSPECIFIED,10599.97,51.29,0.083,0.146,206.67
BENIN,16753.98,50.14,0.131,0.143,334.14
TANZANIA REP,11549.15,49.67,0.09,0.142,232.52
ARMENIA,4728.35,47.85,0.037,0.136,98.82
AZERBAIJAN,4268.95,44.49,0.033,0.127,95.95
UKRAINE,11424.68,44.31,0.089,0.126,257.84
COMOROS,10966.36,42.95,0.086,0.123,255.33
NEW ZEALAND,9454.76,42.61,0.074,0.122,221.89
SEYCHELLES,12275.52,40.38,0.096,0.115,304.0
ESTONIA,15857.2,39.89,0.124,0.114,397.52
TUNISIA,7795.55,38.03,0.061,0.108,204.98
GUINEA,12614.5,37.55,0.098,0.107,335.94
BHUTAN,13254.69,36.6,0.103,0.104,362.15
MEXICO,7281.9,35.69,0.057,0.102,204.03
TAJIKISTAN,87271.22,34.71,0.681,0.099,2514.3
TOGO,7608.45,34.52,0.059,0.098,220.41
PORTUGAL,9839.25,32.23,0.077,0.092,305.28
CAMEROON,6881.53,31.41,0.054,0.09,219.09
LIBERIA,79851.62,31.14,0.623,0.089,2564.28
BRUNEI,5577.65,30.83,0.044,0.088,180.92
MOROCCO,2433.6,30.82,0.019,0.088,78.96
SWITZERLAND,3851.83,29.89,0.03,0.085,128.87
UGANDA,5270.73,28.38,0.041,0.081,185.72
ETHIOPIA,5491.32,26.87,0.043,0.077,204.37
HONG KONG,9261.31,26.66,0.072,0.076,347.39
NORWAY,3115.65,23.51,0.024,0.067,132.52
BRAZIL,3789.07,23.47,0.03,0.067,161.44
SWEDEN,3060.41,23.05,0.024,0.066,132.77
LIBYA,4443.78,22.4,0.035,0.064,198.38
POLAND,2758.4,19.47,0.022,0.056,141.67
GREECE,3298.96,19.0,0.026,0.054,173.63
SOMALIA,11231.01,18.64,0.088,0.053,602.52
MOZAMBIQUE,5746.82,18.31,0.045,0.052,313.86
LITHUANIA,5740.53,17.9,0.045,0.051,320.7
LIECHTENSTEIN,16800.0,16.26,0.131,0.046,1033.21
REUNION,6537.78,14.62,0.051,0.042,447.18
NAMIBIA,1752.44,14.08,0.014,0.04,124.46
ALBANIA,1393.01,13.94,0.011,0.04,99.93
ARGENTINA,2128.55,12.88,0.017,0.037,165.26
AUSTRIA,1546.32,12.74,0.012,0.036,121.38
BURKINA FASO,2645.44,12.13,0.021,0.035,218.09
FINLAND,1598.97,11.74,0.012,0.033,136.2
GAMBIA,7675.43,9.47,0.06,0.027,810.5
CHILE,2039.12,9.29,0.016,0.027,219.5
MALTA,4916.75,9.15,0.038,0.026,537.35
IRELAND,1847.61,9.12,0.014,0.026,202.59
EQUTL GUINEA,1997.32,9.02,0.016,0.026,221.43
UZBEKISTAN,1613.17,7.86,0.013,0.022,205.24
CYPRUS,1235.01,7.82,0.01,0.022,157.93
COLOMBIA,628.51,5.94,0.005,0.017,105.81
CZECH REPUBLIC,2199.79,5.58,0.017,0.016,394.23
KAZAKHSTAN,2149.4,5.37,0.017,0.015,400.26
GUATEMALA,638.58,5.15,0.005,0.015,124.0
PANAMA REPUBLIC,307.56,4.76,0.002,0.014,64.61
CHAD,1198.06,4.76,0.009,0.014,251.69
LATVIA,1392.45,3.84,0.011,0.011,362.62
FIJI IS,586.31,3.7,0.005,0.011,158.46
TURKMENISTAN,16931.88,3.7,0.132,0.011,4576.18
DOMINIC REP,862.82,3.65,0.007,0.01,236.39
MAURITANIA,1155.65,3.54,0.009,0.01,326.45
TRINIDAD,764.25,3.42,0.006,0.01,223.46
ROMANIA,444.63,3.32,0.003,0.009,133.92
NIGER,796.49,3.17,0.006,0.009,251.26
ZAMBIA,556.3,3.03,0.004,0.009,183.6
SLOVENIA,481.44,2.96,0.004,0.008,162.65
BELARUS,781.6,2.92,0.006,0.008,267.67
BULGARIA,583.36,2.77,0.005,0.008,210.6
BOTSWANA,565.26,2.43,0.004,0.007,232.62
CROATIA,438.93,2.39,0.003,0.007,183.65
VENEZUELA,334.88,2.34,0.003,0.007,143.11
ECUADOR,767.87,2.17,0.006,0.006,353.86
URUGUAY,119.02,2.14,0.001,0.006,55.62
HUNGARY,222.43,1.91,0.002,0.005,116.46
SURINAME,127.26,1.7,0.001,0.005,74.86
MALAWI,455.27,1.7,0.004,0.005,267.81
PERU,198.48,1.69,0.002,0.005,117.44
CAMBODIA,770.45,1.66,0.006,0.005,464.13
Eswatini,357.54,1.33,0.003,0.004,268.83
GUINEA BISSAU,1276.04,1.03,0.01,0.003,1238.87
ERITREA,248.41,0.94,0.002,0.003,264.27
KOREA DP RP,403.57,0.91,0.003,0.003,443.48
JAMAICA,108.75,0.82,0.001,0.002,132.62
SOLOMON ISLANDS,394.0,0.76,0.003,0.002,518.42
RWANDA,70.71,0.71,0.001,0.002,99.59
FR POLYNESIA,164.94,0.71,0.001,0.002,232.31
MARTINIQUE,110.23,0.69,0.001,0.002,159.75
ZIMBABWE,133.55,0.67,0.001,0.002,199.33
GUYANA,71.81,0.52,0.001,0.001,138.1
SLOVAK REP,39.52,0.49,0.0,0.001,80.65
NETHERLANDANTIL,120.82,0.48,0.001,0.001,251.71
BARBADOS,74.91,0.47,0.001,0.001,159.38
COSTA RICA,84.08,0.4,0.001,0.001,210.2
BURUNDI,127.12,0.39,0.001,0.001,325.95
KYRGHYZSTAN,550.18,0.37,0.004,0.001,1486.97
MONGOLIA,91.41,0.34,0.001,0.001,268.85
BOSNIA-HRZGOVIN,69.12,0.33,0.001,0.001,209.45
SAO TOME,72.24,0.29,0.001,0.001,249.1
ANTIGUA,42.46,0.27,0.0,0.001,157.26
AMERI SAMOA,88.07,0.27,0.001,0.001,326.19
PAPUA N GNA,22.35,0.21,0.0,0.001,106.43
PUERTO RICO,29.83,0.18,0.0,0.001,165.72
SERBIA,17.29,0.17,0.0,0.0,101.71
TONGA,33.34,0.13,0.0,0.0,256.46
HONDURAS,20.21,0.13,0.0,0.0,155.46
MACAO,23.94,0.13,0.0,0.0,184.15
