Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
U ARAB EMTS,1238487.26,4920.51,10.891,11.668,251.7
SAUDI ARAB,858852.28,4615.39,7.553,10.945,186.08
U S A,478410.6,3496.16,4.207,8.291,136.84
MALAYSIA,1168253.9,2869.21,10.274,6.804,407.17
IRAN,540431.08,2405.09,4.753,5.703,224.7
VIETNAM SOC REP,740499.64,2060.98,6.512,4.887,359.29
BANGLADESH PR,1323262.79,1797.95,11.637,4.264,735.98
INDONESIA,753802.02,1725.83,6.629,4.093,436.78
KUWAIT,287749.48,1605.3,2.53,3.807,179.25
EGYPT A RP,106800.81,1262.33,0.939,2.993,84.61
U K,203336.7,1077.71,1.788,2.556,188.67
PHILIPPINES,118959.16,886.03,1.046,2.101,134.26
JORDAN,128464.55,720.85,1.13,1.709,178.21
NETHERLAND,113850.63,718.92,1.001,1.705,158.36
PAKISTAN IR,268476.01,649.01,2.361,1.539,413.67
NEPAL,407836.96,581.44,3.587,1.379,701.43
ANGOLA,121086.7,499.86,1.065,1.185,242.24
SRI LANKA DSR,241053.78,497.61,2.12,1.18,484.42
GERMANY,66943.97,495.09,0.589,1.174,135.22
YEMEN REPUBLC,120691.98,478.21,1.061,1.134,252.38
ALGERIA,53215.07,432.08,0.468,1.025,123.16
IRAQ,60845.05,404.15,0.535,0.958,150.55
OMAN,189538.83,395.51,1.667,0.938,479.23
CHINA P RP,108403.76,391.95,0.953,0.929,276.58
MYANMAR,23614.49,349.49,0.208,0.829,67.57
CANADA,66746.31,335.86,0.587,0.796,198.73
THAILAND,55412.16,332.23,0.487,0.788,166.79
RUSSIA,78573.92,327.37,0.691,0.776,240.02
SYRIA,38035.61,309.06,0.334,0.733,123.07
SINGAPORE,112179.45,304.65,0.987,0.722,368.22
AUSTRALIA,51960.08,262.65,0.457,0.623,197.83
QATAR,56869.25,235.01,0.5,0.557,241.99
TURKEY,51110.62,198.13,0.449,0.47,257.97
FRANCE,39917.37,196.29,0.351,0.465,203.36
SOUTH AFRICA,48183.13,191.61,0.424,0.454,251.46
ITALY,37877.56,188.58,0.333,0.447,200.86
CONGO P REP,22242.58,179.04,0.196,0.425,124.23
GEORGIA,19501.68,177.94,0.171,0.422,109.6
BAHARAIN IS,72009.58,177.12,0.633,0.42,406.56
BELGIUM,35387.67,174.43,0.311,0.414,202.88
LEBANON,19266.86,156.85,0.169,0.372,122.84
JAPAN,20296.69,152.71,0.178,0.362,132.91
MAURITIUS,31233.03,146.72,0.275,0.348,212.88
GHANA,34195.97,145.98,0.301,0.346,234.25
SPAIN,30367.64,125.64,0.267,0.298,241.7
KENYA,13574.64,104.61,0.119,0.248,129.76
MALDIVES,100500.5,98.98,0.884,0.235,1015.36
TAIWAN,54843.85,91.32,0.482,0.217,600.57
UKRAINE,17258.81,88.15,0.152,0.209,195.79
BRAZIL,20767.3,87.78,0.183,0.208,236.58
GABON,9009.28,87.75,0.079,0.208,102.67
KOREA RP,30593.16,83.13,0.269,0.197,368.02
MEXICO,13430.35,74.69,0.118,0.177,179.81
SUDAN,25842.46,72.88,0.227,0.173,354.59
AZERBAIJAN,6788.68,71.56,0.06,0.17,94.87
HONG KONG,14222.8,64.95,0.125,0.154,218.98
UNSPECIFIED,13523.27,62.02,0.119,0.147,218.05
NIGERIA,10686.71,59.0,0.094,0.14,181.13
ISRAEL,12096.74,58.82,0.106,0.139,205.66
SENEGAL,6803.64,58.44,0.06,0.139,116.42
TANZANIA REP,13485.7,56.46,0.119,0.134,238.85
TOGO,10631.77,55.55,0.093,0.132,191.39
DENMARK,5802.2,53.12,0.051,0.126,109.23
SWITZERLAND,5706.26,51.4,0.05,0.122,111.02
POLAND,5797.33,49.58,0.051,0.118,116.93
BHUTAN,13126.82,44.45,0.115,0.105,295.32
NEW ZEALAND,9724.2,43.0,0.086,0.102,226.14
BENIN,9061.9,42.41,0.08,0.101,213.67
TUNISIA,8984.82,41.52,0.079,0.098,216.4
PORTUGAL,8673.85,39.28,0.076,0.093,220.82
ARMENIA,3214.3,37.41,0.028,0.089,85.92
COTE D IVOIRE,7442.12,35.83,0.065,0.085,207.71
LIBERIA,44812.9,35.72,0.394,0.085,1254.56
BRUNEI,7115.45,33.84,0.063,0.08,210.27
SWEDEN,4696.05,33.69,0.041,0.08,139.39
AFGHANISTAN TIS,51642.13,32.55,0.454,0.077,1586.55
MOROCCO,2329.93,32.54,0.02,0.077,71.6
CAMEROON,8071.69,31.93,0.071,0.076,252.79
SEYCHELLES,10347.77,30.64,0.091,0.073,337.72
HAITI,7191.47,27.52,0.063,0.065,261.32
COMOROS,6672.17,23.77,0.059,0.056,280.7
NAMIBIA,2803.35,23.22,0.025,0.055,120.73
UGANDA,5460.47,22.89,0.048,0.054,238.55
SIERRA LEONE,23183.86,22.54,0.204,0.053,1028.57
TAJIKISTAN,2865.12,22.36,0.025,0.053,128.14
ESTONIA,9866.43,21.32,0.087,0.051,462.78
BURKINA FASO,4650.6,21.32,0.041,0.051,218.13
GUINEA,4005.9,21.03,0.035,0.05,190.49
GREECE,5334.53,20.85,0.047,0.049,255.85
EQUTL GUINEA,2188.74,19.84,0.019,0.047,110.32
REUNION,6164.3,19.45,0.054,0.046,316.93
MOZAMBIQUE,3742.73,19.25,0.033,0.046,194.43
ARGENTINA,2221.86,17.08,0.02,0.041,130.09
NORWAY,2430.54,15.9,0.021,0.038,152.86
KOREA DP RP,12201.24,15.77,0.107,0.037,773.7
LITHUANIA,4214.87,14.37,0.037,0.034,293.31
GAMBIA,3632.25,12.28,0.032,0.029,295.79
ROMANIA,1513.5,10.8,0.013,0.026,140.14
MADAGASCAR,2382.28,10.51,0.021,0.025,226.67
UZBEKISTAN,895.19,10.34,0.008,0.025,86.58
CHILE,2364.36,10.11,0.021,0.024,233.86
ETHIOPIA,646.33,9.99,0.006,0.024,64.7
LIBYA,1780.08,8.96,0.016,0.021,198.67
DOMINIC REP,1792.8,8.22,0.016,0.019,218.1
FINLAND,1423.52,8.0,0.013,0.019,177.94
IRELAND,1354.34,7.15,0.012,0.017,189.42
AUSTRIA,692.15,6.38,0.006,0.015,108.49
DJIBOUTI,1797.57,6.34,0.016,0.015,283.53
LATVIA,1376.68,6.21,0.012,0.015,221.69
ERITREA,1261.19,5.64,0.011,0.013,223.62
COLOMBIA,704.64,5.62,0.006,0.013,125.38
CROATIA,939.21,5.24,0.008,0.012,179.24
CYPRUS,983.65,5.18,0.009,0.012,189.89
BULGARIA,829.98,5.03,0.007,0.012,165.01
MAURITANIA,981.98,4.74,0.009,0.011,207.17
ECUADOR,1012.07,4.53,0.009,0.011,223.42
KAZAKHSTAN,1402.16,4.2,0.012,0.01,333.85
GUATEMALA,503.94,4.14,0.004,0.01,121.72
CZECH REPUBLIC,708.96,4.08,0.006,0.01,173.76
TRINIDAD,674.89,3.27,0.006,0.008,206.39
TURKMENISTAN,189.0,3.06,0.002,0.007,61.76
NIGER,563.92,2.86,0.005,0.007,197.17
CHAD,455.61,2.84,0.004,0.007,160.43
FIJI IS,512.49,2.56,0.005,0.006,200.19
BOTSWANA,514.62,2.55,0.005,0.006,201.81
CAMBODIA,206.58,2.28,0.002,0.005,90.61
ZAMBIA,383.24,2.26,0.003,0.005,169.58
PERU,293.61,2.15,0.003,0.005,136.56
SLOVENIA,246.45,1.95,0.002,0.005,126.38
ICELAND,300.0,1.87,0.003,0.004,160.43
SOMALIA,676.06,1.67,0.006,0.004,404.83
GUADELOUPE,332.33,1.54,0.003,0.004,215.8
HUNGARY,296.62,1.47,0.003,0.003,201.78
URUGUAY,139.23,1.39,0.001,0.003,100.17
FR POLYNESIA,330.43,1.38,0.003,0.003,239.44
NETHERLANDANTIL,249.69,1.33,0.002,0.003,187.74
BURUNDI,350.19,1.31,0.003,0.003,267.32
SLOVAK REP,110.22,1.26,0.001,0.003,87.48
COSTA RICA,202.89,1.26,0.002,0.003,161.02
MALTA,521.3,1.08,0.005,0.003,482.69
HONDURAS,163.57,0.95,0.001,0.002,172.18
BELARUS,181.51,0.94,0.002,0.002,193.1
PUERTO RICO,182.36,0.91,0.002,0.002,200.4
MALAWI,141.49,0.77,0.001,0.002,183.75
SURINAME,154.73,0.75,0.001,0.002,206.31
VENEZUELA,75.4,0.73,0.001,0.002,103.29
MALI,47.14,0.72,0.0,0.002,65.47
PANAMA REPUBLIC,110.88,0.72,0.001,0.002,154.0
MACEDONIA,68.07,0.62,0.001,0.001,109.79
SERBIA,88.5,0.61,0.001,0.001,145.08
JAMAICA,95.47,0.6,0.001,0.001,159.12
MONTSERRAT,56.0,0.59,0.0,0.001,94.92
GUYANA,117.73,0.58,0.001,0.001,202.98
PAPUA N GNA,123.8,0.57,0.001,0.001,217.19
Eswatini,88.15,0.52,0.001,0.001,169.52
BARBADOS,89.53,0.47,0.001,0.001,190.49
MACAO,98.41,0.47,0.001,0.001,209.38
ZIMBABWE,75.8,0.42,0.001,0.001,180.48
NICARAGUA,75.44,0.37,0.001,0.001,203.89
LAO PD RP,27.0,0.37,0.0,0.001,72.97
MONGOLIA,46.91,0.34,0.0,0.001,137.97
SAO TOME,55.18,0.33,0.0,0.001,167.21
ALBANIA,68.04,0.32,0.001,0.001,212.63
DOMINICA,68.21,0.31,0.001,0.001,220.03
N. MARIANA IS.,178.3,0.24,0.002,0.001,742.92
GUINEA BISSAU,66.27,0.23,0.001,0.001,288.13
GRENADA,45.07,0.21,0.0,0.0,214.62
SAMOA,31.74,0.19,0.0,0.0,167.05
ANTIGUA,3.91,0.19,0.0,0.0,20.58
BOLIVIA,14.01,0.14,0.0,0.0,100.07
MOLDOVA,15.0,0.13,0.0,0.0,115.38
KYRGHYZSTAN,11.63,0.12,0.0,0.0,96.92
CHRISTMAS IS.,20.22,0.12,0.0,0.0,168.5
EAST TIMOR,7.5,0.12,0.0,0.0,62.5
MARTINIQUE,18.1,0.11,0.0,0.0,164.55
TONGA,42.0,0.08,0.0,0.0,525.0
BOSNIA-HRZGOVIN,21.44,0.07,0.0,0.0,306.29
RWANDA,1.9,0.06,0.0,0.0,31.67
BAHAMAS,17.1,0.05,0.0,0.0,342.0
ST KITT N A,20.31,0.05,0.0,0.0,406.2
LUXEMBOURG,2.57,0.04,0.0,0.0,64.25
BELIZE,30.0,0.03,0.0,0.0,1000.0
VANUATU,1.5,0.02,0.0,0.0,75.0
KIRIBATI REPUBLIC,1.2,0.02,0.0,0.0,60.0
SOLOMON ISLANDS,1.5,0.02,0.0,0.0,75.0
GIBRALTAR,2.05,0.01,0.0,0.0,205.0
NEW CALEDONIA,7.12,0.01,0.0,0.0,712.0
Total,11371430.18,42169.28,100.0,100.0,269.66
