Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
DOMINIC REP,3555.48,21.62,0.017,0.02,164.45
LATVIA,1667.7,18.5,0.008,0.017,90.15
CROATIA,2914.3,18.45,0.014,0.017,157.96
GUINEA BISSAU,5165.72,17.23,0.025,0.016,299.81
AUSTRIA,1488.12,16.25,0.007,0.015,91.58
MALI,3495.15,15.96,0.017,0.015,218.99
ZAMBIA,2939.89,15.23,0.014,0.014,193.03
BULGARIA,2572.36,15.16,0.013,0.014,169.68
BELARUS,4854.89,15.1,0.024,0.014,321.52
CUBA,886.15,13.04,0.004,0.012,67.96
TRINIDAD,1673.35,12.17,0.008,0.011,137.5
JAMAICA,3113.21,11.33,0.015,0.011,274.78
FIJI IS,1387.09,11.26,0.007,0.01,123.19
ESTONIA,1171.79,11.23,0.006,0.01,104.34
MALAWI,2425.4,11.15,0.012,0.01,217.52
CZECH REPUBLIC,1065.34,10.69,0.005,0.01,99.66
ALBANIA,2130.19,10.03,0.01,0.009,212.38
UNSPECIFIED,1889.08,9.17,0.009,0.009,206.01
SLOVENIA,1185.64,9.09,0.006,0.008,130.43
KAZAKHSTAN,1831.39,8.45,0.009,0.008,216.73
CYPRUS,1366.63,8.4,0.007,0.008,162.69
COLOMBIA,704.44,8.07,0.003,0.008,87.29
BURUNDI,2710.75,7.81,0.013,0.007,347.09
KOREA DP RP,447.89,7.45,0.002,0.007,60.12
GUATEMALA,470.78,6.83,0.002,0.006,68.93
SERBIA,812.28,6.35,0.004,0.006,127.92
ZIMBABWE,2031.58,5.78,0.01,0.005,351.48
MOLDOVA,1884.01,5.37,0.009,0.005,350.84
GUYANA,541.08,5.32,0.003,0.005,101.71
BOTSWANA,598.88,4.86,0.003,0.005,123.23
PANAMA REPUBLIC,293.96,4.37,0.001,0.004,67.27
NETHERLANDANTIL,838.1,3.97,0.004,0.004,211.11
MONGOLIA,998.86,3.94,0.005,0.004,253.52
C AFRI REP,712.8,3.82,0.003,0.004,186.6
PERU,626.48,3.8,0.003,0.004,164.86
HUNGARY,657.75,3.8,0.003,0.004,173.09
PAPUA N GNA,332.21,3.26,0.002,0.003,101.9
HONDURAS,390.9,3.1,0.002,0.003,126.1
SAO TOME,782.6,2.88,0.004,0.003,271.74
SERBIA MONTNGRO,534.82,2.86,0.003,0.003,187.0
CHAD,441.17,2.75,0.002,0.003,160.43
UZBEKISTAN,172.62,2.56,0.001,0.002,67.43
FR POLYNESIA,342.8,2.37,0.002,0.002,144.64
ECUADOR,341.32,2.2,0.002,0.002,155.15
COSTA RICA,176.02,2.19,0.001,0.002,80.37
TONGA,295.96,2.16,0.001,0.002,137.02
MALTA,472.43,2.12,0.002,0.002,222.84
GUADELOUPE,434.0,1.93,0.002,0.002,224.87
MARTINIQUE,343.06,1.91,0.002,0.002,179.61
CAPE VERDE IS,443.86,1.72,0.002,0.002,258.06
ERITREA,272.95,1.7,0.001,0.002,160.56
SOLOMON ISLANDS,205.81,1.68,0.001,0.002,122.51
MACEDONIA,170.93,1.62,0.001,0.002,105.51
URUGUAY,166.23,1.38,0.001,0.001,120.46
EL SALVADOR,217.0,1.34,0.001,0.001,161.94
NICARAGUA,162.13,1.14,0.001,0.001,142.22
NEW CALEDONIA,46.03,0.92,0.0,0.001,50.03
BARBADOS,104.93,0.89,0.001,0.001,117.9
SURINAME,131.14,0.85,0.001,0.001,154.28
VENEZUELA,86.53,0.83,0.0,0.001,104.25
TIMOR-LESTE,105.35,0.81,0.001,0.001,130.06
BOSNIA-HRZGOVIN,141.64,0.75,0.001,0.001,188.85
Eswatini,124.72,0.72,0.001,0.001,173.22
PUERTO RICO,90.83,0.63,0.0,0.001,144.17
SAMOA,534.8,0.63,0.003,0.001,848.89
SLOVAK REP,72.39,0.58,0.0,0.001,124.81
BAHAMAS,20.55,0.54,0.0,0.001,38.06
PARAGUAY,24.41,0.37,0.0,0.0,65.97
VANUATU,29.44,0.32,0.0,0.0,92.0
KYRGHYZSTAN,52.41,0.26,0.0,0.0,201.58
BOLIVIA,24.58,0.25,0.0,0.0,98.32
ST VINCENT,26.35,0.24,0.0,0.0,109.79
ARUBA,34.12,0.2,0.0,0.0,170.6
MICRONESIA,86.0,0.19,0.0,0.0,452.63
MARSHALL ISLAND,64.0,0.14,0.0,0.0,457.14
CAYMAN IS,21.05,0.14,0.0,0.0,150.36
DOMINICA,6.66,0.07,0.0,0.0,95.14
BELIZE,3.97,0.07,0.0,0.0,56.71
United States Minor Outlying Islands,18.0,0.07,0.0,0.0,257.14
MONACO,8.51,0.06,0.0,0.0,141.83
FR GUIANA,3.44,0.05,0.0,0.0,68.8
AMERI SAMOA,5.82,0.05,0.0,0.0,116.4
ST HELENA,7.36,0.04,0.0,0.0,184.0
KIRIBATI REPUBLIC,1.41,0.01,0.0,0.0,141.0
Antarctica,1.82,0.01,0.0,0.0,182.0
ANTIGUA,0.4,0.01,0.0,0.0,40.0
LUXEMBOURG,0.15,0.01,0.0,0.0,15.0
Total,20474814.15,107482.93,100.0,100.0,190.49
