Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
VIETNAM SOC REP,901282.93,15189.55,4.214,13.341,59.34
U ARAB EMTS,1766481.43,10526.82,8.26,9.246,167.81
SAUDI ARAB,1266466.03,8153.2,5.922,7.161,155.33
U S A,635285.93,7276.04,2.97,6.39,87.31
NEPAL,1922612.75,4426.49,8.99,3.888,434.34
IRAN,796470.58,4364.54,3.724,3.833,182.49
IRAQ,843158.7,4266.08,3.942,3.747,197.64
MALAYSIA,721016.09,4219.97,3.371,3.706,170.86
INDONESIA,424590.34,3478.27,1.985,3.055,122.07
BANGLADESH PR,1255238.37,2692.83,5.869,2.365,466.14
EGYPT A RP,277994.93,2538.41,1.3,2.229,109.52
U K,327606.56,2397.66,1.532,2.106,136.64
NETHERLAND,220865.33,2198.76,1.033,1.931,100.45
KUWAIT,340566.6,2035.55,1.592,1.788,167.31
BENIN,722750.91,1840.22,3.379,1.616,392.75
OMAN,508433.9,1591.86,2.377,1.398,319.4
QATAR,303784.82,1554.42,1.42,1.365,195.43
PHILIPPINES,188256.42,1521.92,0.88,1.337,123.7
SENEGAL,688246.73,1391.33,3.218,1.222,494.67
SRI LANKA DSR,538954.96,1364.64,2.52,1.199,394.94
RUSSIA,215402.72,1330.34,1.007,1.168,161.92
GUINEA,552367.29,1284.14,2.583,1.128,430.15
ALGERIA,127491.07,1207.0,0.596,1.06,105.63
PAKISTAN IR,309667.44,1187.56,1.448,1.043,260.76
SINGAPORE,206707.11,1170.25,0.967,1.028,176.64
GERMANY,103716.28,1104.46,0.485,0.97,93.91
YEMEN REPUBLC,224059.73,1051.25,1.048,0.923,213.14
SOUTH AFRICA,308153.39,990.09,1.441,0.87,311.24
TURKEY,261215.95,948.89,1.221,0.833,275.29
COTE D IVOIRE,388513.35,921.82,1.817,0.81,421.46
THAILAND,86629.34,920.81,0.405,0.809,94.08
SOMALIA,372691.15,897.31,1.743,0.788,415.34
CANADA,101875.43,876.87,0.476,0.77,116.18
AUSTRALIA,87665.25,781.52,0.41,0.686,112.17
JAPAN,39997.66,708.68,0.187,0.622,56.44
BAHARAIN IS,139660.0,682.18,0.653,0.599,204.73
BELGIUM,88075.16,677.12,0.412,0.595,130.07
LIBERIA,266658.08,642.14,1.247,0.564,415.26
JORDAN,79562.11,592.5,0.372,0.52,134.28
FRANCE,59136.66,575.85,0.277,0.506,102.69
GHANA,149260.14,536.18,0.698,0.471,278.38
CHINA P RP,83090.74,532.45,0.389,0.468,156.05
DJIBOUTI,199281.06,465.14,0.932,0.409,428.43
NIGERIA,107085.34,452.28,0.501,0.397,236.77
HONG KONG,31176.51,396.32,0.146,0.348,78.66
ITALY,60399.96,386.12,0.282,0.339,156.43
SPAIN,47230.71,385.44,0.221,0.339,122.54
KOREA RP,43050.46,348.02,0.201,0.306,123.7
MAURITIUS,61467.81,346.54,0.287,0.304,177.38
ANGOLA,77468.62,340.54,0.362,0.299,227.49
MADAGASCAR,144336.23,329.75,0.675,0.29,437.71
MALDIVES,170306.78,307.22,0.796,0.27,554.35
BHUTAN,47368.77,306.27,0.221,0.269,154.66
ISRAEL,41984.23,297.74,0.196,0.262,141.01
KENYA,82178.14,291.86,0.384,0.256,281.57
NORWAY,64358.47,279.76,0.301,0.246,230.05
SUDAN,94166.09,264.23,0.44,0.232,356.38
LEBANON,34483.15,245.17,0.161,0.215,140.65
NIGER,98725.4,244.11,0.462,0.214,404.43
SIERRA LEONE,89859.42,230.65,0.42,0.203,389.59
TAIWAN,38135.64,225.8,0.178,0.198,168.89
TOGO,64421.9,220.2,0.301,0.193,292.56
UKRAINE,42454.36,208.43,0.199,0.183,203.69
CONGO P REP,27433.11,208.3,0.128,0.183,131.7
TANZANIA REP,40996.8,204.26,0.192,0.179,200.71
CAMEROON,63840.97,192.39,0.299,0.169,331.83
POLAND,22302.74,181.35,0.104,0.159,122.98
NEW ZEALAND,22555.67,179.21,0.105,0.157,125.86
SYRIA,38547.5,162.36,0.18,0.143,237.42
MYANMAR,36762.92,161.74,0.172,0.142,227.3
ETHIOPIA,62381.51,157.2,0.292,0.138,396.83
GEORGIA,22901.76,132.98,0.107,0.117,172.22
HAITI,17137.47,125.46,0.08,0.11,136.6
SWEDEN,16275.42,117.85,0.076,0.104,138.1
BRAZIL,9973.12,112.5,0.047,0.099,88.65
TURKMENISTAN,6874.82,107.0,0.032,0.094,64.25
GREECE,12994.2,104.47,0.061,0.092,124.38
SWITZERLAND,7303.95,103.29,0.034,0.091,70.71
TUNISIA,27888.19,101.67,0.13,0.089,274.3
GABON,7060.8,100.56,0.033,0.088,70.21
AFGHANISTAN TIS,33972.46,99.32,0.159,0.087,342.05
MEXICO,11809.45,97.72,0.055,0.086,120.85
BRUNEI,10811.27,96.68,0.051,0.085,111.83
CONGO D. REP.,10974.28,96.18,0.051,0.084,114.1
BURKINA FASO,27799.87,88.86,0.13,0.078,312.85
UGANDA,16308.35,83.06,0.076,0.073,196.34
DENMARK,13547.49,81.17,0.063,0.071,166.9
AZERBAIJAN,14639.93,80.84,0.068,0.071,181.1
LIBYA,15242.25,71.23,0.071,0.063,213.99
MOZAMBIQUE,19622.22,69.83,0.092,0.061,281.0
REUNION,17341.23,68.71,0.081,0.06,252.38
GAMBIA,23378.89,67.01,0.109,0.059,348.89
NAMIBIA,20531.89,65.44,0.096,0.057,313.75
PORTUGAL,13496.82,63.81,0.063,0.056,211.52
ARGENTINA,5175.74,51.83,0.024,0.046,99.86
SEYCHELLES,9311.7,44.42,0.044,0.039,209.63
FINLAND,3932.99,42.68,0.018,0.037,92.15
TRINIDAD,1538.13,38.32,0.007,0.034,40.14
COMOROS,7227.28,38.28,0.034,0.034,188.8
LITHUANIA,5016.54,36.16,0.023,0.032,138.73
ARMENIA,1981.0,35.22,0.009,0.031,56.25
MOROCCO,6153.26,34.09,0.029,0.03,180.5
EQUTL GUINEA,3365.65,31.89,0.016,0.028,105.54
MAURITANIA,4682.41,29.46,0.022,0.026,158.94
CAMBODIA,11460.68,28.09,0.054,0.025,408.0
GUINEA BISSAU,9403.98,27.83,0.044,0.024,337.91
IRELAND,3659.11,27.72,0.017,0.024,132.0
CHILE,4094.26,26.76,0.019,0.024,153.0
KAZAKHSTAN,3344.72,26.42,0.016,0.023,126.6
DOMINIC REP,3441.36,24.5,0.016,0.022,140.46
RWANDA,3405.36,24.13,0.016,0.021,141.13
MALI,4976.81,23.19,0.023,0.02,214.61
ZAMBIA,3569.29,21.12,0.017,0.019,169.0
ROMANIA,1653.39,21.05,0.008,0.018,78.55
BULGARIA,2581.77,19.61,0.012,0.017,131.66
MALAWI,3576.89,18.52,0.017,0.016,193.14
BELARUS,4868.29,18.52,0.023,0.016,262.87
ESTONIA,1479.32,18.26,0.007,0.016,81.01
SLOVENIA,1790.05,17.62,0.008,0.015,101.59
UZBEKISTAN,290.41,17.6,0.001,0.015,16.5
LATVIA,1936.34,17.19,0.009,0.015,112.64
CROATIA,2440.05,16.82,0.011,0.015,145.07
AUSTRIA,1518.52,15.98,0.007,0.014,95.03
CZECH REPUBLIC,1126.69,14.61,0.005,0.013,77.12
COLOMBIA,937.79,14.44,0.004,0.013,64.94
TAJIKISTAN,1203.39,13.69,0.006,0.012,87.9
ZIMBABWE,4430.36,13.56,0.021,0.012,326.72
CYPRUS,1820.07,12.84,0.009,0.011,141.75
FIJI IS,1448.71,12.36,0.007,0.011,117.21
SERBIA,1426.23,11.66,0.007,0.01,122.32
VENEZUELA,1376.7,11.43,0.006,0.01,120.45
ALBANIA,1358.01,10.9,0.006,0.01,124.59
CUBA,1182.98,10.05,0.006,0.009,117.71
JAMAICA,1714.58,8.99,0.008,0.008,190.72
GUATEMALA,405.83,8.28,0.002,0.007,49.01
UNSPECIFIED,521.08,7.67,0.002,0.007,67.94
HUNGARY,778.82,7.25,0.004,0.006,107.42
KOREA DP RP,540.57,7.04,0.003,0.006,76.79
BURUNDI,1649.82,6.21,0.008,0.005,265.67
LAO PD RP,273.31,5.44,0.001,0.005,50.24
COSTA RICA,548.99,5.17,0.003,0.005,106.19
PERU,404.51,4.63,0.002,0.004,87.37
ERITREA,1703.0,4.6,0.008,0.004,370.22
BOTSWANA,460.38,4.04,0.002,0.004,113.96
GUYANA,321.97,3.61,0.002,0.003,89.19
NICARAGUA,557.18,3.51,0.003,0.003,158.74
PANAMA REPUBLIC,237.25,3.24,0.001,0.003,73.23
URUGUAY,242.84,2.98,0.001,0.003,81.49
NETHERLANDANTIL,298.47,2.97,0.001,0.003,100.49
GUADELOUPE,378.45,2.88,0.002,0.003,131.41
MACEDONIA,374.4,2.79,0.002,0.002,134.19
SOLOMON ISLANDS,351.89,2.78,0.002,0.002,126.58
PAPUA N GNA,219.51,2.73,0.001,0.002,80.41
BOSNIA-HRZGOVIN,457.72,2.6,0.002,0.002,176.05
MOLDOVA,519.0,2.28,0.002,0.002,227.63
FR POLYNESIA,306.8,2.18,0.001,0.002,140.73
SERBIA MONTNGRO,425.09,2.14,0.002,0.002,198.64
SURINAME,267.99,2.0,0.001,0.002,134.0
PARAGUAY,237.11,1.93,0.001,0.002,122.85
