Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BANGLADESH PR,2406715.7,2329.3,40.093,24.235,1033.24
SAUDI ARAB,617764.77,1652.78,10.291,17.196,373.77
U ARAB EMTS,259516.56,587.94,4.323,6.117,441.4
SOUTH AFRICA,533378.0,562.92,8.885,5.857,947.52
U S A,87309.51,505.57,1.454,5.26,172.7
U K,83759.05,327.4,1.395,3.406,255.83
MALAYSIA,131843.88,299.83,2.196,3.12,439.73
NIGERIA,201895.51,222.69,3.363,2.317,906.62
PHILIPPINES,90451.26,198.07,1.507,2.061,456.66
KUWAIT,63315.37,172.63,1.055,1.796,366.77
SRI LANKA DSR,121107.98,168.94,2.018,1.758,716.87
GERMANY,27747.95,165.07,0.462,1.717,168.1
RUSSIA,127024.33,163.96,2.116,1.706,774.73
COTE D IVOIRE,162199.83,159.78,2.702,1.662,1015.14
NETHERLAND,30505.06,146.74,0.508,1.527,207.89
SOMALIA,140180.18,139.64,2.335,1.453,1003.87
IRAN,70007.99,130.2,1.166,1.355,537.7
JAPAN,36388.68,98.61,0.606,1.026,369.02
FRANCE,19754.88,90.9,0.329,0.946,217.33
SINGAPORE,44360.49,77.13,0.739,0.803,575.14
SENEGAL,76095.7,72.62,1.268,0.756,1047.86
INDONESIA,40828.46,71.66,0.68,0.746,569.75
BELGIUM,21261.48,66.68,0.354,0.694,318.86
OMAN,21748.39,60.46,0.362,0.629,359.72
YEMEN REPUBLC,41720.88,60.01,0.695,0.624,695.23
SPAIN,12846.64,50.41,0.214,0.524,254.84
ITALY,8609.1,49.86,0.143,0.519,172.67
CANADA,15111.41,49.1,0.252,0.511,307.77
MALI,49018.61,46.58,0.817,0.485,1052.35
MAURITIUS,29070.96,45.46,0.484,0.473,639.48
JORDAN,11454.0,41.87,0.191,0.436,273.56
KENYA,38042.84,40.88,0.634,0.425,930.6
EGYPT A RP,15473.48,40.0,0.258,0.416,386.84
AUSTRALIA,7758.37,36.86,0.129,0.384,210.48
BAHARAIN IS,15631.48,36.23,0.26,0.377,431.45
CHINA P RP,10179.91,34.5,0.17,0.359,295.07
HONG KONG,5508.0,34.43,0.092,0.358,159.98
PAKISTAN IR,20447.08,32.15,0.341,0.335,635.99
KOREA RP,23407.4,32.06,0.39,0.334,730.11
POLAND,20423.51,30.41,0.34,0.316,671.61
SEYCHELLES,20484.52,24.45,0.341,0.254,837.81
QATAR,10633.98,21.91,0.177,0.228,485.35
ANGOLA,15597.56,21.08,0.26,0.219,739.92
BENIN,20292.2,21.06,0.338,0.219,963.54
SWITZERLAND,1653.1,21.03,0.028,0.219,78.61
UKRAINE,15304.58,18.59,0.255,0.193,823.27
MOROCCO,19764.41,18.56,0.329,0.193,1064.89
DENMARK,2492.22,18.3,0.042,0.19,136.19
TANZANIA REP,17127.72,16.87,0.285,0.176,1015.28
SUDAN,11931.52,15.91,0.199,0.166,749.94
LEBANON,3851.6,15.32,0.064,0.159,251.41
NEPAL,3723.82,14.36,0.062,0.149,259.32
TURKEY,3854.64,13.5,0.064,0.14,285.53
MOZAMBIQUE,10872.21,13.27,0.181,0.138,819.31
BHUTAN,11437.23,12.89,0.191,0.134,887.29
GAMBIA,11802.71,12.02,0.197,0.125,981.92
GHANA,9950.43,11.71,0.166,0.122,849.74
CAMEROON,7929.35,11.39,0.132,0.119,696.17
DJIBOUTI,9462.95,10.82,0.158,0.113,874.58
ISRAEL,2885.82,10.65,0.048,0.111,270.97
GREECE,1936.83,10.2,0.032,0.106,189.89
TAIWAN,2355.67,9.68,0.039,0.101,243.35
PORTUGAL,894.06,9.54,0.015,0.099,93.72
TUNISIA,6400.0,9.15,0.107,0.095,699.45
MALDIVES,4000.53,8.29,0.067,0.086,482.57
GABON,2120.34,7.89,0.035,0.082,268.74
MEXICO,1312.46,7.85,0.022,0.082,167.19
THAILAND,1041.13,7.47,0.017,0.078,139.37
ARGENTINA,769.38,5.97,0.013,0.062,128.87
LIBYA,3810.0,5.57,0.063,0.058,684.02
SYRIA,1766.1,5.37,0.029,0.056,328.88
NEW ZEALAND,1296.3,4.51,0.022,0.047,287.43
BRAZIL,763.99,4.37,0.013,0.045,174.83
REUNION,2463.63,3.83,0.041,0.04,643.25
ZIMBABWE,544.72,3.71,0.009,0.039,146.82
MADAGASCAR,3188.15,3.6,0.053,0.037,885.6
HUNGARY,2457.39,3.49,0.041,0.036,704.12
NETHERLANDANTIL,320.0,3.21,0.005,0.033,99.69
MYANMAR,2047.18,3.2,0.034,0.033,639.74
SWEDEN,700.58,2.74,0.012,0.029,255.69
AUSTRIA,377.39,2.63,0.006,0.027,143.49
COMOROS,1234.68,1.85,0.021,0.019,667.39
NORWAY,399.65,1.83,0.007,0.019,218.39
UGANDA,820.02,1.72,0.014,0.018,476.76
RWANDA,690.56,1.54,0.012,0.016,448.42
FINLAND,224.27,1.07,0.004,0.011,209.6
TOGO,1036.0,1.06,0.017,0.011,977.36
VIETNAM SOC REP,453.19,1.06,0.008,0.011,427.54
BARBADOS,330.84,1.05,0.006,0.011,315.09
ESTONIA,478.23,1.05,0.008,0.011,455.46
URUGUAY,78.0,0.98,0.001,0.01,79.59
ETHIOPIA,359.5,0.95,0.006,0.01,378.42
COLOMBIA,99.83,0.94,0.002,0.01,106.2
BURUNDI,185.82,0.92,0.003,0.01,201.98
CONGO P REP,147.54,0.86,0.002,0.009,171.56
MALTA,223.79,0.86,0.004,0.009,260.22
CHILE,97.29,0.82,0.002,0.009,118.65
IRELAND,134.22,0.7,0.002,0.007,191.74
LIBERIA,172.98,0.67,0.003,0.007,258.18
GUATEMALA,97.95,0.67,0.002,0.007,146.19
CZECH REPUBLIC,180.45,0.64,0.003,0.007,281.95
LITHUANIA,413.15,0.63,0.007,0.007,655.79
LATVIA,228.6,0.6,0.004,0.006,381.0
CYPRUS,201.42,0.55,0.003,0.006,366.22
BRUNEI,297.74,0.53,0.005,0.006,561.77
ALGERIA,311.2,0.51,0.005,0.005,610.2
MACAO,96.0,0.5,0.002,0.005,192.0
CONGO D. REP.,130.6,0.44,0.002,0.005,296.82
TRINIDAD,139.92,0.41,0.002,0.004,341.27
FIJI IS,114.09,0.39,0.002,0.004,292.54
BURKINA FASO,103.67,0.38,0.002,0.004,272.82
KOREA DP RP,43.74,0.38,0.001,0.004,115.11
SERBIA,304.99,0.38,0.005,0.004,802.61
BOLIVIA,58.0,0.34,0.001,0.004,170.59
VENEZUELA,54.11,0.33,0.001,0.003,163.97
ZAMBIA,98.36,0.32,0.002,0.003,307.38
FR GUIANA,20.0,0.31,0.0,0.003,64.52
DOMINICA,53.87,0.3,0.001,0.003,179.57
AFGHANISTAN TIS,30.65,0.29,0.001,0.003,105.69
PANAMA REPUBLIC,56.24,0.29,0.001,0.003,193.93
MAURITANIA,50.79,0.27,0.001,0.003,188.11
ARMENIA,79.51,0.27,0.001,0.003,294.48
GUINEA,59.09,0.22,0.001,0.002,268.59
IRAQ,42.48,0.21,0.001,0.002,202.29
SURINAME,90.0,0.21,0.001,0.002,428.57
C AFRI REP,40.0,0.2,0.001,0.002,200.0
KAZAKHSTAN,37.81,0.16,0.001,0.002,236.31
UZBEKISTAN,38.6,0.15,0.001,0.002,257.33
PUERTO RICO,20.0,0.15,0.0,0.002,133.33
SAHARWI A.DM.REP.,26.88,0.13,0.0,0.001,206.77
CROATIA,56.23,0.13,0.001,0.001,432.54
GUINEA BISSAU,35.14,0.12,0.001,0.001,292.83
TURKMENISTAN,38.64,0.11,0.001,0.001,351.27
ROMANIA,73.27,0.11,0.001,0.001,666.09
MONTSERRAT,27.5,0.1,0.0,0.001,275.0
PERU,8.5,0.09,0.0,0.001,94.44
GEORGIA,46.58,0.09,0.001,0.001,517.56
NAMIBIA,13.09,0.09,0.0,0.001,145.44
GUADELOUPE,22.0,0.08,0.0,0.001,275.0
BULGARIA,35.0,0.08,0.001,0.001,437.5
PARAGUAY,15.95,0.07,0.0,0.001,227.86
MALAWI,21.6,0.07,0.0,0.001,308.57
COSTA RICA,41.61,0.07,0.001,0.001,594.43
DOMINIC REP,37.0,0.06,0.001,0.001,616.67
SAMOA,16.0,0.05,0.0,0.001,320.0
BAHAMAS,16.82,0.04,0.0,0.0,420.5
BOTSWANA,14.13,0.04,0.0,0.0,353.25
PANAMA CANAL ZONE,22.73,0.04,0.0,0.0,568.25
ST HELENA,22.0,0.04,0.0,0.0,550.0
TOKELAU ISLANDS,5.0,0.04,0.0,0.0,125.0
NAURU,21.29,0.04,0.0,0.0,532.25
JAMAICA,14.33,0.03,0.0,0.0,477.67
SLOVENIA,16.3,0.03,0.0,0.0,543.33
NORFOLK ISLANDS,11.6,0.03,0.0,0.0,386.67
KYRGHYZSTAN,1.05,0.02,0.0,0.0,52.5
GIBRALTAR,0.98,0.01,0.0,0.0,98.0
NIGER,1.2,0.01,0.0,0.0,120.0
LAO PD RP,7.74,0.01,0.0,0.0,774.0
CUBA,1.38,0.01,0.0,0.0,138.0
SLOVAK REP,9.02,0.01,0.0,0.0,902.0
AZERBAIJAN,0.6,0.01,0.0,0.0,60.0
SOLOMON ISLANDS,0.5,0.01,0.0,0.0,50.0
MARTINIQUE,2.86,0.01,0.0,0.0,286.0
AMERI SAMOA,2.31,0.01,0.0,0.0,231.0
PAPUA N GNA,0.9,0.01,0.0,0.0,90.0
Total,6002830.25,9611.15,100.0,100.0,624.57
