Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
VIETNAM SOC REP,906154.48,15854.04,4.044,12.597,57.16
U ARAB EMTS,1456477.6,9853.14,6.501,7.829,147.82
SAUDI ARAB,1205247.37,8650.71,5.379,6.873,139.32
U S A,726581.02,8282.21,3.243,6.581,87.73
IRAN,996024.24,6534.76,4.446,5.192,152.42
BANGLADESH PR,2411006.87,6529.46,10.761,5.188,369.25
NEPAL,1943461.44,4318.12,8.674,3.431,450.07
IRAQ,597437.68,4314.54,2.667,3.428,138.47
MALAYSIA,601627.48,4195.31,2.685,3.333,143.4
NETHERLAND,272203.7,2893.78,1.215,2.299,94.07
U K,360605.9,2811.43,1.61,2.234,128.26
INDONESIA,399462.92,2671.0,1.783,2.122,149.56
SRI LANKA DSR,895244.15,2537.47,3.996,2.016,352.81
BENIN,798467.65,2173.2,3.564,1.727,367.42
KUWAIT,333566.92,2132.03,1.489,1.694,156.46
EGYPT A RP,126437.12,2032.61,0.564,1.615,62.2
OMAN,592809.98,1967.18,2.646,1.563,301.35
QATAR,354839.02,1867.67,1.584,1.484,189.99
SENEGAL,847895.67,1812.52,3.784,1.44,467.8
YEMEN REPUBLC,309909.99,1584.33,1.383,1.259,195.61
PHILIPPINES,178550.61,1502.48,0.797,1.194,118.84
RUSSIA,196138.79,1481.86,0.875,1.177,132.36
GERMANY,111770.86,1297.44,0.499,1.031,86.15
GUINEA,474666.85,1195.57,2.119,0.95,397.02
SINGAPORE,172794.04,1121.46,0.771,0.891,154.08
CANADA,124682.59,1108.62,0.556,0.881,112.47
COTE D IVOIRE,407980.12,1037.55,1.821,0.824,393.21
TURKEY,178737.13,1018.76,0.798,0.809,175.45
SOMALIA,356189.53,968.66,1.59,0.77,367.71
AUSTRALIA,99685.19,946.84,0.445,0.752,105.28
JAPAN,45554.89,914.72,0.203,0.727,49.8
ALGERIA,83943.55,784.2,0.375,0.623,107.04
PAKISTAN IR,116910.0,766.9,0.522,0.609,152.44
BELGIUM,86481.93,738.45,0.386,0.587,117.11
BAHARAIN IS,119881.57,700.6,0.535,0.557,171.11
JORDAN,96594.77,697.26,0.431,0.554,138.53
LIBERIA,271625.11,682.06,1.212,0.542,398.24
SOUTH AFRICA,182434.89,679.1,0.814,0.54,268.64
FRANCE,60527.07,646.24,0.27,0.513,93.66
THAILAND,52314.56,575.14,0.233,0.457,90.96
DJIBOUTI,225098.67,549.86,1.005,0.437,409.37
TAIWAN,36018.34,504.78,0.161,0.401,71.35
ITALY,73645.06,488.27,0.329,0.388,150.83
CHINA P RP,56877.76,470.38,0.254,0.374,120.92
SPAIN,45537.27,467.6,0.203,0.372,97.39
AFGHANISTAN TIS,121181.17,467.21,0.541,0.371,259.37
HONG KONG,28588.99,466.99,0.128,0.371,61.22
MADAGASCAR,189716.23,454.39,0.847,0.361,417.52
GHANA,113547.28,430.09,0.507,0.342,264.01
MAURITIUS,67959.28,419.38,0.303,0.333,162.05
TOGO,137612.69,406.5,0.614,0.323,338.53
ISRAEL,48947.73,380.68,0.218,0.302,128.58
ANGOLA,61966.34,380.04,0.277,0.302,163.05
NIGERIA,64418.43,370.82,0.288,0.295,173.72
NORWAY,92612.51,363.8,0.413,0.289,254.57
KENYA,93929.41,345.13,0.419,0.274,272.16
MALDIVES,174161.22,333.77,0.777,0.265,521.8
SUDAN,108613.38,329.69,0.485,0.262,329.44
NIGER,108039.78,304.37,0.482,0.242,354.96
BHUTAN,33669.12,301.14,0.15,0.239,111.81
KOREA RP,34471.69,282.28,0.154,0.224,122.12
LEBANON,36307.0,266.01,0.162,0.211,136.49
CAMEROON,61640.66,211.94,0.275,0.168,290.84
NEW ZEALAND,22272.23,200.85,0.099,0.16,110.89
LIBYA,60843.18,198.82,0.272,0.158,306.02
ETHIOPIA,68178.73,191.78,0.304,0.152,355.5
UKRAINE,38929.53,190.43,0.174,0.151,204.43
TURKMENISTAN,12536.91,185.6,0.056,0.147,67.55
TANZANIA REP,37598.56,183.97,0.168,0.146,204.37
CONGO P REP,21059.09,175.27,0.094,0.139,120.15
SIERRA LEONE,56469.76,170.58,0.252,0.136,331.05
GEORGIA,23213.2,156.57,0.104,0.124,148.26
SYRIA,24252.17,147.51,0.108,0.117,164.41
POLAND,16600.76,142.89,0.074,0.114,116.18
GREECE,11345.56,137.28,0.051,0.109,82.65
HAITI,17777.49,126.22,0.079,0.1,140.85
SWITZERLAND,8451.97,118.08,0.038,0.094,71.58
GABON,7890.57,110.7,0.035,0.088,71.28
BRUNEI,10225.85,110.44,0.046,0.088,92.59
SWEDEN,12422.73,107.03,0.055,0.085,116.07
CONGO D. REP.,14250.79,102.76,0.064,0.082,138.68
BRAZIL,10805.84,96.46,0.048,0.077,112.02
ARGENTINA,9482.96,95.07,0.042,0.076,99.75
GAMBIA,31244.21,93.4,0.139,0.074,334.52
UGANDA,16255.09,90.11,0.073,0.072,180.39
REUNION,16998.1,83.01,0.076,0.066,204.77
BURKINA FASO,24599.0,81.73,0.11,0.065,300.98
TUNISIA,23596.94,81.56,0.105,0.065,289.32
DENMARK,10728.62,80.16,0.048,0.064,133.84
MYANMAR,9299.46,71.95,0.042,0.057,129.25
MOROCCO,12971.64,71.84,0.058,0.057,180.56
MEXICO,8294.04,70.64,0.037,0.056,117.41
NAMIBIA,21107.63,66.77,0.094,0.053,316.12
PORTUGAL,9269.99,61.72,0.041,0.049,150.19
SEYCHELLES,11157.91,54.68,0.05,0.043,204.06
ZAMBIA,8208.58,49.76,0.037,0.04,164.96
ARMENIA,2378.21,47.44,0.011,0.038,50.13
TRINIDAD,1966.24,46.74,0.009,0.037,42.07
CHILE,7274.0,45.52,0.032,0.036,159.8
MAURITANIA,7281.74,45.46,0.033,0.036,160.18
FINLAND,3698.05,45.16,0.017,0.036,81.89
AZERBAIJAN,6099.5,43.68,0.027,0.035,139.64
MOZAMBIQUE,9971.2,42.94,0.045,0.034,232.21
COMOROS,8212.51,39.93,0.037,0.032,205.67
RWANDA,6632.88,35.59,0.03,0.028,186.37
MALI,5696.66,30.92,0.025,0.025,184.24
ROMANIA,1572.58,30.6,0.007,0.024,51.39
IRELAND,3854.68,29.58,0.017,0.024,130.31
LITHUANIA,4643.95,29.1,0.021,0.023,159.59
GUINEA BISSAU,9304.01,27.68,0.042,0.022,336.13
DOMINIC REP,3743.26,27.32,0.017,0.022,137.02
EQUTL GUINEA,3372.26,25.77,0.015,0.02,130.86
CAMBODIA,9677.54,22.77,0.043,0.018,425.01
ESTONIA,2013.77,22.47,0.009,0.018,89.62
LATVIA,2034.63,21.09,0.009,0.017,96.47
BULGARIA,2264.6,19.28,0.01,0.015,117.46
UZBEKISTAN,274.99,18.68,0.001,0.015,14.72
AUSTRIA,1609.48,18.48,0.007,0.015,87.09
KAZAKHSTAN,1919.3,17.86,0.009,0.014,107.46
HUNGARY,2188.42,17.68,0.01,0.014,123.78
CZECH REPUBLIC,1165.65,17.57,0.005,0.014,66.34
SLOVENIA,1964.31,17.02,0.009,0.014,115.41
CYPRUS,1418.65,14.86,0.006,0.012,95.47
KOREA DP RP,856.4,13.95,0.004,0.011,61.39
CROATIA,2013.51,13.95,0.009,0.011,144.34
COLOMBIA,1051.05,13.37,0.005,0.011,78.61
BURUNDI,3805.97,13.13,0.017,0.01,289.87
SERBIA,1781.28,12.71,0.008,0.01,140.15
TAJIKISTAN,1033.7,12.28,0.005,0.01,84.18
BELARUS,1797.79,11.49,0.008,0.009,156.47
FIJI IS,1312.53,11.22,0.006,0.009,116.98
LAO PD RP,821.11,9.44,0.004,0.008,86.98
ALBANIA,973.8,8.51,0.004,0.007,114.43
CUBA,924.36,8.51,0.004,0.007,108.62
CHAD,1083.62,8.4,0.005,0.007,129.0
PERU,604.83,8.06,0.003,0.006,75.04
GUADELOUPE,1362.41,7.48,0.006,0.006,182.14
MALAWI,1947.59,7.41,0.009,0.006,262.83
JAMAICA,894.7,7.06,0.004,0.006,126.73
GUATEMALA,611.12,6.98,0.003,0.006,87.55
C AFRI REP,919.21,6.12,0.004,0.005,150.2
PANAMA REPUBLIC,540.03,6.08,0.002,0.005,88.82
BOTSWANA,713.11,5.94,0.003,0.005,120.05
GUYANA,438.37,5.05,0.002,0.004,86.81
SERBIA MONTNGRO,644.91,4.24,0.003,0.003,152.1
VENEZUELA,642.88,3.93,0.003,0.003,163.58
URUGUAY,326.86,3.88,0.001,0.003,84.24
ZIMBABWE,868.24,3.45,0.004,0.003,251.66
KYRGHYZSTAN,469.76,3.36,0.002,0.003,139.81
SOUTH SUDAN,404.13,3.21,0.002,0.003,125.9
MALTA,555.53,3.01,0.002,0.002,184.56
COSTA RICA,240.5,2.9,0.001,0.002,82.93
PAPUA N GNA,336.83,2.72,0.002,0.002,123.83
HONDURAS,243.9,2.57,0.001,0.002,94.9
FR POLYNESIA,391.8,2.56,0.002,0.002,153.05
UNSPECIFIED,205.88,2.45,0.001,0.002,84.03
MONGOLIA,332.05,2.38,0.001,0.002,139.52
ERITREA,705.0,2.35,0.003,0.002,300.0
SURINAME,197.71,2.34,0.001,0.002,84.49
MOLDOVA,415.79,1.99,0.002,0.002,208.94
NETHERLANDANTIL,225.59,1.96,0.001,0.002,115.1
EL SALVADOR,202.08,1.94,0.001,0.002,104.16
SLOVAK REP,117.27,1.89,0.001,0.002,62.05
MACEDONIA,285.0,1.82,0.001,0.001,156.59
SOLOMON ISLANDS,232.13,1.82,0.001,0.001,127.54
PARAGUAY,115.13,1.81,0.001,0.001,63.61
LESOTHO,502.24,1.8,0.002,0.001,279.02
BOSNIA-HRZGOVIN,275.7,1.75,0.001,0.001,157.54
ECUADOR,154.4,1.67,0.001,0.001,92.46
TONGA,252.36,1.63,0.001,0.001,154.82
CAPE VERDE IS,211.68,1.47,0.001,0.001,144.0
NICARAGUA,168.93,1.45,0.001,0.001,116.5
SAO TOME,308.07,1.38,0.001,0.001,223.24
PUERTO RICO,115.29,1.03,0.001,0.001,111.93
MARTINIQUE,114.63,1.0,0.001,0.001,114.63
BARBADOS,131.82,0.99,0.001,0.001,133.15
BAHAMAS,66.19,0.9,0.0,0.001,73.54
GUAM,85.56,0.85,0.0,0.001,100.66
TIMOR-LESTE,212.97,0.76,0.001,0.001,280.22
NEW CALEDONIA,46.36,0.6,0.0,0.0,77.27
VANUATU,85.53,0.59,0.0,0.0,144.97
MACAO,5.18,0.5,0.0,0.0,10.36
BELIZE,54.7,0.43,0.0,0.0,127.21
DOMINICA,81.64,0.43,0.0,0.0,189.86
CAYMAN IS,49.83,0.41,0.0,0.0,121.54
Eswatini,52.38,0.38,0.0,0.0,137.84
SAMOA,36.12,0.29,0.0,0.0,124.55
ARUBA,26.0,0.16,0.0,0.0,162.5
ST LUCIA,12.0,0.15,0.0,0.0,80.0
United States Minor Outlying Islands,58.0,0.09,0.0,0.0,644.44
BOLIVIA,3.14,0.09,0.0,0.0,34.89
KIRIBATI REPUBLIC,8.87,0.07,0.0,0.0,126.71
ICELAND,0.16,0.04,0.0,0.0,4.0
MARSHALL ISLAND,3.01,0.04,0.0,0.0,75.25
COOK IS,0.6,0.03,0.0,0.0,20.0
ST HELENA,3.51,0.02,0.0,0.0,175.5
GRENADA,0.25,0.01,0.0,0.0,25.0
AMERI SAMOA,2.09,0.01,0.0,0.0,209.0
BR VIRGN ISLANDS,0.5,0.01,0.0,0.0,50.0
MONACO,1.42,0.01,0.0,0.0,142.0
Total,22404834.01,125858.13,100.0,100.0,178.02
