Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
SAUDI ARAB,611876.77,1414.86,18.019,19.43,432.46
BANGLADESH PR,573580.16,619.23,16.891,8.504,926.28
U ARAB EMTS,230778.35,610.48,6.796,8.383,378.03
U S A,112738.92,599.37,3.32,8.231,188.1
U K,102726.91,384.11,3.025,5.275,267.44
MALAYSIA,164629.3,364.42,4.848,5.004,451.76
SRI LANKA DSR,227348.25,273.55,6.695,3.757,831.1
INDONESIA,93681.32,219.58,2.759,3.015,426.64
KUWAIT,77941.24,203.62,2.295,2.796,382.78
RUSSIA,152774.63,188.91,4.499,2.594,808.72
GERMANY,35489.61,187.54,1.045,2.575,189.24
SOUTH AFRICA,154475.82,181.3,4.549,2.49,852.05
NETHERLAND,102746.58,159.77,3.026,2.194,643.09
PHILIPPINES,42945.98,151.66,1.265,2.083,283.17
NIGERIA,109240.03,110.06,3.217,1.511,992.55
EGYPT A RP,38074.13,107.47,1.121,1.476,354.28
FRANCE,24395.96,94.44,0.718,1.297,258.32
YEMEN REPUBLC,49677.66,86.45,1.463,1.187,574.64
SINGAPORE,42798.42,79.79,1.26,1.096,536.39
OMAN,25009.6,74.38,0.737,1.021,336.24
ITALY,11958.28,70.12,0.352,0.963,170.54
JAPAN,14814.96,65.3,0.436,0.897,226.88
CHINA P RP,11602.56,64.24,0.342,0.882,180.61
NEPAL,32692.73,61.47,0.963,0.844,531.85
BELGIUM,16959.51,57.86,0.499,0.795,293.11
HONG KONG,7901.75,53.97,0.233,0.741,146.41
CANADA,14028.45,50.23,0.413,0.69,279.28
MAURITIUS,21644.35,45.94,0.637,0.631,471.14
BAHARAIN IS,19479.29,43.66,0.574,0.6,446.16
SWITZERLAND,4948.77,41.2,0.146,0.566,120.12
SPAIN,11400.59,41.1,0.336,0.564,277.39
AUSTRALIA,9550.59,38.84,0.281,0.533,245.9
IRAN,8662.88,37.38,0.255,0.513,231.75
JORDAN,8720.84,32.59,0.257,0.448,267.59
QATAR,12534.04,27.02,0.369,0.371,463.88
LIBYA,14615.71,21.84,0.43,0.3,669.22
SOMALIA,19769.0,20.05,0.582,0.275,985.99
SUDAN,8895.54,18.94,0.262,0.26,469.67
KOREA RP,12869.17,18.42,0.379,0.253,698.65
ISRAEL,5917.51,18.12,0.174,0.249,326.57
PAKISTAN IR,7266.51,16.67,0.214,0.229,435.9
POLAND,5081.13,16.65,0.15,0.229,305.17
DENMARK,2311.85,15.87,0.068,0.218,145.67
LEBANON,4636.21,14.03,0.137,0.193,330.45
GREECE,2326.44,12.52,0.069,0.172,185.82
DJIBOUTI,10600.65,12.0,0.312,0.165,883.39
KENYA,13694.11,11.88,0.403,0.163,1152.7
GHANA,13788.93,11.65,0.406,0.16,1183.6
MOZAMBIQUE,9057.1,11.54,0.267,0.158,784.84
BRAZIL,1583.44,11.54,0.047,0.158,137.21
SENEGAL,14417.21,11.53,0.425,0.158,1250.41
GABON,3181.89,11.2,0.094,0.154,284.1
SEYCHELLES,4781.39,11.03,0.141,0.151,433.49
THAILAND,1554.72,10.9,0.046,0.15,142.63
PORTUGAL,978.45,10.88,0.029,0.149,89.93
TURKEY,2596.17,9.62,0.076,0.132,269.87
TAIWAN,1667.75,9.05,0.049,0.124,184.28
TUNISIA,7359.48,8.41,0.217,0.115,875.09
BHUTAN,6614.11,8.33,0.195,0.114,794.01
MALI,5334.03,7.83,0.157,0.108,681.23
ANGOLA,1925.59,7.55,0.057,0.104,255.05
MALDIVES,3100.82,6.98,0.091,0.096,444.24
UKRAINE,2706.32,6.62,0.08,0.091,408.81
MEXICO,1295.48,5.96,0.038,0.082,217.36
SWEDEN,999.66,5.32,0.029,0.073,187.91
NORWAY,919.74,5.19,0.027,0.071,177.21
ARGENTINA,734.05,5.09,0.022,0.07,144.21
COLOMBIA,4341.2,5.0,0.128,0.069,868.24
NEW ZEALAND,1192.54,4.86,0.035,0.067,245.38
REUNION,2257.33,4.14,0.066,0.057,545.25
MYANMAR,1703.35,3.7,0.05,0.051,460.36
ZIMBABWE,586.12,3.54,0.017,0.049,165.57
SYRIA,952.78,3.06,0.028,0.042,311.37
FINLAND,653.44,3.04,0.019,0.042,214.95
CONGO P REP,629.42,2.49,0.019,0.034,252.78
CHILE,303.39,2.17,0.009,0.03,139.81
TANZANIA REP,396.7,2.01,0.012,0.028,197.36
NETHERLANDANTIL,231.18,1.74,0.007,0.024,132.86
KOREA DP RP,223.27,1.63,0.007,0.022,136.98
AUSTRIA,318.47,1.6,0.009,0.022,199.04
BARBADOS,1311.61,1.58,0.039,0.022,830.13
HUNGARY,297.03,1.57,0.009,0.022,189.19
CYPRUS,584.96,1.48,0.017,0.02,395.24
MOROCCO,271.32,1.12,0.008,0.015,242.25
LIBERIA,234.42,1.11,0.007,0.015,211.19
CZECH REPUBLIC,258.49,1.0,0.008,0.014,258.49
ALBANIA,200.6,0.84,0.006,0.012,238.81
COTE D IVOIRE,217.28,0.79,0.006,0.011,275.04
RWANDA,370.26,0.78,0.011,0.011,474.69
URUGUAY,72.0,0.78,0.002,0.011,92.31
BRUNEI,377.11,0.77,0.011,0.011,489.75
BULGARIA,294.1,0.75,0.009,0.01,392.13
MALTA,147.59,0.68,0.004,0.009,217.04
