Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BANGLADESH PR,2700118.88,3640.35,17.707,12.376,741.72
SAUDI ARAB,1166902.77,3456.25,7.652,11.75,337.62
U ARAB EMTS,1383968.01,3155.34,9.076,10.727,438.61
MALAYSIA,1651078.68,2019.88,10.827,6.867,817.41
U S A,317445.77,1395.42,2.082,4.744,227.49
KUWAIT,618571.74,930.12,4.056,3.162,665.05
U K,206508.85,893.41,1.354,3.037,231.15
COTE D IVOIRE,632462.89,721.98,4.148,2.454,876.01
VIETNAM SOC REP,286601.68,701.32,1.879,2.384,408.66
PHILIPPINES,123241.78,622.39,0.808,2.116,198.01
NETHERLAND,146881.19,589.6,0.963,2.004,249.12
INDONESIA,182111.68,547.08,1.194,1.86,332.88
NEPAL,445396.98,499.46,2.921,1.698,891.76
SRI LANKA DSR,340022.39,479.83,2.23,1.631,708.63
SOUTH AFRICA,292868.35,440.46,1.921,1.497,664.91
YEMEN REPUBLC,235789.01,433.69,1.546,1.474,543.68
EGYPT A RP,80023.93,432.74,0.525,1.471,184.92
PAKISTAN IR,254761.31,431.32,1.671,1.466,590.65
ANGOLA,157393.99,387.64,1.032,1.318,406.03
GERMANY,78789.33,374.06,0.517,1.272,210.63
OMAN,299363.5,300.69,1.963,1.022,995.59
KOREA RP,296034.0,296.85,1.941,1.009,997.25
CHINA P RP,56310.95,274.6,0.369,0.934,205.07
TAIWAN,266283.29,273.69,1.746,0.93,972.94
NIGERIA,208331.65,261.66,1.366,0.89,796.19
JORDAN,102428.81,259.03,0.672,0.881,395.43
IRAN,91217.33,243.52,0.598,0.828,374.58
GUINEA,210408.46,232.45,1.38,0.79,905.18
CANADA,57336.14,204.1,0.376,0.694,280.92
SINGAPORE,96891.49,202.38,0.635,0.688,478.76
QATAR,150364.91,191.75,0.986,0.652,784.17
SENEGAL,140378.13,181.78,0.921,0.618,772.24
ALGERIA,38046.11,180.59,0.249,0.614,210.68
JAPAN,21973.06,180.17,0.144,0.613,121.96
RUSSIA,77968.07,173.88,0.511,0.591,448.4
FRANCE,39209.73,166.12,0.257,0.565,236.03
BENIN,123929.92,151.92,0.813,0.516,815.76
AUSTRALIA,39640.87,149.41,0.26,0.508,265.32
BELGIUM,40509.45,149.08,0.266,0.507,271.73
TOGO,133507.98,144.89,0.876,0.493,921.44
SOMALIA,110151.93,141.92,0.722,0.482,776.16
SPAIN,35960.23,137.51,0.236,0.467,261.51
IRAQ,39889.11,130.29,0.262,0.443,306.16
BAHARAIN IS,98518.14,126.63,0.646,0.431,778.0
ITALY,29617.03,113.69,0.194,0.387,260.51
CONGO P REP,32609.11,109.7,0.214,0.373,297.26
CAMEROON,105991.85,105.66,0.695,0.359,1003.14
MAURITIUS,32618.46,96.3,0.214,0.327,338.72
AFGHANISTAN TIS,230879.2,90.15,1.514,0.306,2561.06
GHANA,20044.41,84.74,0.131,0.288,236.54
MOZAMBIQUE,67068.5,84.48,0.44,0.287,793.9
THAILAND,17126.39,84.21,0.112,0.286,203.38
DJIBOUTI,48812.94,81.55,0.32,0.277,598.56
UKRAINE,22647.42,80.15,0.149,0.272,282.56
LEBANON,16621.3,76.35,0.109,0.26,217.7
MALDIVES,82290.19,74.84,0.54,0.254,1099.55
SYRIA,19240.97,72.49,0.126,0.246,265.43
KENYA,36394.52,69.77,0.239,0.237,521.64
GEORGIA,11300.26,68.25,0.074,0.232,165.57
TURKEY,14996.48,63.26,0.098,0.215,237.06
DENMARK,6116.6,52.1,0.04,0.177,117.4
GABON,8156.0,51.04,0.053,0.174,159.8
MOROCCO,3649.28,45.39,0.024,0.154,80.4
ARMENIA,6280.62,44.21,0.041,0.15,142.06
ISRAEL,10240.64,43.46,0.067,0.148,235.63
PORTUGAL,13176.43,36.1,0.086,0.123,365.0
TANZANIA REP,14647.62,35.07,0.096,0.119,417.67
GREECE,7959.48,33.41,0.052,0.114,238.24
HONG KONG,7726.5,33.15,0.051,0.113,233.08
MADAGASCAR,20993.75,31.07,0.138,0.106,675.69
NEW ZEALAND,7676.06,30.66,0.05,0.104,250.36
AZERBAIJAN,3625.25,29.13,0.024,0.099,124.45
ETHIOPIA,4657.78,28.53,0.031,0.097,163.26
SEYCHELLES,13743.7,27.93,0.09,0.095,492.08
SWITZERLAND,4426.45,26.97,0.029,0.092,164.12
BHUTAN,12619.97,26.17,0.083,0.089,482.23
MYANMAR,2461.35,25.69,0.016,0.087,95.81
HAITI,7525.47,25.29,0.049,0.086,297.57
BRAZIL,4179.66,24.97,0.027,0.085,167.39
MEXICO,5426.82,24.51,0.036,0.083,221.41
UNSPECIFIED,13894.18,24.47,0.091,0.083,567.8
TUNISIA,7037.02,23.55,0.046,0.08,298.81
BRUNEI,5574.87,22.99,0.037,0.078,242.49
SUDAN,9521.31,21.77,0.062,0.074,437.36
SWEDEN,3914.43,21.39,0.026,0.073,183.0
TAJIKISTAN,16223.78,20.75,0.106,0.071,781.87
COMOROS,7903.18,20.19,0.052,0.069,391.44
POLAND,2768.76,17.65,0.018,0.06,156.87
ESTONIA,8828.28,15.7,0.058,0.053,562.31
LITHUANIA,8337.77,15.1,0.055,0.051,552.17
LIBYA,3568.08,14.76,0.023,0.05,241.74
UGANDA,4610.89,14.65,0.03,0.05,314.74
NORWAY,2573.28,14.09,0.017,0.048,182.63
CYPRUS,8903.04,13.94,0.058,0.047,638.67
LIBERIA,37553.68,13.72,0.246,0.047,2737.15
REUNION,6151.6,12.45,0.04,0.042,494.1
SIERRA LEONE,10080.19,11.45,0.066,0.039,880.37
AUSTRIA,2271.69,10.75,0.015,0.037,211.32
NAMIBIA,1750.26,10.59,0.011,0.036,165.27
GUINEA BISSAU,10730.38,10.32,0.07,0.035,1039.77
EQUTL GUINEA,1840.69,10.26,0.012,0.035,179.4
FINLAND,1323.32,9.54,0.009,0.032,138.71
MONGOLIA,10661.57,9.05,0.07,0.031,1178.07
ARGENTINA,1388.32,7.3,0.009,0.025,190.18
TURKMENISTAN,4051.02,6.51,0.027,0.022,622.28
KAZAKHSTAN,2579.98,6.04,0.017,0.021,427.15
GAMBIA,3553.92,5.8,0.023,0.02,612.74
CHILE,1286.0,5.69,0.008,0.019,226.01
LATVIA,1662.5,4.55,0.011,0.015,365.38
BURKINA FASO,1102.26,4.36,0.007,0.015,252.81
TRINIDAD,863.6,3.94,0.006,0.013,219.19
COLOMBIA,561.58,3.88,0.004,0.013,144.74
GUATEMALA,566.94,3.57,0.004,0.012,158.81
IRELAND,882.96,3.49,0.006,0.012,253.0
BOTSWANA,1160.6,3.49,0.008,0.012,332.55
BULGARIA,1276.69,3.48,0.008,0.012,366.86
UZBEKISTAN,498.71,3.42,0.003,0.012,145.82
SURINAME,235.55,3.06,0.002,0.01,76.98
BAHAMAS,698.2,2.92,0.005,0.01,239.11
ROMANIA,482.97,2.67,0.003,0.009,180.89
MALI,195.33,2.15,0.001,0.007,90.85
NIGER,629.37,2.04,0.004,0.007,308.51
CHAD,521.65,1.9,0.003,0.006,274.55
FIJI IS,491.65,1.9,0.003,0.006,258.76
KYRGHYZSTAN,335.04,1.89,0.002,0.006,177.27
ALBANIA,278.56,1.76,0.002,0.006,158.27
MAURITANIA,807.93,1.71,0.005,0.006,472.47
DOMINIC REP,246.79,1.71,0.002,0.006,144.32
PANAMA REPUBLIC,155.94,1.69,0.001,0.006,92.27
HUNGARY,277.85,1.58,0.002,0.005,175.85
VENEZUELA,459.41,1.56,0.003,0.005,294.49
CZECH REPUBLIC,291.61,1.44,0.002,0.005,202.51
PUERTO RICO,375.87,1.44,0.002,0.005,261.02
SERBIA,243.64,1.26,0.002,0.004,193.37
CROATIA,424.84,1.18,0.003,0.004,360.03
PERU,189.53,1.13,0.001,0.004,167.73
MALTA,892.83,1.11,0.006,0.004,804.35
KOREA DP RP,203.17,1.07,0.001,0.004,189.88
JAMAICA,281.31,1.05,0.002,0.004,267.91
SLOVENIA,279.53,1.02,0.002,0.003,274.05
ECUADOR,178.21,1.01,0.001,0.003,176.45
ZAMBIA,611.96,0.97,0.004,0.003,630.89
Eswatini,288.03,0.91,0.002,0.003,316.52
MALAWI,163.5,0.88,0.001,0.003,185.8
FR POLYNESIA,180.34,0.82,0.001,0.003,219.93
MARTINIQUE,214.82,0.67,0.001,0.002,320.63
TURKS C IS,185.89,0.65,0.001,0.002,285.98
BARBADOS,116.76,0.65,0.001,0.002,179.63
GUYANA,65.98,0.51,0.0,0.002,129.37
URUGUAY,249.01,0.46,0.002,0.002,541.33
SLOVAK REP,79.63,0.44,0.001,0.001,180.98
GRENADA,70.4,0.38,0.0,0.001,185.26
GUADELOUPE,129.0,0.36,0.001,0.001,358.33
MACEDONIA,63.28,0.36,0.0,0.001,175.78
FR GUIANA,36.0,0.31,0.0,0.001,116.13
ERITREA,105.32,0.29,0.001,0.001,363.17
EL SALVADOR,54.91,0.25,0.0,0.001,219.64
COSTA RICA,44.45,0.25,0.0,0.001,177.8
AMERI SAMOA,9.3,0.23,0.0,0.001,40.43
NETHERLANDANTIL,51.04,0.19,0.0,0.001,268.63
BR VIRGN ISLANDS,39.0,0.19,0.0,0.001,205.26
PAPUA N GNA,20.57,0.19,0.0,0.001,108.26
BURUNDI,41.54,0.15,0.0,0.001,276.93
LAO PD RP,23.28,0.15,0.0,0.001,155.2
LUXEMBOURG,6.89,0.14,0.0,0.0,49.21
PARAGUAY,29.34,0.13,0.0,0.0,225.69
CUBA,76.0,0.11,0.0,0.0,690.91
SAMOA,101.92,0.11,0.001,0.0,926.55
HONDURAS,20.01,0.11,0.0,0.0,181.91
BOLIVIA,19.0,0.1,0.0,0.0,190.0
SAO TOME,19.44,0.1,0.0,0.0,194.4
ARUBA,23.95,0.1,0.0,0.0,239.5
TONGA,30.79,0.09,0.0,0.0,342.11
GREENLAND,5.42,0.09,0.0,0.0,60.22
ST LUCIA,11.34,0.08,0.0,0.0,141.75
GIBRALTAR,10.27,0.08,0.0,0.0,128.38
CAMBODIA,9.0,0.08,0.0,0.0,112.5
ANTIGUA,12.05,0.08,0.0,0.0,150.62
MACAO,29.24,0.07,0.0,0.0,417.71
ZIMBABWE,3.8,0.06,0.0,0.0,63.33
DOMINICA,10.78,0.05,0.0,0.0,215.6
BELARUS,19.35,0.04,0.0,0.0,483.75
ICELAND,24.0,0.03,0.0,0.0,800.0
TUVALU,24.0,0.03,0.0,0.0,800.0
TOKELAU ISLANDS,1.18,0.01,0.0,0.0,118.0
KIRIBATI REPUBLIC,4.13,0.01,0.0,0.0,413.0
NICARAGUA,3.1,0.01,0.0,0.0,310.0
GUAM,0.5,0.01,0.0,0.0,50.0
Total,15249114.55,29414.57,100.0,100.0,518.42
