Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
VIETNAM SOC REP,1540400.66,12888.68,5.134,9.413,119.52
IRAN,1769287.42,12720.57,5.897,9.29,139.09
U S A,687673.78,12102.81,2.292,8.839,56.82
SAUDI ARAB,1463069.01,10665.64,4.877,7.79,137.18
BANGLADESH PR,3806105.77,7850.52,12.686,5.734,484.82
U ARAB EMTS,1896068.55,7567.54,6.32,5.527,250.55
MALAYSIA,1534248.24,5467.25,5.114,3.993,280.63
INDONESIA,1870870.16,4338.89,6.236,3.169,431.19
BENIN,1177945.22,3046.28,3.926,2.225,386.68
EGYPT A RP,211703.6,2723.45,0.706,1.989,77.73
YEMEN REPUBLC,665455.93,2485.85,2.218,1.816,267.7
KUWAIT,329004.53,2462.51,1.097,1.798,133.61
THAILAND,331148.88,2403.56,1.104,1.755,137.77
U K,294214.9,2247.65,0.981,1.642,130.9
IRAQ,272963.19,2231.51,0.91,1.63,122.32
NEPAL,1045405.4,2161.79,3.485,1.579,483.58
PAKISTAN IR,643558.37,1880.1,2.145,1.373,342.3
JORDAN,274604.56,1874.11,0.915,1.369,146.53
OMAN,612984.54,1850.88,2.043,1.352,331.19
NETHERLAND,168076.93,1668.53,0.56,1.219,100.73
ALGERIA,171390.2,1596.03,0.571,1.166,107.39
PHILIPPINES,259285.68,1542.18,0.864,1.126,168.13
KOREA RP,832005.86,1505.46,2.773,1.1,552.66
CHINA P RP,153228.72,1438.58,0.511,1.051,106.51
SENEGAL,662890.89,1297.18,2.21,0.947,511.02
SOUTH AFRICA,435114.52,1278.58,1.45,0.934,340.31
ANGOLA,143604.9,1188.16,0.479,0.868,120.86
RUSSIA,214198.46,1174.56,0.714,0.858,182.36
SINGAPORE,280217.72,1127.89,0.934,0.824,248.44
TURKEY,275524.47,1030.14,0.918,0.752,267.46
NIGERIA,276384.78,970.51,0.921,0.709,284.78
SRI LANKA DSR,392576.22,968.08,1.309,0.707,405.52
GERMANY,95493.72,951.95,0.318,0.695,100.31
QATAR,208113.29,947.62,0.694,0.692,219.62
CANADA,91404.11,865.21,0.305,0.632,105.64
LIBERIA,390452.01,838.34,1.301,0.612,465.74
DJIBOUTI,379048.39,714.05,1.263,0.522,530.84
CAMEROON,250209.11,669.8,0.834,0.489,373.56
COTE D IVOIRE,272328.04,662.23,0.908,0.484,411.23
AUSTRALIA,74647.55,658.92,0.249,0.481,113.29
MADAGASCAR,286797.74,654.68,0.956,0.478,438.07
GUINEA,233280.84,597.38,0.778,0.436,390.51
ITALY,77644.52,572.04,0.259,0.418,135.73
GHANA,150394.34,566.48,0.501,0.414,265.49
BELGIUM,95800.04,520.82,0.319,0.38,183.94
TAIWAN,254215.97,508.11,0.847,0.371,500.32
BAHARAIN IS,101932.21,505.53,0.34,0.369,201.63
SYRIA,76283.3,457.2,0.254,0.334,166.85
JAPAN,35592.38,436.43,0.119,0.319,81.55
FRANCE,51778.23,423.08,0.173,0.309,122.38
SOMALIA,175300.6,422.01,0.584,0.308,415.39
MAURITIUS,69121.02,408.52,0.23,0.298,169.2
SUDAN,133217.67,377.19,0.444,0.275,353.18
SPAIN,61655.75,356.37,0.206,0.26,173.01
CONGO P REP,31459.25,333.13,0.105,0.243,94.44
ETHIOPIA,152278.82,324.25,0.508,0.237,469.63
KENYA,84976.71,320.34,0.283,0.234,265.27
AFGHANISTAN TIS,217033.92,318.96,0.723,0.233,680.44
AZERBAIJAN,23907.99,313.72,0.08,0.229,76.21
TOGO,81134.16,291.66,0.27,0.213,278.18
LEBANON,38101.21,291.53,0.127,0.213,130.69
GEORGIA,26632.21,256.15,0.089,0.187,103.97
ISRAEL,29239.06,215.98,0.097,0.158,135.38
SIERRA LEONE,97557.58,214.27,0.325,0.156,455.3
MALDIVES,89308.84,212.87,0.298,0.155,419.55
POLAND,18709.46,209.63,0.062,0.153,89.25
UKRAINE,35054.04,206.57,0.117,0.151,169.7
TANZANIA REP,40739.0,206.4,0.136,0.151,197.38
NIGER,76878.77,206.14,0.256,0.151,372.94
BHUTAN,29721.85,195.42,0.099,0.143,152.09
HONG KONG,26091.38,175.15,0.087,0.128,148.97
GABON,10155.93,153.69,0.034,0.112,66.08
MOZAMBIQUE,53181.21,152.54,0.177,0.111,348.64
SWITZERLAND,10346.91,149.48,0.034,0.109,69.22
CONGO D. REP.,16589.65,143.59,0.055,0.105,115.53
NEW ZEALAND,16994.48,127.07,0.057,0.093,133.74
BRAZIL,6640.73,121.97,0.022,0.089,54.45
TURKMENISTAN,9594.73,119.34,0.032,0.087,80.4
MYANMAR,27586.93,115.87,0.092,0.085,238.09
GAMBIA,44964.96,108.69,0.15,0.079,413.7
NAMIBIA,28283.45,108.61,0.094,0.079,260.41
SWEDEN,9764.09,106.83,0.033,0.078,91.4
LAO PD RP,5371.74,105.15,0.018,0.077,51.09
UGANDA,19229.43,101.2,0.064,0.074,190.01
DENMARK,6364.2,94.95,0.021,0.069,67.03
HAITI,11389.68,92.78,0.038,0.068,122.76
LIBYA,14928.09,85.95,0.05,0.063,173.68
TUNISIA,22209.97,82.32,0.074,0.06,269.8
BRUNEI,15822.02,77.63,0.053,0.057,203.81
UNSPECIFIED,7045.65,73.59,0.023,0.054,95.74
GUINEA BISSAU,37634.5,72.3,0.125,0.053,520.53
EQUTL GUINEA,11145.48,71.44,0.037,0.052,156.01
TAJIKISTAN,4226.84,69.45,0.014,0.051,60.86
MEXICO,7275.5,66.62,0.024,0.049,109.21
PORTUGAL,12179.82,65.92,0.041,0.048,184.77
GREECE,16422.77,65.85,0.055,0.048,249.4
ARGENTINA,2773.49,65.48,0.009,0.048,42.36
REUNION,11592.13,59.54,0.039,0.043,194.69
ARMENIA,3212.44,58.18,0.011,0.042,55.22
LATVIA,12107.42,57.96,0.04,0.042,208.89
LITHUANIA,13030.87,57.81,0.043,0.042,225.41
MOROCCO,6901.5,50.66,0.023,0.037,136.23
MAURITANIA,13334.72,50.1,0.044,0.037,266.16
NORWAY,4875.9,49.14,0.016,0.036,99.22
CHILE,9512.09,47.68,0.032,0.035,199.5
SEYCHELLES,9241.21,45.83,0.031,0.033,201.64
UZBEKISTAN,2458.5,43.55,0.008,0.032,56.45
CAMBODIA,16174.82,39.19,0.054,0.029,412.73
BURKINA FASO,8940.53,38.6,0.03,0.028,231.62
COMOROS,9124.93,33.59,0.03,0.025,271.66
KOREA DP RP,13072.23,32.78,0.044,0.024,398.79
DOMINIC REP,4664.01,31.59,0.016,0.023,147.64
ERITREA,11259.32,29.49,0.038,0.022,381.8
BULGARIA,4989.6,28.63,0.017,0.021,174.28
ESTONIA,5947.06,27.27,0.02,0.02,218.08
FINLAND,2200.06,26.13,0.007,0.019,84.2
ROMANIA,2989.47,25.96,0.01,0.019,115.16
BELARUS,5086.87,20.45,0.017,0.015,248.75
IRELAND,2119.69,19.36,0.007,0.014,109.49
COLOMBIA,1618.76,14.99,0.005,0.011,107.99
FIJI IS,3860.5,14.58,0.013,0.011,264.78
KAZAKHSTAN,1891.85,14.36,0.006,0.01,131.74
BAHAMAS,288.4,14.28,0.001,0.01,20.2
AUSTRIA,1084.42,13.9,0.004,0.01,78.02
ECUADOR,3440.21,12.04,0.011,0.009,285.73
TRINIDAD,1883.99,11.78,0.006,0.009,159.93
RWANDA,2410.26,11.17,0.008,0.008,215.78
ZAMBIA,2043.43,11.12,0.007,0.008,183.76
MALI,2658.35,10.06,0.009,0.007,264.25
CYPRUS,1749.21,8.75,0.006,0.006,199.91
PERU,2206.57,8.62,0.007,0.006,255.98
BOTSWANA,1556.46,8.12,0.005,0.006,191.68
CROATIA,964.92,8.02,0.003,0.006,120.31
ALBANIA,878.61,7.9,0.003,0.006,111.22
CZECH REPUBLIC,577.12,7.52,0.002,0.005,76.74
SLOVENIA,529.63,7.18,0.002,0.005,73.76
JAMAICA,1268.68,6.15,0.004,0.004,206.29
GUATEMALA,460.01,6.08,0.002,0.004,75.66
ZIMBABWE,2055.09,5.96,0.007,0.004,344.81
HUNGARY,632.87,5.84,0.002,0.004,108.37
