Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BANGLADESH PR,1489573.81,1110.84,19.892,14.106,1340.94
INDONESIA,1144144.49,1017.44,15.279,12.92,1124.53
U ARAB EMTS,561638.19,693.83,7.5,8.811,809.48
SAUDI ARAB,361996.17,575.48,4.834,7.308,629.03
SOUTH AFRICA,421869.16,357.39,5.634,4.538,1180.42
KENYA,466470.88,352.78,6.229,4.48,1322.27
U S A,118912.72,322.96,1.588,4.101,368.2
MALAYSIA,313412.63,298.44,4.185,3.79,1050.17
U K,109299.43,275.84,1.46,3.503,396.24
RUSSIA,158246.31,196.9,2.113,2.5,803.69
YEMEN REPUBLC,231205.87,154.63,3.088,1.964,1495.22
SINGAPORE,121891.49,145.15,1.628,1.843,839.76
PHILIPPINES,85043.79,142.74,1.136,1.813,595.8
KUWAIT,66138.25,139.79,0.883,1.775,473.13
SRI LANKA DSR,139313.48,132.48,1.86,1.682,1051.58
NETHERLAND,75524.22,124.11,1.009,1.576,608.53
IRAN,103805.31,111.67,1.386,1.418,929.57
GERMANY,32417.67,107.09,0.433,1.36,302.71
COTE D IVOIRE,123179.88,98.93,1.645,1.256,1245.12
SENEGAL,137468.99,93.39,1.836,1.186,1471.99
VIETNAM SOC REP,116935.52,87.36,1.562,1.109,1338.55
FRANCE,39590.52,77.13,0.529,0.979,513.3
SIERRA LEONE,86994.29,67.91,1.162,0.862,1281.02
OMAN,24086.15,64.42,0.322,0.818,373.89
TURKEY,80989.44,64.23,1.082,0.816,1260.93
KOREA RP,55704.92,60.63,0.744,0.77,918.77
JORDAN,35345.6,49.13,0.472,0.624,719.43
BAHARAIN IS,26114.86,45.57,0.349,0.579,573.07
JAPAN,20405.88,44.44,0.273,0.564,459.18
TOGO,62337.0,43.24,0.832,0.549,1441.65
PERU,40468.0,42.37,0.54,0.538,955.11
NEPAL,41773.21,38.68,0.558,0.491,1079.97
ITALY,31343.76,36.23,0.419,0.46,865.13
BELGIUM,17287.43,34.98,0.231,0.444,494.21
MAURITIUS,27752.81,34.33,0.371,0.436,808.41
CANADA,12118.61,32.28,0.162,0.41,375.42
TANZANIA REP,39272.57,30.89,0.524,0.392,1271.37
SPAIN,6907.09,29.71,0.092,0.377,232.48
GREECE,7618.59,29.16,0.102,0.37,261.27
MOROCCO,43507.08,26.82,0.581,0.341,1622.19
SWITZERLAND,12864.61,25.14,0.172,0.319,511.72
MOZAMBIQUE,29862.81,21.96,0.399,0.279,1359.87
ANGOLA,27058.64,21.77,0.361,0.276,1242.93
AUSTRALIA,8453.84,21.56,0.113,0.274,392.11
CHINA P RP,19442.25,20.79,0.26,0.264,935.17
POLAND,18855.0,20.73,0.252,0.263,909.55
BHUTAN,7027.31,16.46,0.094,0.209,426.93
MYANMAR,16775.07,16.12,0.224,0.205,1040.64
PAKISTAN IR,11931.91,16.12,0.159,0.205,740.19
Eswatini,18658.0,16.08,0.249,0.204,1160.32
LIBYA,12733.0,15.92,0.17,0.202,799.81
MALDIVES,15536.52,15.79,0.207,0.201,983.95
SYRIA,13292.64,15.25,0.178,0.194,871.65
SOMALIA,18484.0,14.79,0.247,0.188,1249.76
QATAR,9881.59,14.75,0.132,0.187,669.94
SUDAN,21195.89,12.87,0.283,0.163,1646.92
GUINEA,11109.29,12.35,0.148,0.157,899.54
MALI,13314.07,12.19,0.178,0.155,1092.21
UKRAINE,11873.33,12.0,0.159,0.152,989.44
HONG KONG,4279.22,10.09,0.057,0.128,424.11
LEBANON,3396.81,9.96,0.045,0.126,341.05
SEYCHELLES,6039.25,9.73,0.081,0.124,620.68
BENIN,11200.0,9.38,0.15,0.119,1194.03
SLOVENIA,7924.07,8.2,0.106,0.104,966.35
ISRAEL,4390.05,8.15,0.059,0.103,538.66
ETHIOPIA,12950.33,7.67,0.173,0.097,1688.44
EGYPT A RP,1743.84,7.26,0.023,0.092,240.2
DENMARK,2049.87,7.11,0.027,0.09,288.31
AMERI SAMOA,5500.0,5.79,0.073,0.074,949.91
CONGO D. REP.,6159.63,5.79,0.082,0.074,1063.84
PORTUGAL,337.06,4.54,0.005,0.058,74.24
TUNISIA,4287.0,4.4,0.057,0.056,974.32
LIBERIA,3466.56,4.34,0.046,0.055,798.75
THAILAND,2314.22,4.29,0.031,0.054,539.45
GHANA,4616.39,4.06,0.062,0.052,1137.04
REUNION,3063.1,3.21,0.041,0.041,954.24
TAIWAN,1901.7,2.94,0.025,0.037,646.84
UGANDA,1085.09,2.8,0.014,0.036,387.53
CAMEROON,3300.0,2.62,0.044,0.033,1259.54
MONGOLIA,3029.0,2.54,0.04,0.032,1192.52
NEW ZEALAND,571.91,2.16,0.008,0.027,264.77
HUNGARY,1840.74,2.08,0.025,0.026,884.97
ARGENTINA,660.9,1.94,0.009,0.025,340.67
NIGERIA,468.59,1.93,0.006,0.025,242.79
CZECH REPUBLIC,390.0,1.74,0.005,0.022,224.14
NORWAY,593.84,1.74,0.008,0.022,341.29
BURUNDI,1702.63,1.69,0.023,0.021,1007.47
DJIBOUTI,1428.13,1.57,0.019,0.02,909.64
SWEDEN,784.3,1.48,0.01,0.019,529.93
BRUNEI,447.05,1.43,0.006,0.018,312.62
AUSTRIA,344.65,1.37,0.005,0.017,251.57
GAMBIA,2000.0,1.36,0.027,0.017,1470.59
IRELAND,356.27,1.33,0.005,0.017,267.87
ROMANIA,350.52,1.14,0.005,0.014,307.47
MALAWI,321.29,1.13,0.004,0.014,284.33
ZIMBABWE,681.4,1.12,0.009,0.014,608.39
BRAZIL,380.12,1.0,0.005,0.013,380.12
MEXICO,268.0,0.96,0.004,0.012,279.17
ZAMBIA,913.12,0.92,0.012,0.012,992.52
