Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
SAUDI ARAB,453803.14,785.69,24.14,28.161,577.59
U ARAB EMTS,287909.21,397.74,15.316,14.256,723.86
U K,98916.09,214.71,5.262,7.696,460.7
MALAYSIA,117294.3,167.39,6.24,6.0,700.72
U S A,65266.65,159.85,3.472,5.729,408.3
KUWAIT,61549.88,122.68,3.274,4.397,501.71
SRI LANKA DSR,87450.44,77.93,4.652,2.793,1122.17
SINGAPORE,62032.06,72.63,3.3,2.603,854.08
BANGLADESH PR,110186.66,63.81,5.861,2.287,1726.79
NETHERLAND,166417.9,56.21,8.853,2.015,2960.65
INDONESIA,32857.16,56.2,1.748,2.014,584.65
OMAN,27445.62,54.11,1.46,1.939,507.22
GERMANY,18025.23,49.68,0.959,1.781,362.83
IRAN,53724.81,49.32,2.858,1.768,1089.31
BAHARAIN IS,29100.95,45.6,1.548,1.634,638.18
RUSSIA,15686.54,44.86,0.834,1.608,349.68
CANADA,11687.79,31.48,0.622,1.128,371.28
FRANCE,13484.39,30.56,0.717,1.095,441.24
JORDAN,12093.62,27.44,0.643,0.984,440.73
NEPAL,21441.57,23.89,1.141,0.856,897.51
ITALY,20601.97,20.47,1.096,0.734,1006.45
JAPAN,9930.44,20.4,0.528,0.731,486.79
YEMEN REPUBLC,9821.7,20.22,0.522,0.725,485.74
MAURITIUS,13837.52,20.17,0.736,0.723,686.04
SPAIN,4829.74,19.65,0.257,0.704,245.79
QATAR,10730.58,15.48,0.571,0.555,693.19
AUSTRALIA,5346.34,12.28,0.284,0.44,435.37
PHILIPPINES,4281.84,9.92,0.228,0.356,431.64
SWITZERLAND,1981.37,8.81,0.105,0.316,224.9
GREECE,1326.35,8.36,0.071,0.3,158.65
UKRAINE,2660.05,6.87,0.142,0.246,387.2
DENMARK,1636.22,5.86,0.087,0.21,279.22
MALDIVES,5248.95,5.54,0.279,0.199,947.46
BELGIUM,2338.14,5.43,0.124,0.195,430.6
HONG KONG,3245.54,5.37,0.173,0.192,604.38
PAKISTAN IR,5040.56,5.2,0.268,0.186,969.34
CHINA P RP,3179.28,5.08,0.169,0.182,625.84
PORTUGAL,325.77,4.02,0.017,0.144,81.04
EGYPT A RP,607.34,4.01,0.032,0.144,151.46
MOZAMBIQUE,3269.67,3.87,0.174,0.139,844.88
SOUTH AFRICA,1823.03,3.75,0.097,0.134,486.14
NIGERIA,798.87,3.73,0.042,0.134,214.17
ISRAEL,1326.47,3.64,0.071,0.13,364.41
ANGOLA,2794.0,3.37,0.149,0.121,829.08
REUNION,3234.27,2.86,0.172,0.103,1130.86
BHUTAN,1569.55,2.44,0.083,0.087,643.26
LEBANON,955.98,1.91,0.051,0.068,500.51
FINLAND,459.09,1.9,0.024,0.068,241.63
UNSPECIFIED,309.31,1.79,0.016,0.064,172.8
NORWAY,426.5,1.69,0.023,0.061,252.37
CZECH REPUBLIC,674.0,1.51,0.036,0.054,446.36
AUSTRIA,377.77,1.51,0.02,0.054,250.18
THAILAND,609.21,1.26,0.032,0.045,483.5
NEW ZEALAND,471.86,1.26,0.025,0.045,374.49
KOREA RP,571.41,1.24,0.03,0.044,460.81
KENYA,415.53,1.24,0.022,0.044,335.1
ARGENTINA,395.76,1.1,0.021,0.039,359.78
NETHERLANDANTIL,68.38,1.08,0.004,0.039,63.31
MEXICO,280.97,0.96,0.015,0.034,292.68
SIERRA LEONE,358.24,0.86,0.019,0.031,416.56
SEYCHELLES,361.15,0.81,0.019,0.029,445.86
POLAND,185.54,0.74,0.01,0.027,250.73
SWEDEN,249.61,0.69,0.013,0.025,361.75
UGANDA,259.81,0.67,0.014,0.024,387.78
VIETNAM SOC REP,232.74,0.66,0.012,0.024,352.64
BRUNEI,229.95,0.63,0.012,0.023,365.0
BRAZIL,260.0,0.55,0.014,0.02,472.73
ZIMBABWE,400.05,0.54,0.021,0.019,740.83
SYRIA,251.5,0.5,0.013,0.018,503.0
IRELAND,147.48,0.49,0.008,0.018,300.98
TANZANIA REP,200.46,0.43,0.011,0.015,466.19
SOMALIA,425.08,0.39,0.023,0.014,1089.95
ZAMBIA,288.23,0.38,0.015,0.014,758.5
TURKEY,161.0,0.36,0.009,0.013,447.22
