Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
U ARAB EMTS,1204769.61,4914.39,10.92,14.042,245.15
SAUDI ARAB,902212.9,4513.51,8.177,12.896,199.89
IRAN,471345.24,2280.09,4.272,6.515,206.72
VIETNAM SOC REP,746975.02,2110.78,6.77,6.031,353.89
BANGLADESH PR,1578591.08,2089.73,14.308,5.971,755.4
MALAYSIA,1038977.67,2055.56,9.417,5.873,505.45
U S A,322177.12,1874.85,2.92,5.357,171.84
KUWAIT,230294.77,1599.66,2.087,4.571,143.96
U K,162348.68,891.19,1.471,2.546,182.17
PHILIPPINES,129086.12,813.91,1.17,2.326,158.6
INDONESIA,265477.88,750.8,2.406,2.145,353.59
NETHERLAND,107783.73,654.25,0.977,1.869,164.74
EGYPT A RP,67569.73,646.5,0.612,1.847,104.52
PAKISTAN IR,279249.57,494.14,2.531,1.412,565.12
NEPAL,303068.59,487.57,2.747,1.393,621.59
YEMEN REPUBLC,125606.09,467.37,1.138,1.335,268.75
SRI LANKA DSR,218471.91,441.29,1.98,1.261,495.08
GERMANY,59907.73,411.4,0.543,1.175,145.62
ANGOLA,166881.28,367.03,1.513,1.049,454.68
OMAN,288774.21,364.39,2.617,1.041,792.49
UNSPECIFIED,234857.55,332.19,2.129,0.949,707.0
IRAQ,39084.11,302.59,0.354,0.865,129.17
CANADA,64989.57,296.57,0.589,0.847,219.14
JORDAN,39315.23,293.65,0.356,0.839,133.88
SINGAPORE,104140.8,291.02,0.944,0.832,357.85
AUSTRALIA,46282.49,233.88,0.419,0.668,197.89
QATAR,55814.11,218.99,0.506,0.626,254.87
CHINA P RP,40143.03,213.59,0.364,0.61,187.94
RUSSIA,55858.74,199.22,0.506,0.569,280.39
FRANCE,39723.56,190.81,0.36,0.545,208.18
BELGIUM,38188.83,176.93,0.346,0.506,215.84
BAHARAIN IS,103947.75,171.24,0.942,0.489,607.03
SYRIA,21909.22,167.07,0.199,0.477,131.14
CONGO P REP,21822.9,155.67,0.198,0.445,140.19
KENYA,97954.28,152.13,0.888,0.435,643.89
