Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BANGLADESH PR,2970957.94,2570.85,25.015,15.23,1155.63
SAUDI ARAB,1051851.11,2316.16,8.857,13.722,454.14
U ARAB EMTS,1185607.01,1289.66,9.983,7.64,919.32
MALAYSIA,777049.53,1037.01,6.543,6.144,749.32
U S A,201334.57,823.26,1.695,4.877,244.56
NIGERIA,538301.92,642.49,4.532,3.806,837.84
U K,192489.76,629.1,1.621,3.727,305.98
SRI LANKA DSR,584916.19,594.08,4.925,3.52,984.57
SOUTH AFRICA,479197.45,551.88,4.035,3.269,868.3
KUWAIT,395674.29,470.74,3.332,2.789,840.54
INDONESIA,180052.78,328.01,1.516,1.943,548.92
GERMANY,59208.78,310.95,0.499,1.842,190.41
COTE D IVOIRE,258966.68,306.79,2.18,1.818,844.12
YEMEN REPUBLC,240461.16,304.5,2.025,1.804,789.69
PHILIPPINES,95780.89,293.58,0.806,1.739,326.25
NETHERLAND,58592.0,248.33,0.493,1.471,235.94
NEPAL,203476.86,214.35,1.713,1.27,949.27
OMAN,250696.05,183.89,2.111,1.089,1363.29
SOMALIA,134390.87,173.41,1.132,1.027,774.99
KOREA RP,156021.31,158.55,1.314,0.939,984.05
SENEGAL,142950.67,145.38,1.204,0.861,983.29
ANGOLA,99106.27,144.17,0.834,0.854,687.43
JORDAN,27104.77,142.19,0.228,0.842,190.62
FRANCE,39163.28,121.61,0.33,0.72,322.04
CANADA,32789.4,115.43,0.276,0.684,284.06
SINGAPORE,67359.25,113.39,0.567,0.672,594.05
JAPAN,18175.87,107.54,0.153,0.637,169.01
ITALY,31457.66,101.72,0.265,0.603,309.26
SUDAN,108700.79,101.44,0.915,0.601,1071.58
BELGIUM,31877.58,94.55,0.268,0.56,337.15
RUSSIA,47725.84,89.93,0.402,0.533,530.7
BAHARAIN IS,73377.14,80.9,0.618,0.479,907.01
QATAR,82466.99,80.19,0.694,0.475,1028.39
CHINA P RP,18151.48,78.19,0.153,0.463,232.15
BHUTAN,44310.65,74.31,0.373,0.44,596.29
IRAN,13892.7,73.09,0.117,0.433,190.08
SPAIN,18722.85,71.35,0.158,0.423,262.41
TANZANIA REP,82663.55,67.73,0.696,0.401,1220.49
PAKISTAN IR,43465.73,67.6,0.366,0.4,642.98
VIETNAM SOC REP,65837.63,66.92,0.554,0.396,983.83
GUINEA,56923.87,63.8,0.479,0.378,892.22
AUSTRALIA,17961.08,62.71,0.151,0.372,286.41
MAURITIUS,32956.74,62.41,0.277,0.37,528.07
ALGERIA,10320.79,55.98,0.087,0.332,184.37
GEORGIA,10907.02,51.77,0.092,0.307,210.68
EGYPT A RP,10834.47,49.42,0.091,0.293,219.23
CONGO P REP,22413.09,49.29,0.189,0.292,454.72
MYANMAR,26414.65,44.91,0.222,0.266,588.17
MALDIVES,47968.92,41.16,0.404,0.244,1165.43
ISRAEL,11134.15,40.69,0.094,0.241,273.63
MOZAMBIQUE,31381.39,36.14,0.264,0.214,868.33
HONG KONG,14322.54,35.88,0.121,0.213,399.18
CAMEROON,34534.4,35.57,0.291,0.211,970.89
IRAQ,26155.5,34.73,0.22,0.206,753.11
DJIBOUTI,29663.21,34.39,0.25,0.204,862.55
SWITZERLAND,7510.17,33.71,0.063,0.2,222.79
PAPUA N GNA,24003.5,32.25,0.202,0.191,744.29
TAIWAN,33360.99,30.72,0.281,0.182,1085.97
KENYA,31771.77,30.21,0.268,0.179,1051.7
UKRAINE,10491.99,26.93,0.088,0.16,389.6
TURKEY,6326.67,25.76,0.053,0.153,245.6
LITHUANIA,6090.99,25.43,0.051,0.151,239.52
GREECE,4631.42,24.41,0.039,0.145,189.73
THAILAND,6372.83,23.93,0.054,0.142,266.31
AFGHANISTAN TIS,4007.18,23.67,0.034,0.14,169.29
UZBEKISTAN,4524.69,23.4,0.038,0.139,193.36
DENMARK,4217.07,23.23,0.036,0.138,181.54
UNSPECIFIED,19125.22,23.11,0.161,0.137,827.57
LIBERIA,23468.98,21.59,0.198,0.128,1087.03
TOGO,20879.75,21.55,0.176,0.128,968.9
SEYCHELLES,16695.4,21.08,0.141,0.125,792.0
ZIMBABWE,17367.73,17.78,0.146,0.105,976.81
POLAND,3148.45,17.78,0.027,0.105,177.08
LEBANON,4676.31,17.44,0.039,0.103,268.14
ARMENIA,3526.74,17.22,0.03,0.102,204.8
FINLAND,2245.76,16.87,0.019,0.1,133.12
GABON,3667.21,16.61,0.031,0.098,220.78
SWEDEN,4962.32,16.12,0.042,0.095,307.84
NEW ZEALAND,4006.4,14.08,0.034,0.083,284.55
ERITREA,16379.47,13.79,0.138,0.082,1187.78
ESTONIA,6742.98,13.51,0.057,0.08,499.11
TRINIDAD,14188.57,13.07,0.119,0.077,1085.58
SYRIA,4122.12,12.94,0.035,0.077,318.56
MADAGASCAR,9608.35,12.47,0.081,0.074,770.52
AZERBAIJAN,2099.41,11.33,0.018,0.067,185.3
KOREA DP RP,15265.34,10.84,0.129,0.064,1408.24
BRAZIL,1907.92,10.52,0.016,0.062,181.36
LESOTHO,9441.58,10.08,0.079,0.06,936.66
GHANA,2719.21,9.85,0.023,0.058,276.06
MEXICO,1315.71,9.73,0.011,0.058,135.22
PORTUGAL,1290.18,8.83,0.011,0.052,146.11
REUNION,6230.8,8.35,0.052,0.049,746.2
MOROCCO,1298.09,8.09,0.011,0.048,160.46
AUSTRIA,825.3,6.68,0.007,0.04,123.55
LATVIA,1997.39,6.21,0.017,0.037,321.64
TUNISIA,1757.91,5.85,0.015,0.035,300.5
MALTA,1074.7,5.59,0.009,0.033,192.25
ROMANIA,1971.53,5.53,0.017,0.033,356.52
BRUNEI,2412.21,4.1,0.02,0.024,588.34
NORWAY,1011.66,4.03,0.009,0.024,251.03
ETHIOPIA,999.56,3.64,0.008,0.022,274.6
ARGENTINA,679.63,3.5,0.006,0.021,194.18
CYPRUS,729.8,3.48,0.006,0.021,209.71
UGANDA,1388.89,3.06,0.012,0.018,453.89
CHILE,837.29,2.87,0.007,0.017,291.74
MALAWI,2672.33,2.83,0.023,0.017,944.29
GUATEMALA,431.26,2.8,0.004,0.017,154.02
COLOMBIA,381.43,2.3,0.003,0.014,165.84
ALBANIA,434.53,2.15,0.004,0.013,202.11
BULGARIA,521.69,2.08,0.004,0.012,250.81
BENIN,455.51,1.88,0.004,0.011,242.29
EQUTL GUINEA,386.0,1.7,0.003,0.01,227.06
BURKINA FASO,399.48,1.55,0.003,0.009,257.73
GAMBIA,315.32,1.55,0.003,0.009,203.43
URUGUAY,135.6,1.38,0.001,0.008,98.26
SLOVENIA,383.24,1.35,0.003,0.008,283.88
FIJI IS,322.64,1.31,0.003,0.008,246.29
CZECH REPUBLIC,412.92,1.28,0.003,0.008,322.59
IRELAND,287.56,1.19,0.002,0.007,241.65
HUNGARY,334.33,1.19,0.003,0.007,280.95
SLOVAK REP,178.0,1.02,0.001,0.006,174.51
KAZAKHSTAN,109.46,0.94,0.001,0.006,116.45
TAJIKISTAN,165.28,0.78,0.001,0.005,211.9
SIERRA LEONE,956.71,0.77,0.008,0.005,1242.48
BARBADOS,102.08,0.71,0.001,0.004,143.77
LIBYA,84.5,0.67,0.001,0.004,126.12
VENEZUELA,123.19,0.62,0.001,0.004,198.69
ZAMBIA,118.4,0.61,0.001,0.004,194.1
MAURITANIA,393.4,0.51,0.003,0.003,771.37
Eswatini,133.71,0.5,0.001,0.003,267.42
HONDURAS,165.0,0.5,0.001,0.003,330.0
BOTSWANA,108.37,0.49,0.001,0.003,221.16
PANAMA REPUBLIC,130.33,0.48,0.001,0.003,271.52
NAMIBIA,99.27,0.46,0.001,0.003,215.8
ECUADOR,81.92,0.45,0.001,0.003,182.04
FR POLYNESIA,68.0,0.37,0.001,0.002,183.78
JAMAICA,63.16,0.36,0.001,0.002,175.44
CHAD,16.1,0.35,0.0,0.002,46.0
BAHAMAS,252.88,0.35,0.002,0.002,722.51
COMOROS,170.49,0.33,0.001,0.002,516.64
PERU,58.2,0.33,0.0,0.002,176.36
MALI,50.84,0.28,0.0,0.002,181.57
DOMINIC REP,186.98,0.27,0.002,0.002,692.52
CROATIA,122.29,0.25,0.001,0.001,489.16
MOLDOVA,55.0,0.24,0.0,0.001,229.17
COSTA RICA,47.4,0.23,0.0,0.001,206.09
MACAO,35.58,0.21,0.0,0.001,169.43
SURINAME,31.39,0.21,0.0,0.001,149.48
CONGO D. REP.,19.33,0.21,0.0,0.001,92.05
HAITI,26.24,0.21,0.0,0.001,124.95
CAMBODIA,29.55,0.19,0.0,0.001,155.53
GUADELOUPE,86.0,0.17,0.001,0.001,505.88
VANUATU,138.41,0.17,0.001,0.001,814.18
NIGER,25.79,0.16,0.0,0.001,161.19
RWANDA,16.5,0.16,0.0,0.001,103.12
TURKMENISTAN,108.4,0.15,0.001,0.001,722.67
DOMINICA,34.06,0.14,0.0,0.001,243.29
BELARUS,38.0,0.13,0.0,0.001,292.31
NETHERLANDANTIL,27.0,0.12,0.0,0.001,225.0
SERBIA,18.0,0.12,0.0,0.001,150.0
GIBRALTAR,28.0,0.11,0.0,0.001,254.55
ICELAND,26.2,0.1,0.0,0.001,262.0
ST HELENA,50.78,0.09,0.0,0.001,564.22
BELIZE,144.25,0.08,0.001,0.0,1803.12
NORFOLK ISLANDS,32.72,0.08,0.0,0.0,409.0
C AFRI REP,28.5,0.07,0.0,0.0,407.14
BOSNIA-HRZGOVIN,35.23,0.06,0.0,0.0,587.17
LUXEMBOURG,2.05,0.06,0.0,0.0,34.17
GUYANA,13.71,0.06,0.0,0.0,228.5
GUAM,16.98,0.05,0.0,0.0,339.6
KYRGHYZSTAN,18.15,0.05,0.0,0.0,363.0
KIRIBATI REPUBLIC,20.73,0.05,0.0,0.0,414.6
VIRGIN IS US,7.26,0.04,0.0,0.0,181.5
AMERI SAMOA,3.88,0.03,0.0,0.0,129.33
ST KITT N A,8.2,0.02,0.0,0.0,410.0
EL SALVADOR,0.4,0.02,0.0,0.0,20.0
GUINEA BISSAU,1.67,0.01,0.0,0.0,167.0
PUERTO RICO,3.09,0.01,0.0,0.0,309.0
BOLIVIA,0.2,0.01,0.0,0.0,20.0
SAO TOME,1.49,0.01,0.0,0.0,149.0
Total,11876586.75,16879.66,100.0,100.0,703.6
