Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
SAUDI ARAB,137430.07,127.92,15.153,15.965,1074.34
RUSSIA,140281.61,121.66,15.467,15.184,1153.06
U ARAB EMTS,121886.81,106.48,13.439,13.29,1144.69
KUWAIT,64650.76,52.77,7.128,6.586,1225.14
MALAYSIA,65241.9,48.28,7.194,6.026,1351.32
U S A,25320.56,47.54,2.792,5.933,532.62
U K,34067.85,43.87,3.756,5.475,776.56
BANGLADESH PR,62929.53,24.93,6.939,3.111,2524.25
OMAN,22661.52,24.54,2.499,3.063,923.45
NEPAL,28341.1,21.72,3.125,2.711,1304.84
GERMANY,9362.47,21.5,1.032,2.683,435.46
SINGAPORE,43812.64,17.8,4.831,2.222,2461.38
SRI LANKA DSR,36374.87,14.76,4.011,1.842,2464.42
BAHARAIN IS,12681.65,12.28,1.398,1.533,1032.71
JAPAN,12924.92,11.56,1.425,1.443,1118.07
FRANCE,3537.16,9.61,0.39,1.199,368.07
ITALY,3770.87,9.49,0.416,1.184,397.35
NETHERLAND,3756.12,8.06,0.414,1.006,466.02
CANADA,3940.88,7.02,0.435,0.876,561.38
YEMEN REPUBLC,5858.81,6.93,0.646,0.865,845.43
IRAN,3808.06,6.33,0.42,0.79,601.59
SENEGAL,10548.0,5.4,1.163,0.674,1953.33
SPAIN,1841.27,5.21,0.203,0.65,353.41
AUSTRALIA,3512.92,4.46,0.387,0.557,787.65
SWITZERLAND,1106.53,4.35,0.122,0.543,254.37
QATAR,5318.85,4.31,0.586,0.538,1234.07
TURKEY,2238.92,2.92,0.247,0.364,766.75
VIETNAM SOC REP,14000.61,2.55,1.544,0.318,5490.44
PAKISTAN IR,4332.62,2.09,0.478,0.261,2073.02
DENMARK,836.95,2.02,0.092,0.252,414.33
CZECH REPUBLIC,1960.04,1.93,0.216,0.241,1015.56
TOGO,2670.0,1.49,0.294,0.186,1791.95
MALDIVES,2357.78,1.49,0.26,0.186,1582.4
NEW ZEALAND,877.72,1.19,0.097,0.149,737.58
SUDAN,1049.89,1.18,0.116,0.147,889.74
MOZAMBIQUE,1249.45,1.12,0.138,0.14,1115.58
PHILIPPINES,482.16,0.82,0.053,0.102,588.0
INDONESIA,836.0,0.8,0.092,0.1,1045.0
SERBIA,681.42,0.77,0.075,0.096,884.96
PORTUGAL,104.91,0.76,0.012,0.095,138.04
KOREA RP,393.03,0.74,0.043,0.092,531.12
NORWAY,344.65,0.62,0.038,0.077,555.89
CAMEROON,525.0,0.61,0.058,0.076,860.66
THAILAND,292.71,0.59,0.032,0.074,496.12
JORDAN,148.63,0.58,0.016,0.072,256.26
SYRIA,488.06,0.55,0.054,0.069,887.38
Eswatini,324.25,0.55,0.036,0.069,589.55
EGYPT A RP,307.74,0.53,0.034,0.066,580.64
HONG KONG,343.19,0.52,0.038,0.065,659.98
CONGO D. REP.,381.0,0.5,0.042,0.062,762.0
LIBERIA,342.0,0.45,0.038,0.056,760.0
AFGHANISTAN TIS,390.89,0.45,0.043,0.056,868.64
CHINA P RP,492.48,0.39,0.054,0.049,1262.77
BELGIUM,185.74,0.38,0.02,0.047,488.79
KENYA,249.59,0.35,0.028,0.044,713.11
GABON,274.57,0.33,0.03,0.041,832.03
AUSTRIA,161.6,0.31,0.018,0.039,521.29
MALI,771.03,0.26,0.085,0.032,2965.5
SEYCHELLES,194.94,0.24,0.021,0.03,812.25
MEXICO,77.01,0.21,0.008,0.026,366.71
MAURITIUS,162.15,0.21,0.018,0.026,772.14
SWEDEN,76.26,0.2,0.008,0.025,381.3
ISRAEL,191.76,0.19,0.021,0.024,1009.26
GREECE,61.63,0.18,0.007,0.022,342.39
ZAMBIA,105.23,0.16,0.012,0.02,657.69
FINLAND,71.8,0.14,0.008,0.017,512.86
C AFRI REP,108.5,0.14,0.012,0.017,775.0
NIGERIA,68.35,0.12,0.008,0.015,569.58
ETHIOPIA,356.6,0.11,0.039,0.014,3241.82
LEBANON,48.85,0.09,0.005,0.011,542.78
SOMALIA,72.36,0.09,0.008,0.011,804.0
TUNISIA,0.0,0.08,0.0,0.01,0.0
REUNION,55.29,0.08,0.006,0.01,691.12
ARGENTINA,38.0,0.06,0.004,0.007,633.33
UGANDA,27.59,0.05,0.003,0.006,551.8
TANZANIA REP,21.41,0.04,0.002,0.005,535.25
BAHAMAS,19.63,0.03,0.002,0.004,654.33
ALBANIA,20.0,0.03,0.002,0.004,666.67
FIJI IS,12.3,0.03,0.001,0.004,410.0
RWANDA,5.0,0.02,0.001,0.002,250.0
POLAND,20.0,0.02,0.002,0.002,1000.0
IRAQ,6.27,0.02,0.001,0.002,313.5
MYANMAR,9.38,0.02,0.001,0.002,469.0
CYPRUS,3.3,0.02,0.0,0.002,165.0
UNSPECIFIED,29.8,0.01,0.003,0.001,2980.0
BRAZIL,17.44,0.01,0.002,0.001,1744.0
NIGER,1.73,0.01,0.0,0.001,173.0
Total,906944.94,801.23,100.0,100.0,1131.94
