Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
LIECHTENSTEIN,22.1,0.24,0.0,0.0,92.08
NAURU,24.0,0.22,0.0,0.0,109.09
ICELAND,7.82,0.2,0.0,0.0,39.1
TUVALU,0.02,0.08,0.0,0.0,0.25
ST KITT N A,0.12,0.04,0.0,0.0,3.0
BERMUDA,2.26,0.04,0.0,0.0,56.5
LUXEMBOURG,0.03,0.04,0.0,0.0,0.75
LESOTHO,0.13,0.02,0.0,0.0,6.5
United States Minor Outlying Islands,0.17,0.01,0.0,0.0,17.0
MONTSERRAT,0.18,0.01,0.0,0.0,18.0
Total,23436489.99,151478.2,100.0,100.0,154.72
