Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
SAUDI ARAB,1393449.63,10055.01,7.627,8.421,138.58
IRAN,1419819.38,9722.53,7.771,8.143,146.03
VIETNAM SOC REP,594493.04,9409.2,3.254,7.88,63.18
U ARAB EMTS,1122746.56,8240.28,6.145,6.901,136.25
U S A,649279.14,7585.26,3.554,6.353,85.6
IRAQ,673260.06,4869.77,3.685,4.079,138.25
NEPAL,1897935.18,4824.57,10.388,4.041,393.39
MALAYSIA,582010.75,4628.48,3.185,3.876,125.75
INDONESIA,413826.29,3904.72,2.265,3.27,105.98
NETHERLAND,267197.96,3130.09,1.462,2.622,85.36
EGYPT A RP,256771.45,2985.1,1.405,2.5,86.02
U K,295102.45,2530.76,1.615,2.12,116.61
BANGLADESH PR,635448.31,2489.85,3.478,2.085,255.22
KUWAIT,346728.44,2379.61,1.898,1.993,145.71
OMAN,467814.03,1959.48,2.56,1.641,238.74
RUSSIA,249446.5,1932.18,1.365,1.618,129.1
QATAR,308042.11,1855.46,1.686,1.554,166.02
YEMEN REPUBLC,289174.29,1788.88,1.583,1.498,161.65
BENIN,543990.16,1442.87,2.977,1.208,377.02
CANADA,147176.12,1424.45,0.806,1.193,103.32
THAILAND,122248.96,1356.71,0.669,1.136,90.11
PHILIPPINES,108727.69,1285.72,0.595,1.077,84.57
SINGAPORE,179004.63,1227.93,0.98,1.028,145.78
AUSTRALIA,127364.65,1222.9,0.697,1.024,104.15
GERMANY,97760.33,1196.99,0.535,1.003,81.67
HONG KONG,58864.63,1164.4,0.322,0.975,50.55
SOMALIA,376448.11,1042.14,2.06,0.873,361.23
ALGERIA,129247.15,992.7,0.707,0.831,130.2
SRI LANKA DSR,257816.13,942.49,1.411,0.789,273.55
GUINEA,335865.22,915.98,1.838,0.767,366.67
CHINA P RP,105420.83,913.08,0.577,0.765,115.46
COTE D IVOIRE,305472.57,854.38,1.672,0.716,357.54
TOGO,313796.33,854.2,1.717,0.715,367.36
JORDAN,100036.48,830.6,0.548,0.696,120.44
TURKEY,105055.77,812.37,0.575,0.68,129.32
MYANMAR,45078.42,811.26,0.247,0.679,55.57
JAPAN,42104.58,809.3,0.23,0.678,52.03
SOUTH AFRICA,194483.64,770.0,1.064,0.645,252.58
BAHARAIN IS,95769.16,721.92,0.524,0.605,132.66
SENEGAL,227873.13,609.5,1.247,0.51,373.87
LIBERIA,223765.77,587.8,1.225,0.492,380.68
DJIBOUTI,196796.75,515.88,1.077,0.432,381.48
SPAIN,41754.42,488.23,0.229,0.409,85.52
FRANCE,40857.49,481.61,0.224,0.403,84.84
BHUTAN,70187.18,477.3,0.384,0.4,147.05
ANGOLA,81514.69,440.11,0.446,0.369,185.21
MALDIVES,211365.38,433.9,1.157,0.363,487.13
ISRAEL,57945.62,431.06,0.317,0.361,134.43
MAURITIUS,64530.66,428.36,0.353,0.359,150.65
SUDAN,105089.28,349.42,0.575,0.293,300.75
BELGIUM,32767.75,335.05,0.179,0.281,97.8
ITALY,37843.13,324.34,0.207,0.272,116.68
NIGERIA,35229.57,320.09,0.193,0.268,110.06
GHANA,73380.23,300.65,0.402,0.252,244.07
NORWAY,60198.44,293.18,0.329,0.246,205.33
UKRAINE,43543.01,265.95,0.238,0.223,163.73
ETHIOPIA,81879.56,260.35,0.448,0.218,314.5
KENYA,45130.22,252.09,0.247,0.211,179.02
KOREA RP,37254.39,251.34,0.204,0.211,148.22
NEW ZEALAND,25389.0,241.87,0.139,0.203,104.97
AFGHANISTAN TIS,26845.02,235.55,0.147,0.197,113.97
TANZANIA REP,47440.55,209.07,0.26,0.175,226.91
BRAZIL,12464.57,205.97,0.068,0.173,60.52
LEBANON,22524.05,199.06,0.123,0.167,113.15
PAKISTAN IR,26582.47,183.47,0.145,0.154,144.89
SYRIA,29241.1,181.48,0.16,0.152,161.13
CONGO P REP,24099.96,176.79,0.132,0.148,136.32
GEORGIA,16407.57,157.48,0.09,0.132,104.19
CONGO D. REP.,20270.04,144.4,0.111,0.121,140.37
AZERBAIJAN,20049.23,135.09,0.11,0.113,148.41
POLAND,13426.8,127.38,0.073,0.107,105.41
MOROCCO,17820.75,122.93,0.098,0.103,144.97
BURKINA FASO,40622.12,120.32,0.222,0.101,337.62
GREECE,11881.36,118.48,0.065,0.099,100.28
UGANDA,27876.03,115.67,0.153,0.097,241.0
SIERRA LEONE,37466.66,115.1,0.205,0.096,325.51
DENMARK,13349.16,114.22,0.073,0.096,116.87
NIGER,30782.38,113.56,0.168,0.095,271.07
BRUNEI,10899.24,109.88,0.06,0.092,99.19
SWITZERLAND,7552.98,105.1,0.041,0.088,71.86
TAIWAN,10600.87,92.71,0.058,0.078,114.34
SWEDEN,9068.98,88.8,0.05,0.074,102.13
MEXICO,6927.25,81.71,0.038,0.068,84.78
REUNION,13494.63,79.82,0.074,0.067,169.06
MOZAMBIQUE,19334.21,78.08,0.106,0.065,247.62
GABON,6674.44,77.49,0.037,0.065,86.13
LIBYA,12627.81,74.64,0.069,0.063,169.18
CAMEROON,15550.37,73.74,0.085,0.062,210.88
CAMBODIA,9480.26,73.11,0.052,0.061,129.67
HAITI,7233.06,72.5,0.04,0.061,99.77
GAMBIA,16717.37,70.85,0.091,0.059,235.95
ARGENTINA,5950.04,68.03,0.033,0.057,87.46
NAMIBIA,22266.63,65.41,0.122,0.055,340.42
SEYCHELLES,9355.19,62.78,0.051,0.053,149.02
VENEZUELA,18269.4,59.32,0.1,0.05,307.98
MADAGASCAR,16092.25,52.76,0.088,0.044,305.01
MAURITANIA,7523.06,52.26,0.041,0.044,143.95
COMOROS,10516.95,48.86,0.058,0.041,215.25
PORTUGAL,6913.22,47.99,0.038,0.04,144.06
ROMANIA,8627.27,46.89,0.047,0.039,183.99
IRELAND,5179.95,46.24,0.028,0.039,112.02
CHILE,6760.07,44.99,0.037,0.038,150.26
SLOVENIA,3794.0,44.06,0.021,0.037,86.11
DOMINIC REP,4014.42,38.84,0.022,0.033,103.36
RWANDA,6694.53,38.04,0.037,0.032,175.99
LITHUANIA,4873.05,37.56,0.027,0.031,129.74
FINLAND,3018.76,33.51,0.017,0.028,90.09
EQUTL GUINEA,5863.21,32.87,0.032,0.028,178.38
CROATIA,4306.11,32.76,0.024,0.027,131.44
MALAWI,4778.37,31.05,0.026,0.026,153.89
