Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
SAUDI ARAB,641504.68,1392.54,8.572,13.84,460.67
BANGLADESH PR,1495185.34,1056.47,19.98,10.5,1415.27
U ARAB EMTS,641523.84,744.75,8.572,7.402,861.39
MALAYSIA,444909.65,709.74,5.945,7.054,626.86
U S A,155296.44,596.58,2.075,5.929,260.31
PHILIPPINES,546391.84,508.14,7.301,5.05,1075.28
U K,118456.21,403.28,1.583,4.008,293.73
INDONESIA,344108.23,374.19,4.598,3.719,919.61
KUWAIT,102694.77,290.19,1.372,2.884,353.89
NIGERIA,308631.28,287.91,4.124,2.861,1071.97
SRI LANKA DSR,288499.89,287.07,3.855,2.853,1004.98
SOUTH AFRICA,332800.57,268.82,4.447,2.672,1238.01
YEMEN REPUBLC,303644.33,253.88,4.057,2.523,1196.02
OMAN,122437.19,157.5,1.636,1.565,777.38
EGYPT A RP,29738.38,155.01,0.397,1.541,191.85
NETHERLAND,40038.5,151.69,0.535,1.508,263.95
SINGAPORE,154562.11,149.44,2.065,1.485,1034.28
GERMANY,33196.0,145.3,0.444,1.444,228.47
KOREA RP,154088.07,104.94,2.059,1.043,1468.34
VIETNAM SOC REP,200765.02,102.82,2.683,1.022,1952.59
PAKISTAN IR,78922.39,100.69,1.055,1.001,783.82
FRANCE,31874.49,92.39,0.426,0.918,345.0
JAPAN,15755.46,87.18,0.211,0.866,180.72
JORDAN,23841.24,85.34,0.319,0.848,279.37
SUDAN,78450.58,82.53,1.048,0.82,950.57
IRAN,33255.27,81.69,0.444,0.812,407.09
CHINA P RP,40165.57,80.71,0.537,0.802,497.65
CANADA,25540.9,79.71,0.341,0.792,320.42
BELGIUM,23477.32,75.39,0.314,0.749,311.41
IRAQ,78232.2,74.78,1.045,0.743,1046.16
BAHARAIN IS,60058.77,69.94,0.803,0.695,858.72
SPAIN,17520.92,67.76,0.234,0.673,258.57
ITALY,16937.37,64.53,0.226,0.641,262.47
ANGOLA,14697.7,59.37,0.196,0.59,247.56
NEPAL,32605.56,55.68,0.436,0.553,585.59
AUSTRALIA,13937.1,45.77,0.186,0.455,304.5
RUSSIA,37927.8,45.67,0.507,0.454,830.48
COTE D IVOIRE,53223.45,35.13,0.711,0.349,1515.04
MALDIVES,19643.57,29.32,0.262,0.291,669.97
QATAR,11708.01,28.42,0.156,0.282,411.96
MAURITIUS,13028.11,27.92,0.174,0.277,466.62
GEORGIA,5925.48,22.21,0.079,0.221,266.79
UKRAINE,9006.49,21.1,0.12,0.21,426.85
LEBANON,5543.21,20.51,0.074,0.204,270.27
SWITZERLAND,8084.57,20.49,0.108,0.204,394.56
GHANA,25720.13,18.97,0.344,0.189,1355.83
SOMALIA,24247.35,18.26,0.324,0.181,1327.89
GREECE,2804.13,16.74,0.037,0.166,167.51
THAILAND,8295.95,16.72,0.111,0.166,496.17
TAIWAN,5265.49,16.62,0.07,0.165,316.82
DENMARK,2427.88,16.29,0.032,0.162,149.04
TANZANIA REP,16031.56,15.66,0.214,0.156,1023.73
SWEDEN,5113.39,15.0,0.068,0.149,340.89
POLAND,6721.85,14.71,0.09,0.146,456.96
BENIN,19844.87,14.56,0.265,0.145,1362.97
GABON,4030.73,13.68,0.054,0.136,294.64
SEYCHELLES,7747.59,13.47,0.104,0.134,575.17
MOZAMBIQUE,15563.28,13.06,0.208,0.13,1191.68
HONG KONG,3734.24,12.82,0.05,0.127,291.28
ISRAEL,3764.3,12.27,0.05,0.122,306.79
ALGERIA,11184.0,12.17,0.149,0.121,918.98
KOREA DP RP,3638.06,11.72,0.049,0.116,310.41
BHUTAN,8250.71,11.32,0.11,0.113,728.86
MYANMAR,14616.99,11.12,0.195,0.111,1314.48
KENYA,13254.67,10.99,0.177,0.109,1206.07
CONGO P REP,2703.39,9.74,0.036,0.097,277.56
MADAGASCAR,1455.28,9.52,0.019,0.095,152.87
TURKEY,1392.83,8.47,0.019,0.084,164.44
NEW ZEALAND,2853.26,7.61,0.038,0.076,374.94
FINLAND,1077.46,7.42,0.014,0.074,145.21
NETHERLANDANTIL,1837.64,7.36,0.025,0.073,249.68
MOROCCO,2786.73,7.25,0.037,0.072,384.38
BRAZIL,3106.25,7.09,0.042,0.07,438.12
PORTUGAL,1127.39,6.26,0.015,0.062,180.09
REUNION,4509.81,5.81,0.06,0.058,776.22
DJIBOUTI,5772.39,5.35,0.077,0.053,1078.95
AUSTRIA,707.77,4.59,0.009,0.046,154.2
CZECH REPUBLIC,5308.9,4.54,0.071,0.045,1169.36
LATVIA,4085.0,4.37,0.055,0.043,934.78
NORWAY,1016.0,4.33,0.014,0.043,234.64
MEXICO,1178.43,4.28,0.016,0.043,275.33
AFGHANISTAN TIS,3164.12,3.91,0.042,0.039,809.24
ETHIOPIA,2192.64,3.78,0.029,0.038,580.06
SYRIA,1403.1,3.69,0.019,0.037,380.24
ARGENTINA,559.02,3.61,0.007,0.036,154.85
HUNGARY,1562.19,3.49,0.021,0.035,447.62
MALI,222.1,3.04,0.003,0.03,73.06
SIERRA LEONE,2224.45,2.5,0.03,0.025,889.78
ARMENIA,642.02,2.45,0.009,0.024,262.05
BRUNEI,1105.55,2.34,0.015,0.023,472.46
LAO PD RP,1000.0,2.34,0.013,0.023,427.35
CYPRUS,540.98,2.15,0.007,0.021,251.62
GAMBIA,3302.31,2.08,0.044,0.021,1587.65
COLOMBIA,360.48,1.99,0.005,0.02,181.15
NIGER,1221.75,1.87,0.016,0.019,653.34
UGANDA,780.43,1.8,0.01,0.018,433.57
SENEGAL,499.63,1.79,0.007,0.018,279.12
TOGO,686.99,1.65,0.009,0.016,416.36
CROATIA,2056.0,1.64,0.027,0.016,1253.66
NAMIBIA,475.13,1.61,0.006,0.016,295.11
ZIMBABWE,464.5,1.47,0.006,0.015,315.99
MALTA,389.79,1.41,0.005,0.014,276.45
CHILE,348.77,1.34,0.005,0.013,260.28
CAMEROON,327.92,1.3,0.004,0.013,252.25
SLOVENIA,542.56,1.23,0.007,0.012,441.11
BULGARIA,292.19,1.18,0.004,0.012,247.62
VENEZUELA,269.58,1.15,0.004,0.011,234.42
BURKINA FASO,359.07,1.14,0.005,0.011,314.97
RWANDA,206.93,1.12,0.003,0.011,184.76
FR GUIANA,141.41,1.05,0.002,0.01,134.68
FIJI IS,214.53,0.98,0.003,0.01,218.91
URUGUAY,63.8,0.94,0.001,0.009,67.87
GUINEA BISSAU,277.24,0.91,0.004,0.009,304.66
JAMAICA,188.48,0.78,0.003,0.008,241.64
COMOROS,212.74,0.75,0.003,0.007,283.65
TUNISIA,120.2,0.69,0.002,0.007,174.2
TRINIDAD,99.86,0.65,0.001,0.006,153.63
PANAMA REPUBLIC,313.0,0.64,0.004,0.006,489.06
ALBANIA,166.0,0.63,0.002,0.006,263.49
IRELAND,125.39,0.59,0.002,0.006,212.53
ROMANIA,98.7,0.57,0.001,0.006,173.16
ESTONIA,346.25,0.53,0.005,0.005,653.3
LIBERIA,141.22,0.49,0.002,0.005,288.2
PANAMA CANAL ZONE,93.55,0.45,0.001,0.004,207.89
Eswatini,151.68,0.45,0.002,0.004,337.07
BARBADOS,42.91,0.42,0.001,0.004,102.17
LITHUANIA,31.06,0.39,0.0,0.004,79.64
TURKS C IS,97.21,0.38,0.001,0.004,255.82
NEW CALEDONIA,88.5,0.37,0.001,0.004,239.19
MARTINIQUE,124.8,0.36,0.002,0.004,346.67
EQUTL GUINEA,480.0,0.34,0.006,0.003,1411.76
ZAMBIA,39.53,0.34,0.001,0.003,116.26
GRENADA,39.52,0.33,0.001,0.003,119.76
BURUNDI,520.68,0.32,0.007,0.003,1627.12
DOMINIC REP,53.53,0.32,0.001,0.003,167.28
TURKMENISTAN,78.4,0.31,0.001,0.003,252.9
LIBYA,25.8,0.28,0.0,0.003,92.14
BAHAMAS,104.7,0.25,0.001,0.002,418.8
MACAO,172.3,0.24,0.002,0.002,717.92
GREENLAND,40.31,0.24,0.001,0.002,167.96
MALAWI,48.62,0.21,0.001,0.002,231.52
HONDURAS,6.02,0.19,0.0,0.002,31.68
CHANNEL ISLAND,40.0,0.19,0.001,0.002,210.53
GUATEMALA,39.82,0.17,0.001,0.002,234.24
ECUADOR,52.13,0.16,0.001,0.002,325.81
ICELAND,78.92,0.16,0.001,0.002,493.25
LESOTHO,70.0,0.15,0.001,0.001,466.67
C AFRI REP,27.76,0.14,0.0,0.001,198.29
SERBIA,99.01,0.13,0.001,0.001,761.62
CONGO D. REP.,12.36,0.1,0.0,0.001,123.6
HAITI,16.99,0.1,0.0,0.001,169.9
AMERI SAMOA,24.07,0.08,0.0,0.001,300.88
KAZAKHSTAN,14.3,0.08,0.0,0.001,178.75
VANUATU,25.0,0.07,0.0,0.001,357.14
PERU,10.1,0.06,0.0,0.001,168.33
BOTSWANA,9.98,0.05,0.0,0.0,199.6
CAMBODIA,5.5,0.05,0.0,0.0,110.0
GUYANA,8.21,0.03,0.0,0.0,273.67
BELARUS,1.1,0.03,0.0,0.0,36.67
CANARY ISLAND,11.87,0.03,0.0,0.0,395.67
BOLIVIA,20.0,0.03,0.0,0.0,666.67
COSTA RICA,5.0,0.02,0.0,0.0,250.0
NORFOLK ISLANDS,23.6,0.02,0.0,0.0,1180.0
GIBRALTAR,3.0,0.02,0.0,0.0,150.0
ST HELENA,1.0,0.02,0.0,0.0,50.0
KIRIBATI REPUBLIC,5.97,0.01,0.0,0.0,597.0
PAPUA N GNA,3.9,0.01,0.0,0.0,390.0
GUAM,0.75,0.01,0.0,0.0,75.0
PARAGUAY,4.0,0.01,0.0,0.0,400.0
