Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
SAUDI ARAB,582667.68,1012.4,9.545,13.22,575.53
U ARAB EMTS,634697.03,746.83,10.397,9.752,849.85
U S A,273524.51,678.82,4.481,8.864,402.94
RUSSIA,381660.75,417.74,6.252,5.455,913.63
MALAYSIA,243466.14,397.37,3.988,5.189,612.69
SRI LANKA DSR,385066.74,357.67,6.308,4.67,1076.6
BANGLADESH PR,378409.97,298.56,6.199,3.899,1267.45
U K,109591.0,291.04,1.795,3.8,376.55
SOUTH AFRICA,279519.1,247.59,4.579,3.233,1128.96
YEMEN REPUBLC,369144.37,243.64,6.047,3.181,1515.12
INDONESIA,114884.66,220.94,1.882,2.885,519.98
PHILIPPINES,102503.63,203.3,1.679,2.655,504.2
NETHERLAND,202008.82,201.22,3.309,2.628,1003.92
KUWAIT,101271.52,179.58,1.659,2.345,563.94
IRAN,169639.32,163.92,2.779,2.14,1034.89
GERMANY,29882.06,126.09,0.49,1.646,236.99
KENYA,138317.91,111.06,2.266,1.45,1245.43
SINGAPORE,88015.99,99.5,1.442,1.299,884.58
SOMALIA,94930.46,86.85,1.555,1.134,1093.04
PAKISTAN IR,63571.81,85.57,1.041,1.117,742.92
JAPAN,37281.66,83.08,0.611,1.085,448.74
TURKEY,115993.62,80.13,1.9,1.046,1447.57
OMAN,35115.11,72.01,0.575,0.94,487.64
FRANCE,41128.16,70.86,0.674,0.925,580.41
KOREA RP,95451.35,68.27,1.564,0.891,1398.14
BAHARAIN IS,142559.42,56.98,2.335,0.744,2501.92
JORDAN,67101.76,56.03,1.099,0.732,1197.6
SYRIA,49467.0,55.3,0.81,0.722,894.52
MAURITIUS,39198.58,52.86,0.642,0.69,741.55
BRAZIL,49179.88,49.95,0.806,0.652,984.58
HONG KONG,24138.14,41.73,0.395,0.545,578.44
KOREA DP RP,64541.25,40.41,1.057,0.528,1597.16
VIETNAM SOC REP,51167.76,40.03,0.838,0.523,1278.24
CANADA,14209.66,39.88,0.233,0.521,356.31
SPAIN,11179.06,38.29,0.183,0.5,291.96
ITALY,13850.14,37.55,0.227,0.49,368.85
SENEGAL,50442.0,35.38,0.826,0.462,1425.72
MYANMAR,36607.96,33.69,0.6,0.44,1086.61
BELGIUM,9834.84,33.08,0.161,0.432,297.3
POLAND,37424.34,29.41,0.613,0.384,1272.5
SWITZERLAND,22121.12,28.19,0.362,0.368,784.72
NEPAL,20621.29,26.78,0.338,0.35,770.03
AUSTRALIA,7871.77,25.32,0.129,0.331,310.89
UKRAINE,18785.91,22.17,0.308,0.289,847.36
BHUTAN,21267.51,22.02,0.348,0.288,965.83
MOROCCO,33105.3,20.54,0.542,0.268,1611.75
GREECE,6159.91,19.03,0.101,0.248,323.69
QATAR,10304.64,17.6,0.169,0.23,585.49
TANZANIA REP,24823.67,17.31,0.407,0.226,1434.07
PERU,14837.67,16.35,0.243,0.213,907.5
ZAMBIA,12209.53,12.7,0.2,0.166,961.38
NIGERIA,10995.46,12.23,0.18,0.16,899.06
AUSTRIA,6100.86,11.84,0.1,0.155,515.28
ANGOLA,10524.8,11.31,0.172,0.148,930.57
ROMANIA,14356.84,11.01,0.235,0.144,1303.98
EGYPT A RP,1683.9,10.94,0.028,0.143,153.92
ISRAEL,6536.07,10.12,0.107,0.132,645.86
PUERTO RICO,14642.73,9.74,0.24,0.127,1503.36
DJIBOUTI,9959.96,9.04,0.163,0.118,1101.77
MALDIVES,8106.37,8.77,0.133,0.115,924.33
DENMARK,2315.95,8.68,0.038,0.113,266.81
CHINA P RP,2658.14,8.64,0.044,0.113,307.66
SUDAN,10762.29,8.63,0.176,0.113,1247.08
TUNISIA,6658.6,8.18,0.109,0.107,814.01
LEBANON,3317.76,8.13,0.054,0.106,408.09
SEYCHELLES,3788.51,6.59,0.062,0.086,574.89
NEW ZEALAND,5776.89,6.46,0.095,0.084,894.26
IRAQ,10400.0,6.44,0.17,0.084,1614.91
ESTONIA,5438.71,6.09,0.089,0.08,893.06
PORTUGAL,498.05,6.03,0.008,0.079,82.6
THAILAND,2341.36,5.96,0.038,0.078,392.85
MOZAMBIQUE,5437.88,5.55,0.089,0.072,979.8
GHANA,4522.76,4.32,0.074,0.056,1046.94
COTE D IVOIRE,3396.81,4.19,0.056,0.055,810.69
ARGENTINA,511.32,3.54,0.008,0.046,144.44
TAIWAN,1194.01,3.45,0.02,0.045,346.09
UGANDA,3281.45,3.27,0.054,0.043,1003.5
ZIMBABWE,2957.3,2.99,0.048,0.039,989.06
BERMUDA,2818.6,2.61,0.046,0.034,1079.92
ALBANIA,2075.06,2.54,0.034,0.033,816.95
LIBERIA,1934.02,2.51,0.032,0.033,770.53
TURKMENISTAN,2191.0,2.18,0.036,0.028,1005.05
GABON,723.25,2.13,0.012,0.028,339.55
SWEDEN,903.51,1.91,0.015,0.025,473.04
NORWAY,548.53,1.75,0.009,0.023,313.45
FINLAND,371.88,1.58,0.006,0.021,235.37
UZBEKISTAN,1761.92,1.51,0.029,0.02,1166.83
MEXICO,292.84,1.5,0.005,0.02,195.23
LITHUANIA,599.25,1.49,0.01,0.019,402.18
CZECH REPUBLIC,966.71,1.45,0.016,0.019,666.7
BRUNEI,538.14,1.39,0.009,0.018,387.15
LATVIA,1092.82,1.37,0.018,0.018,797.68
URUGUAY,107.0,1.34,0.002,0.017,79.85
ETHIOPIA,1349.05,1.34,0.022,0.017,1006.75
GUINEA,592.97,1.34,0.01,0.017,442.51
CYPRUS,332.9,1.31,0.005,0.017,254.12
CONGO D. REP.,336.74,1.25,0.006,0.016,269.39
HUNGARY,1041.6,1.22,0.017,0.016,853.77
IRELAND,174.68,0.65,0.003,0.008,268.74
COMOROS,501.0,0.58,0.008,0.008,863.79
MOLDOVA,298.74,0.54,0.005,0.007,553.22
SAHARWI A.DM.REP.,207.21,0.53,0.003,0.007,390.96
SERBIA,416.0,0.5,0.007,0.007,832.0
NEUTRAL ZONE,187.0,0.48,0.003,0.006,389.58
GUINEA BISSAU,142.76,0.47,0.002,0.006,303.74
BELARUS,460.0,0.43,0.008,0.006,1069.77
MADAGASCAR,66.55,0.42,0.001,0.005,158.45
CONGO P REP,103.03,0.36,0.002,0.005,286.19
MALAWI,184.3,0.35,0.003,0.005,526.57
MALI,202.06,0.27,0.003,0.004,748.37
SLOVENIA,150.57,0.27,0.002,0.004,557.67
COLOMBIA,194.7,0.25,0.003,0.003,778.8
BURUNDI,174.16,0.24,0.003,0.003,725.67
TRINIDAD,65.03,0.24,0.001,0.003,270.96
SOLOMON ISLANDS,20.0,0.24,0.0,0.003,83.33
CROATIA,128.62,0.21,0.002,0.003,612.48
MALTA,79.3,0.2,0.001,0.003,396.5
C AFRI REP,200.0,0.19,0.003,0.002,1052.63
Eswatini,79.26,0.17,0.001,0.002,466.24
CHILE,60.13,0.17,0.001,0.002,353.71
REUNION,199.32,0.15,0.003,0.002,1328.8
BURKINA FASO,54.8,0.15,0.001,0.002,365.33
ANDORRA,16.32,0.13,0.0,0.002,125.54
HAITI,36.08,0.13,0.001,0.002,277.54
AFGHANISTAN TIS,22.9,0.12,0.0,0.002,190.83
NIGER,35.5,0.1,0.001,0.001,355.0
NETHERLANDANTIL,20.9,0.1,0.0,0.001,209.0
FAEROE ISLANDS,20.0,0.09,0.0,0.001,222.22
AMERI SAMOA,24.81,0.09,0.0,0.001,275.67
BULGARIA,20.0,0.08,0.0,0.001,250.0
MAURITANIA,100.0,0.07,0.002,0.001,1428.57
CANARY ISLAND,22.1,0.07,0.0,0.001,315.71
SIERRA LEONE,24.45,0.07,0.0,0.001,349.29
TAJIKISTAN,1.94,0.07,0.0,0.001,27.71
BOLIVIA,15.0,0.06,0.0,0.001,250.0
COSTA RICA,15.25,0.05,0.0,0.001,305.0
BENIN,18.5,0.05,0.0,0.001,370.0
PAPUA N GNA,21.24,0.04,0.0,0.001,531.0
VENEZUELA,16.62,0.04,0.0,0.001,415.5
ALGERIA,19.2,0.03,0.0,0.0,640.0
SURINAME,4.63,0.03,0.0,0.0,154.33
JAMAICA,15.25,0.02,0.0,0.0,762.5
CAMEROON,9.19,0.02,0.0,0.0,459.5
TOGO,7.62,0.02,0.0,0.0,381.0
LIBYA,22.0,0.02,0.0,0.0,1100.0
FIJI IS,0.95,0.02,0.0,0.0,47.5
BAHAMAS,11.66,0.02,0.0,0.0,583.0
ICELAND,1.3,0.01,0.0,0.0,130.0
RWANDA,0.06,0.01,0.0,0.0,6.0
GIBRALTAR,1.15,0.01,0.0,0.0,115.0
Total,6104369.89,7658.11,100.0,100.0,797.11
