Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BANGLADESH PR,5911936.44,17027.06,13.296,7.707,347.21
U ARAB EMTS,2411090.49,15238.47,5.423,6.897,158.22
SAUDI ARAB,1515284.91,13532.49,3.408,6.125,111.97
VIETNAM SOC REP,2545827.34,11687.87,5.726,5.29,217.82
U S A,775352.55,11650.01,1.744,5.273,66.55
MALAYSIA,1519992.58,9387.02,3.419,4.249,161.92
IRAN,1224633.06,9251.04,2.754,4.187,132.38
INDONESIA,1746113.05,9185.81,3.927,4.158,190.09
NEPAL,2239113.67,6498.27,5.036,2.941,344.57
IRAQ,642844.47,5790.48,1.446,2.621,111.02
CHINA P RP,1731653.21,5520.48,3.895,2.499,313.68
BENIN,1587105.05,4508.69,3.569,2.041,352.01
EGYPT A RP,393299.72,4340.18,0.885,1.964,90.62
SENEGAL,1379495.09,4041.89,3.103,1.829,341.3
NETHERLAND,308320.35,3856.71,0.693,1.746,79.94
YEMEN REPUBLC,670886.17,3832.08,1.509,1.734,175.07
U K,335931.4,3563.06,0.756,1.613,94.28
COTE D IVOIRE,1226096.49,3525.37,2.758,1.596,347.79
OMAN,838015.52,3509.32,1.885,1.588,238.8
PHILIPPINES,395428.64,3308.51,0.889,1.497,119.52
SRI LANKA DSR,1123719.02,3118.69,2.527,1.412,360.32
TOGO,965969.51,2884.43,2.173,1.306,334.89
QATAR,503615.6,2724.39,1.133,1.233,184.85
GUINEA,918619.98,2673.63,2.066,1.21,343.59
KUWAIT,307745.69,2397.79,0.692,1.085,128.35
KENYA,689001.34,2349.74,1.55,1.064,293.22
RUSSIA,267676.09,2282.61,0.602,1.033,117.27
THAILAND,430507.38,2245.46,0.968,1.016,191.72
CANADA,184354.71,2241.13,0.415,1.014,82.26
SOMALIA,614633.47,1964.64,1.382,0.889,312.85
JORDAN,188964.73,1907.96,0.425,0.864,99.04
SINGAPORE,271145.34,1793.46,0.61,0.812,151.19
DJIBOUTI,581508.15,1788.8,1.308,0.81,325.08
CAMEROON,602340.78,1744.16,1.355,0.789,345.35
AUSTRALIA,131229.01,1716.87,0.295,0.777,76.44
KOREA RP,577251.28,1700.78,1.298,0.77,339.4
GERMANY,125869.4,1629.62,0.283,0.738,77.24
MADAGASCAR,633304.46,1622.14,1.424,0.734,390.41
ANGOLA,467608.34,1563.02,1.052,0.707,299.17
HONG KONG,81552.04,1444.13,0.183,0.654,56.47
TURKEY,222390.52,1246.96,0.5,0.564,178.35
LIBERIA,404881.46,1237.53,0.911,0.56,327.17
MOZAMBIQUE,422132.27,1165.72,0.949,0.528,362.12
SOUTH AFRICA,247739.55,1109.72,0.557,0.502,223.25
BAHARAIN IS,129720.8,1096.81,0.292,0.496,118.27
BHUTAN,167934.21,1070.04,0.378,0.484,156.94
SUDAN,254830.02,1002.42,0.573,0.454,254.21
SIERRA LEONE,318464.24,981.29,0.716,0.444,324.54
TANZANIA REP,236567.13,956.99,0.532,0.433,247.2
ISRAEL,152398.61,905.74,0.343,0.41,168.26
JAPAN,47302.96,873.61,0.106,0.395,54.15
ALGERIA,140619.82,771.41,0.316,0.349,182.29
CONGO D. REP.,153142.48,733.97,0.344,0.332,208.65
FRANCE,49142.88,725.12,0.111,0.328,67.77
NORWAY,92420.84,716.79,0.208,0.324,128.94
ITALY,60381.72,645.74,0.136,0.292,93.51
MALDIVES,255848.34,641.75,0.575,0.29,398.67
SPAIN,54295.4,598.44,0.122,0.271,90.73
GEORGIA,33865.99,580.38,0.076,0.263,58.35
AFGHANISTAN TIS,91580.98,548.07,0.206,0.248,167.1
CONGO P REP,125808.8,523.61,0.283,0.237,240.27
GHANA,95655.34,523.54,0.215,0.237,182.71
MAURITIUS,56693.2,518.59,0.128,0.235,109.32
CUBA,114527.18,513.91,0.258,0.233,222.85
NIGERIA,82370.02,511.69,0.185,0.232,160.98
LEBANON,38455.47,461.11,0.086,0.209,83.4
BRAZIL,25429.31,417.04,0.057,0.189,60.98
BELGIUM,35145.15,411.54,0.079,0.186,85.4
LIBYA,59826.27,384.9,0.135,0.174,155.43
CAMBODIA,32063.82,345.25,0.072,0.156,92.87
