Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BANGLADESH PR,2277874.24,1496.65,19.799,11.033,1521.98
PHILIPPINES,1443063.64,1413.67,12.543,10.422,1020.79
SAUDI ARAB,490941.9,1312.64,4.267,9.677,374.01
MALAYSIA,981399.29,1020.14,8.53,7.52,962.02
INDONESIA,1387957.02,903.19,12.064,6.658,1536.73
U S A,254975.02,778.12,2.216,5.736,327.68
U ARAB EMTS,500107.97,775.99,4.347,5.721,644.48
SOUTH AFRICA,645229.35,774.35,5.608,5.709,833.25
U K,127633.78,442.09,1.109,3.259,288.71
SRI LANKA DSR,392963.01,281.8,3.416,2.077,1394.47
KUWAIT,100385.81,275.94,0.873,2.034,363.8
YEMEN REPUBLC,221948.84,215.82,1.929,1.591,1028.4
GERMANY,45468.75,200.32,0.395,1.477,226.98
SINGAPORE,184934.25,179.74,1.607,1.325,1028.9
NETHERLAND,45221.54,170.91,0.393,1.26,264.59
EGYPT A RP,58412.0,160.24,0.508,1.181,364.53
OMAN,78323.75,153.52,0.681,1.132,510.19
VIETNAM SOC REP,287738.58,139.31,2.501,1.027,2065.46
NIGERIA,158552.45,129.15,1.378,0.952,1227.66
FRANCE,47143.04,127.39,0.41,0.939,370.07
SENEGAL,83196.64,122.17,0.723,0.901,680.99
KOREA RP,153286.46,115.38,1.332,0.851,1328.54
CANADA,27319.43,95.49,0.237,0.704,286.1
JAPAN,12320.11,94.12,0.107,0.694,130.9
BELGIUM,28643.07,92.39,0.249,0.681,310.02
JORDAN,20625.82,91.2,0.179,0.672,226.16
NEPAL,84196.75,91.13,0.732,0.672,923.92
CHINA P RP,113045.73,88.09,0.983,0.649,1283.3
TOGO,25664.52,77.93,0.223,0.575,329.33
SPAIN,20177.82,77.32,0.175,0.57,260.97
ANGOLA,21773.31,76.66,0.189,0.565,284.02
BAHARAIN IS,51514.25,72.05,0.448,0.531,714.98
GABON,54657.69,71.6,0.475,0.528,763.38
RUSSIA,47949.64,63.93,0.417,0.471,750.03
ITALY,16616.8,56.73,0.144,0.418,292.91
GHANA,59562.92,56.36,0.518,0.415,1056.83
IRAN,20995.74,54.72,0.182,0.403,383.69
AUSTRALIA,19878.36,53.26,0.173,0.393,373.23
MAURITIUS,32361.57,50.7,0.281,0.374,638.3
GEORGIA,11375.13,46.68,0.099,0.344,243.68
SWITZERLAND,30140.0,44.89,0.262,0.331,671.42
QATAR,18251.64,41.76,0.159,0.308,437.06
SUDAN,39688.78,39.43,0.345,0.291,1006.56
COTE D IVOIRE,61670.49,37.59,0.536,0.277,1640.61
MOZAMBIQUE,52762.44,37.28,0.459,0.275,1415.3
TANZANIA REP,49761.06,35.27,0.433,0.26,1410.86
PAKISTAN IR,34693.09,33.13,0.302,0.244,1047.18
THAILAND,28013.11,33.1,0.243,0.244,846.32
MALDIVES,26694.28,31.83,0.232,0.235,838.65
BHUTAN,24857.84,31.27,0.216,0.231,794.94
LEBANON,8718.15,31.2,0.076,0.23,279.43
POLAND,26523.6,30.7,0.231,0.226,863.96
HONG KONG,6220.29,26.31,0.054,0.194,236.42
KENYA,32958.65,24.95,0.286,0.184,1320.99
ISRAEL,10816.19,24.67,0.094,0.182,438.43
DENMARK,3616.15,24.0,0.031,0.177,150.67
MYANMAR,35875.37,23.42,0.312,0.173,1531.83
MADAGASCAR,27025.59,22.91,0.235,0.169,1179.64
COMOROS,31216.38,22.63,0.271,0.167,1379.42
SOMALIA,26481.1,21.57,0.23,0.159,1227.68
NETHERLANDANTIL,3842.55,19.95,0.033,0.147,192.61
KOREA DP RP,7752.38,19.8,0.067,0.146,391.53
MOROCCO,19991.44,19.61,0.174,0.145,1019.45
GREECE,5517.46,19.55,0.048,0.144,282.22
CONGO P REP,4915.84,19.27,0.043,0.142,255.1
TAIWAN,7303.25,18.29,0.063,0.135,399.3
DJIBOUTI,21214.25,18.05,0.184,0.133,1175.3
CAMEROON,10300.94,15.68,0.09,0.116,656.95
IRAQ,13535.59,13.72,0.118,0.101,986.56
MALI,14847.13,12.94,0.129,0.095,1147.38
SWEDEN,4136.99,12.81,0.036,0.094,322.95
Eswatini,18177.11,12.13,0.158,0.089,1498.53
LATVIA,32521.95,11.84,0.283,0.087,2746.79
UKRAINE,8171.54,10.9,0.071,0.08,749.68
TRINIDAD,14168.35,10.79,0.123,0.08,1313.1
AUSTRIA,1173.4,10.65,0.01,0.079,110.18
ESTONIA,7315.7,10.48,0.064,0.077,698.06
NEW ZEALAND,2639.01,9.72,0.023,0.072,271.5
SEYCHELLES,5455.74,9.47,0.047,0.07,576.11
BENIN,12287.72,9.33,0.107,0.069,1317.01
PORTUGAL,1092.04,8.89,0.009,0.066,122.84
ROMANIA,3352.76,8.45,0.029,0.062,396.78
RWANDA,9367.26,8.32,0.081,0.061,1125.87
BRAZIL,1597.95,8.11,0.014,0.06,197.03
ARMENIA,2221.46,7.95,0.019,0.059,279.43
BARBADOS,10085.2,7.8,0.088,0.058,1292.97
FINLAND,1212.89,7.61,0.011,0.056,159.38
NAMIBIA,2781.63,6.91,0.024,0.051,402.55
SYRIA,2314.2,5.39,0.02,0.04,429.35
CZECH REPUBLIC,5249.8,5.24,0.046,0.039,1001.87
REUNION,4958.44,5.16,0.043,0.038,960.94
MEXICO,1177.3,4.38,0.01,0.032,268.79
TURKEY,894.57,4.01,0.008,0.03,223.08
COLOMBIA,691.28,3.51,0.006,0.026,196.95
AFGHANISTAN TIS,953.03,3.34,0.008,0.025,285.34
UGANDA,2149.36,3.29,0.019,0.024,653.3
CYPRUS,518.58,3.28,0.005,0.024,158.1
CROATIA,3838.21,3.21,0.033,0.024,1195.7
MACAO,4363.26,3.05,0.038,0.022,1430.58
NORWAY,751.23,2.78,0.007,0.02,270.23
ETHIOPIA,2383.29,2.77,0.021,0.02,860.39
ZAMBIA,2413.66,2.75,0.021,0.02,877.69
ARGENTINA,495.12,2.48,0.004,0.018,199.65
BRUNEI,1486.73,2.47,0.013,0.018,601.91
ALGERIA,311.71,2.4,0.003,0.018,129.88
LITHUANIA,1213.4,2.38,0.011,0.018,509.83
TUNISIA,159.63,2.21,0.001,0.016,72.23
AZERBAIJAN,543.02,2.19,0.005,0.016,247.95
MALTA,576.83,2.14,0.005,0.016,269.55
FIJI IS,390.11,1.85,0.003,0.014,210.87
BURKINA FASO,554.98,1.77,0.005,0.013,313.55
CHILE,339.28,1.76,0.003,0.013,192.77
GUATEMALA,299.95,1.74,0.003,0.013,172.39
GUINEA BISSAU,409.08,1.45,0.004,0.011,282.12
HUNGARY,241.2,1.21,0.002,0.009,199.34
UZBEKISTAN,287.49,1.17,0.002,0.009,245.72
IRELAND,284.05,1.1,0.002,0.008,258.23
