Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
RUSSIA,168925.39,126.9,16.054,16.749,1331.17
SAUDI ARAB,108855.05,93.18,10.345,12.298,1168.22
U ARAB EMTS,100824.93,89.83,9.582,11.856,1122.4
U S A,44976.82,77.86,4.275,10.276,577.66
KUWAIT,46718.8,45.39,4.44,5.991,1029.28
OMAN,46515.23,43.18,4.421,5.699,1077.24
U K,30289.58,41.61,2.879,5.492,727.94
MALAYSIA,54784.08,37.15,5.207,4.903,1474.67
IRAN,189972.4,25.09,18.055,3.311,7571.64
BAHARAIN IS,19028.58,18.37,1.808,2.425,1035.85
GERMANY,9959.47,17.67,0.947,2.332,563.64
BANGLADESH PR,31568.77,13.75,3.0,1.815,2295.91
SINGAPORE,31082.23,13.07,2.954,1.725,2378.14
NEPAL,35880.57,12.11,3.41,1.598,2962.89
SRI LANKA DSR,20343.44,7.82,1.933,1.032,2601.46
TURKEY,6371.44,7.81,0.606,1.031,815.81
NETHERLAND,3663.05,7.47,0.348,0.986,490.37
JAPAN,3904.72,7.45,0.371,0.983,524.12
ITALY,3580.7,7.14,0.34,0.942,501.5
FRANCE,2958.53,7.1,0.281,0.937,416.69
CANADA,4646.59,6.91,0.442,0.912,672.44
SWITZERLAND,2118.71,6.82,0.201,0.9,310.66
QATAR,5009.68,4.77,0.476,0.63,1050.25
YEMEN REPUBLC,4875.78,4.17,0.463,0.55,1169.25
KOREA DP RP,22293.2,3.96,2.119,0.523,5629.6
KOREA RP,17917.55,3.59,1.703,0.474,4990.96
SPAIN,1095.09,2.83,0.104,0.374,386.96
HONG KONG,16849.51,2.64,1.601,0.348,6382.39
AUSTRALIA,1517.97,2.63,0.144,0.347,577.17
MAURITIUS,2607.81,2.42,0.248,0.319,1077.61
DENMARK,832.12,1.75,0.079,0.231,475.5
MALDIVES,1774.43,1.15,0.169,0.152,1542.98
BULGARIA,1002.18,1.07,0.095,0.141,936.62
JORDAN,266.9,1.01,0.025,0.133,264.26
MOZAMBIQUE,540.0,0.91,0.051,0.12,593.41
C AFRI REP,732.43,0.8,0.07,0.106,915.54
EGYPT A RP,728.09,0.77,0.069,0.102,945.57
AFGHANISTAN TIS,583.1,0.72,0.055,0.095,809.86
SERBIA,575.0,0.67,0.055,0.088,858.21
CZECH REPUBLIC,267.02,0.67,0.025,0.088,398.54
PAKISTAN IR,794.83,0.51,0.076,0.067,1558.49
NEW ZEALAND,186.83,0.46,0.018,0.061,406.15
SEYCHELLES,460.88,0.44,0.044,0.058,1047.45
THAILAND,276.3,0.42,0.026,0.055,657.86
CONGO D. REP.,342.43,0.42,0.033,0.055,815.31
SWEDEN,146.78,0.4,0.014,0.053,366.95
NORWAY,238.25,0.36,0.023,0.048,661.81
REUNION,772.01,0.35,0.073,0.046,2205.74
PORTUGAL,24.81,0.33,0.002,0.044,75.18
BELGIUM,172.59,0.32,0.016,0.042,539.34
GREECE,142.33,0.31,0.014,0.041,459.13
AUSTRIA,166.0,0.28,0.016,0.037,592.86
SYRIA,202.5,0.26,0.019,0.034,778.85
GABON,192.96,0.22,0.018,0.029,877.09
SUDAN,228.35,0.22,0.022,0.029,1037.95
ISRAEL,97.27,0.21,0.009,0.028,463.19
CHINA P RP,124.9,0.19,0.012,0.025,657.37
KENYA,131.57,0.17,0.013,0.022,773.94
BARBADOS,78.88,0.15,0.007,0.02,525.87
NIGERIA,86.98,0.14,0.008,0.018,621.29
POLAND,0.6,0.13,0.0,0.017,4.62
SOMALIA,121.58,0.12,0.012,0.016,1013.17
CUBA,102.0,0.12,0.01,0.016,850.0
MEXICO,40.0,0.1,0.004,0.013,400.0
Eswatini,16.0,0.08,0.002,0.011,200.0
ETHIOPIA,72.85,0.08,0.007,0.011,910.62
MALI,193.16,0.06,0.018,0.008,3219.33
FINLAND,30.34,0.06,0.003,0.008,505.67
IRAQ,31.23,0.06,0.003,0.008,520.5
BRAZIL,42.52,0.06,0.004,0.008,708.67
ARGENTINA,32.6,0.06,0.003,0.008,543.33
PHILIPPINES,24.07,0.04,0.002,0.005,601.75
TRINIDAD,18.08,0.04,0.002,0.005,452.0
LEBANON,29.1,0.03,0.003,0.004,970.0
MONGOLIA,23.8,0.03,0.002,0.004,793.33
GHANA,12.56,0.03,0.001,0.004,418.67
LIBERIA,14.69,0.03,0.001,0.004,489.67
FIJI IS,19.59,0.03,0.002,0.004,653.0
INDONESIA,11.1,0.03,0.001,0.004,370.0
IRELAND,20.0,0.03,0.002,0.004,666.67
CHILE,10.0,0.02,0.001,0.003,500.0
TANZANIA REP,4.52,0.01,0.0,0.001,452.0
HUNGARY,5.93,0.01,0.001,0.001,593.0
CYPRUS,5.0,0.01,0.0,0.001,500.0
UGANDA,10.21,0.01,0.001,0.001,1021.0
ZAMBIA,4.25,0.01,0.0,0.001,425.0
ALGERIA,2.0,0.01,0.0,0.001,200.0
Total,1052202.17,757.67,100.0,100.0,1388.73
