State Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Gujarat,6210524.45,37818.28,26.789,27.99,164.22
Maharashtra,4659680.65,27163.95,20.099,20.105,171.54
Uttar Pradesh,1697294.6,17605.06,7.321,13.03,96.41
HARYANA,966805.61,9533.85,4.17,7.056,101.41
Andhra Pradesh,3148356.88,8930.33,13.58,6.61,352.55
Tamil Nadu,1569515.26,8662.79,6.77,6.412,181.18
West Bengal,2403692.74,6834.66,10.368,5.059,351.69
Kerala,249645.08,3681.07,1.077,2.724,67.82
Punjab,440551.24,3632.02,1.9,2.688,121.3
KARNATAKA,243936.18,2816.02,1.052,2.084,86.62
Bihar,936224.81,2056.08,4.038,1.522,455.34
Delhi,95831.93,1901.01,0.413,1.407,50.41
Rajasthan,181027.77,1672.5,0.781,1.238,108.24
Telangana,127814.16,1366.96,0.551,1.012,93.5
Madhya Pradesh,118499.34,940.63,0.511,0.696,125.98
Odisha,79684.9,218.99,0.344,0.162,363.87
GOA,11082.04,122.85,0.048,0.091,90.21
Uttarakhand,16293.33,69.38,0.07,0.051,234.84
Assam,10583.91,34.81,0.046,0.026,304.05
Chhattisgarh,11596.0,28.23,0.05,0.021,410.77
SIKKIM,3646.34,19.29,0.016,0.014,189.03
Tripura,852.81,2.67,0.004,0.002,319.4
Meghalaya,40.0,0.17,0.0,0.0,235.29
PONDICHERRY,14.17,0.14,0.0,0.0,101.21
Himachal Pradesh,1.2,0.02,0.0,0.0,60.0
Jammu & Kashmir,0.25,0.02,0.0,0.0,12.5
Total,23183195.65,135111.78,100.0,100.0,171.59
