State Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Gujarat,5784350.21,35791.67,31.658,29.976,161.61
maharashtra,3290904.45,23950.53,18.012,20.059,137.4
Uttar Pradesh,1515784.59,15902.76,8.296,13.319,95.32
HARYANA,928652.14,8428.15,5.083,7.059,110.18
Tamil Nadu,1221738.44,8114.54,6.687,6.796,150.56
Andhra Pradesh,1741986.48,5429.5,9.534,4.547,320.84
West Bengal,1544969.76,4928.55,8.456,4.128,313.47
Kerala,248588.01,3638.12,1.361,3.047,68.33
Punjab,394267.6,3210.74,2.158,2.689,122.8
Karnataka,218045.37,2668.6,1.193,2.235,81.71
Bihar,783140.45,2047.39,4.286,1.715,382.51
Delhi,78433.89,1459.23,0.429,1.222,53.75
Telangana,122758.05,1238.35,0.672,1.037,99.13
Rajasthan,142438.09,1183.1,0.78,0.991,120.39
Madhya Pradesh,125046.44,884.32,0.684,0.741,141.4
Odisha,71289.1,227.48,0.39,0.191,313.39
Goa,6530.8,105.02,0.036,0.088,62.19
Uttarakhand,14645.66,78.03,0.08,0.065,187.69
Chhattisgarh,26686.05,68.99,0.146,0.058,386.81
Assam,10159.04,39.7,0.056,0.033,255.9
Sikkim,655.7,5.25,0.004,0.004,124.9
PONDICHERRY,34.77,0.22,0.0,0.0,158.05
Himachal Pradesh,3.22,0.05,0.0,0.0,64.4
Jammu & Kashmir,0.28,0.02,0.0,0.0,14.0
Tripura,12.74,0.02,0.0,0.0,637.0
Total,18271121.33,119400.33,100.0,100.0,153.02
