Port Type,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Sea,11995175.54,72122.78,65.651,60.404,166.32
ICD,4928645.42,39820.1,26.975,33.35,123.77
Airport,268310.59,3489.54,1.468,2.923,76.89
Road/Railway,991808.51,2821.6,5.428,2.363,351.51
SEZ,87181.27,1146.3,0.477,0.96,76.05
Total,18271121.33,119400.32,100.0,100.0,153.02
