Port Type,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Sea,14297109.46,70628.55,66.85,62.032,202.43
ICD,5257485.92,35873.77,24.583,31.507,146.56
Road/Railway,1493947.48,3238.92,6.985,2.845,461.25
Airport,263622.79,3110.85,1.233,2.732,84.74
SEZ,74571.03,1005.9,0.349,0.883,74.13
Total,21386736.68,113857.99,100.0,100.0,187.84
