Port Type,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Sea,15666933.88,82241.05,67.579,60.869,190.5
ICD,5603272.63,44112.4,24.17,32.649,127.02
Road/Railway,1584718.26,4000.88,6.836,2.961,396.09
Airport,274252.65,3725.14,1.183,2.757,73.62
SEZ,54018.23,1032.32,0.233,0.764,52.33
Total,23183195.65,135111.79,100.0,100.0,171.59
