Port Type,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Sea,28384085.42,111870.44,66.374,60.546,253.72
ICD,7933456.21,52840.54,18.552,28.598,150.14
Road/Railway,6053446.29,14525.03,14.156,7.861,416.76
Airport,187515.68,3212.7,0.438,1.739,58.37
SEZ,205296.96,2320.27,0.48,1.256,88.48
CFS,56.0,0.25,0.0,0.0,224.0
Total,42763856.56,184769.23,100.0,100.0,231.44
