Port Type,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Sea,22712949.58,68624.53,76.206,58.331,330.97
ICD,5019945.75,44369.83,16.843,37.715,113.14
Road/Railway,1843719.29,2816.8,6.186,2.394,654.54
Airport,218452.76,1595.65,0.733,1.356,136.91
SEZ,9627.69,239.49,0.032,0.204,40.2
Total,29804695.07,117646.3,100.0,100.0,253.34
