Port Type,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Sea,20020214.27,89426.98,62.349,58.43,223.87
ICD,8214785.9,51515.94,25.583,33.66,159.46
Road/Railway,3494499.69,7740.57,10.883,5.058,451.45
Airport,155357.84,2616.81,0.484,1.71,59.37
SEZ,224885.59,1749.42,0.7,1.143,128.55
CFS,30.4,0.21,0.0,0.0,144.76
Total,32109773.69,153049.93,100.0,100.0,209.8
