Port Type,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Sea,20851388.93,79985.82,69.501,58.417,260.69
ICD,6259756.95,49222.96,20.865,35.95,127.17
Road/Railway,2656202.9,4932.05,8.854,3.602,538.56
Airport,216724.25,2426.02,0.722,1.772,89.33
SEZ,17508.5,354.37,0.058,0.259,49.41
Total,30001581.53,136921.22,100.0,100.0,219.12
