Port Type,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Sea,13439767.49,63439.01,65.64,59.022,211.85
ICD,4868658.87,36178.97,23.779,33.66,134.57
Road/Railway,1833018.32,4137.45,8.953,3.849,443.03
Airport,275764.33,3034.39,1.347,2.823,90.88
SEZ,57605.4,693.05,0.281,0.645,83.12
Total,20474814.41,107482.87,100.0,100.0,190.49
