Port Type,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Sea,18297232.95,75593.93,67.432,57.555,242.05
ICD,6169736.12,47669.54,22.738,36.294,129.43
Road/Railway,2398888.78,4961.2,8.841,3.777,483.53
Airport,221430.69,2623.69,0.816,1.998,84.4
SEZ,47022.9,494.63,0.173,0.377,95.07
Total,27134311.44,131342.99,100.0,100.0,206.59
