Port Type,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Sea,10109914.91,25706.29,78.85,73.328,393.29
ICD,1392209.17,7273.35,10.858,20.748,191.41
Road/Railway,1140154.72,1246.47,8.892,3.556,914.71
Airport,173058.82,765.02,1.35,2.182,226.21
SEZ,6392.35,65.31,0.05,0.186,97.88
Total,12821729.97,35056.44,100.0,100.0,365.75
