Port Type,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Sea,31365683.11,138426.58,70.543,62.653,226.59
ICD,7945462.07,62684.04,17.87,28.372,126.75
Road/Railway,4396107.82,12114.6,9.887,5.483,362.88
SEZ,557998.55,4216.43,1.255,1.908,132.34
Airport,197318.6,3493.67,0.444,1.581,56.48
CFS,533.86,4.78,0.001,0.002,111.69
Total,44463104.01,220940.1,100.0,100.0,201.25
