Port Type,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Sea,8348068.6,26555.76,75.663,75.877,314.36
ICD,1328671.94,6105.81,12.043,17.446,217.61
Road/Railway,1180635.97,1391.04,10.701,3.975,848.74
Airport,170409.98,871.22,1.545,2.489,195.6
SEZ,5374.82,74.68,0.049,0.213,71.97
Total,11033161.31,34998.51,100.0,100.0,315.25
