Port Type,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Sea,14502623.13,49475.32,74.381,59.834,293.13
ICD,3547624.74,30138.69,18.195,36.449,117.71
Road/Railway,1238914.79,1859.29,6.354,2.249,666.34
Airport,172698.27,1049.38,0.886,1.269,164.57
SEZ,25788.06,137.34,0.132,0.166,187.77
UNSPECIFIED,10103.67,27.38,0.052,0.033,369.02
Total,19497752.66,82687.4,100.0,100.0,235.8
