Port Type,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Sea,13898678.03,72675.87,62.034,57.744,191.24
ICD,5983187.21,43282.66,26.705,34.39,138.24
Road/Railway,2188625.3,5469.38,9.769,4.346,400.16
Airport,277534.18,3392.11,1.239,2.695,81.82
SEZ,56809.53,1038.07,0.254,0.825,54.73
Total,22404834.25,125858.09,100.0,100.0,178.02
