Port Type,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Sea,15582754.14,87531.72,66.489,57.785,178.02
ICD,5893825.35,53489.5,25.148,35.312,110.19
Road/Railway,1614923.97,4859.5,6.891,3.208,332.32
Airport,163709.93,3271.72,0.699,2.16,50.04
SEZ,177845.84,2281.07,0.759,1.506,77.97
CFS,3430.82,44.69,0.015,0.03,76.77
Total,23436490.05,151478.2,100.0,100.0,154.72
