Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
NON BASMATI RICE,13095130.21,35476.61,40.782,23.18,369.12
BASMATI RICE,4630463.14,29849.89,14.421,19.503,155.12
BUFFALO MEAT,1085619.93,23460.38,3.381,15.329,46.27
MISCELLANEOUS PREPARATIONS,624257.36,5866.44,1.944,3.833,106.41
GROUNDNUTS,638582.92,5381.61,1.989,3.516,118.66
CEREAL PREPARATIONS,403267.68,4705.81,1.256,3.075,85.7
MAIZE,2879202.94,4675.78,8.967,3.055,615.77
WHEAT,2088487.66,4037.6,6.504,2.638,517.26
PROCESSED VEGETABLES,403355.38,3718.63,1.256,2.43,108.47
"PROCESSED FRUITS, JUICES & NUTS",306990.51,3173.42,0.956,2.073,96.74
CASHEW KERNELS,70087.59,3112.22,0.218,2.033,22.52
FRESH ONIONS,1578016.58,2826.53,4.914,1.847,558.29
JAGGERY & CONFECTIONERY,631895.81,2659.57,1.968,1.738,237.59
ALCOHOLIC BEVERAGES,247455.66,2386.91,0.771,1.56,103.67
FRESH GRAPES,246107.37,2298.45,0.766,1.502,107.08
OTHER FRESH FRUITS,609612.93,2233.31,1.899,1.459,272.96
OTHER FRESH VEGETABLES,682085.8,2143.2,2.124,1.4,318.26
PULSES,296169.79,2116.69,0.922,1.383,139.92
GUARGUM,234871.29,1949.07,0.731,1.273,120.5
CUCUMBER AND GHERKINS( PREPD. &  PRESVD),223515.51,1651.82,0.696,1.079,135.31
MILLED PRODUCTS,392935.4,1513.44,1.224,0.989,259.63
DAIRY PRODUCTS,54762.31,1491.66,0.171,0.975,36.71
COCOA PRODUCTS,25768.04,1108.38,0.08,0.724,23.25
FRUITS & VEGETABLES SEEDS,17177.18,808.4,0.053,0.528,21.25
NATURAL HONEY,59999.24,716.13,0.187,0.468,83.78
MANGO PULP,98369.75,714.41,0.306,0.467,137.69
FLORICULTURE,15695.29,575.98,0.049,0.376,27.25
Millet,146993.61,435.8,0.458,0.285,337.3
POULTRY PRODUCTS,255686.92,435.53,0.796,0.285,587.07
ANIMAL CASINGS,13887.74,416.54,0.043,0.272,33.34
SHEEP/GOAT MEAT,7050.55,329.96,0.022,0.216,21.37
FRESH MANGOES,21033.56,271.88,0.066,0.178,77.36
CASEIN,3401.65,180.41,0.011,0.118,18.86
OTHERS (BETEL LEAVES & NUTS),10151.6,137.79,0.032,0.09,73.67
ALBUMIN( Eggs & Milk ),2278.28,94.97,0.007,0.062,23.99
WALNUTS,1069.66,29.79,0.003,0.019,35.91
CARDANOL,3306.09,18.27,0.01,0.012,180.96
OTHER MEAT,894.04,18.06,0.003,0.012,49.5
OTHER CEREALS,2932.78,15.15,0.009,0.01,193.58
PROCESSED MEAT,774.11,11.92,0.002,0.008,64.94
CASHEWNUT SHELL LIQUID,429.82,1.45,0.001,0.001,296.43
Total,32109773.68,153049.86,100.0,100.0,209.8
