Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BASMATI RICE,235590.0,435.12,10.356,24.141,541.44
NON BASMATI RICE,525790.0,320.07,23.113,17.758,1642.73
BUFFALO MEAT,81331.27,188.96,3.575,10.484,430.42
WHEAT,658250.0,158.08,28.936,8.77,4164.03
FRESH ONIONS,370948.86,149.59,16.306,8.299,2479.77
GUARGUM,61310.8,92.06,2.695,5.108,665.99
PROCESSED VEGETABLES,24356.57,41.73,1.071,2.315,583.67
ALCOHOLIC BEVERAGES,36290.33,39.15,1.595,2.172,926.96
PULSES,25859.0,39.14,1.137,2.172,660.68
CEREAL PREPARATIONS,17756.46,38.37,0.781,2.129,462.77
WALNUTS,4929.22,36.13,0.217,2.005,136.43
FRESH MANGOES,23045.7,35.28,1.013,1.957,653.22
MANGO PULP,20489.17,33.4,0.901,1.853,613.45
SHEEP/GOAT MEAT,7620.0,32.48,0.335,1.802,234.61
OTHER FRESH FRUITS,40802.83,27.45,1.794,1.523,1486.44
FRESH GRAPES,11139.77,18.59,0.49,1.031,599.23
"PROCESSED FRUITS, JUICES & NUTS",8745.47,16.46,0.384,0.913,531.32
FRUITS & VEGETABLES SEEDS,8419.06,16.09,0.37,0.893,523.25
FLORICULTURE,0.0,14.8,0.0,0.821,0.0
OTHER FRESH VEGETABLES,23581.17,13.62,1.037,0.756,1731.36
DAIRY PRODUCTS,2643.42,11.24,0.116,0.624,235.18
MISCELLANEOUS PREPARATIONS,2277.26,10.56,0.1,0.586,215.65
POULTRY PRODUCTS,74484.32,10.15,3.274,0.563,7338.36
GROUNDNUTS,3637.0,7.34,0.16,0.407,495.5
ANIMAL CASINGS,325.49,6.9,0.014,0.383,47.17
COCOA PRODUCTS,844.25,3.96,0.037,0.22,213.19
JAGGERY & CONFECTIONERY,1405.19,2.28,0.062,0.126,616.31
CUCUMBER AND GHERKINS( PREPD. &  PRESVD),548.6,1.26,0.024,0.07,435.4
PROCESSED MEAT,192.79,1.13,0.008,0.063,170.61
MILLED PRODUCTS,2229.0,1.04,0.098,0.058,2143.27
OTHER CEREALS,20.0,0.01,0.001,0.001,2000.0
Total,2274863.0,1802.44,100.0,100.0,1262.1
