Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
NON BASMATI RICE,3615109.55,3945.02,30.439,23.371,916.37
BASMATI RICE,1162989.16,2823.9,9.792,16.73,411.84
BUFFALO MEAT,337777.65,1774.52,2.844,10.513,190.35
WHEAT,2009343.03,1459.82,16.919,8.648,1376.43
MAIZE,1082256.38,719.92,9.113,4.265,1503.3
GUARGUM,131299.98,689.48,1.106,4.085,190.43
FRESH ONIONS,870216.85,644.12,7.327,3.816,1351.02
PULSES,266987.85,589.85,2.248,3.494,452.64
GROUNDNUTS,177154.07,547.02,1.492,3.241,323.85
DAIRY PRODUCTS,42160.06,358.69,0.355,2.125,117.54
PROCESSED VEGETABLES,92750.25,329.65,0.781,1.953,281.36
MANGO PULP,95857.0,315.72,0.807,1.87,303.61
CEREAL PREPARATIONS,52743.57,293.25,0.444,1.737,179.86
POULTRY PRODUCTS,1062265.65,287.74,8.944,1.705,3691.76
FLORICULTURE,27769.06,221.11,0.234,1.31,125.59
CUCUMBER AND GHERKINS( PREPD. &  PRESVD),115110.09,220.7,0.969,1.307,521.57
MISCELLANEOUS PREPARATIONS,40130.75,202.53,0.338,1.2,198.15
"PROCESSED FRUITS, JUICES & NUTS",56278.87,175.72,0.474,1.041,320.28
OTHER FRESH VEGETABLES,161937.43,168.77,1.364,1.0,959.52
OTHER FRESH FRUITS,131443.07,158.18,1.107,0.937,830.97
MILLED PRODUCTS,150262.78,157.33,1.265,0.932,955.08
FRESH GRAPES,38898.34,126.44,0.328,0.749,307.64
WALNUTS,5851.16,96.22,0.049,0.57,60.81
ALCOHOLIC BEVERAGES,26884.36,96.01,0.226,0.569,280.02
FRESH MANGOES,53480.02,89.61,0.45,0.531,596.81
JAGGERY & CONFECTIONERY,23562.75,86.53,0.198,0.513,272.31
SHEEP/GOAT MEAT,9024.49,81.27,0.076,0.481,111.04
NATURAL HONEY,10523.24,68.27,0.089,0.404,154.14
FRUITS & VEGETABLES SEEDS,6726.57,66.01,0.057,0.391,101.9
COCOA PRODUCTS,2313.3,27.66,0.019,0.164,83.63
OTHERS (BETEL LEAVES & NUTS),3804.82,22.05,0.032,0.131,172.55
ANIMAL CASINGS,552.73,12.64,0.005,0.075,43.73
PROCESSED MEAT,1359.7,9.45,0.011,0.056,143.88
OTHER CEREALS,4956.11,7.87,0.042,0.047,629.75
Millet,6812.04,6.59,0.057,0.039,1033.69
Total,11876592.73,16879.66,100.0,100.0,703.6
