Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BASMATI RICE,286170.0,699.84,19.681,34.433,408.91
BUFFALO MEAT,81614.01,214.42,5.613,10.55,380.63
NON BASMATI RICE,276734.55,198.15,19.033,9.749,1396.59
FRESH ONIONS,389830.0,172.96,26.811,8.51,2253.87
GUARGUM,62373.97,103.19,4.29,5.077,604.46
SHEEP/GOAT MEAT,13771.9,79.02,0.947,3.888,174.28
MANGO PULP,27506.17,58.34,1.892,2.87,471.48
PROCESSED VEGETABLES,30294.89,57.65,2.084,2.836,525.5
CEREAL PREPARATIONS,47069.64,54.47,3.237,2.68,864.14
PULSES,34354.0,53.49,2.363,2.632,642.25
FRESH MANGOES,25850.4,45.99,1.778,2.263,562.09
WALNUTS,4766.53,43.43,0.328,2.137,109.75
ALCOHOLIC BEVERAGES,23124.37,40.8,1.59,2.007,566.77
OTHER FRESH FRUITS,39022.12,27.88,2.684,1.372,1399.65
"PROCESSED FRUITS, JUICES & NUTS",12867.12,25.85,0.885,1.272,497.76
FRUITS & VEGETABLES SEEDS,7020.53,23.8,0.483,1.171,294.98
FRESH GRAPES,10770.1,21.65,0.741,1.065,497.46
MISCELLANEOUS PREPARATIONS,6238.33,18.39,0.429,0.905,339.22
POULTRY PRODUCTS,3384.06,17.32,0.233,0.852,195.38
FLORICULTURE,0.0,14.91,0.0,0.734,0.0
OTHER FRESH VEGETABLES,21089.53,13.92,1.45,0.685,1515.05
WHEAT,36749.0,10.21,2.527,0.502,3599.31
DAIRY PRODUCTS,1091.93,8.36,0.075,0.411,130.61
GROUNDNUTS,4343.0,7.72,0.299,0.38,562.56
ANIMAL CASINGS,403.85,7.13,0.028,0.351,56.64
JAGGERY & CONFECTIONERY,3404.07,4.53,0.234,0.223,751.45
OTHERS (BETEL LEAVES & NUTS),628.53,4.52,0.043,0.222,139.06
CUCUMBER AND GHERKINS( PREPD. &  PRESVD),1001.08,1.28,0.069,0.063,782.09
COCOA PRODUCTS,156.73,1.12,0.011,0.055,139.94
MILLED PRODUCTS,1802.0,0.94,0.124,0.046,1917.02
PROCESSED MEAT,146.61,0.92,0.01,0.045,159.36
MAIZE,425.0,0.23,0.029,0.011,1847.83
NATURAL HONEY,1.39,0.01,0.0,0.0,139.0
Total,1454005.41,2032.44,100.0,100.0,715.4
