Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
NON BASMATI RICE,17786092.81,51088.72,40.002,23.123,348.14
BASMATI RICE,4558972.23,38524.11,10.253,17.436,118.34
BUFFALO MEAT,1175869.13,25648.1,2.645,11.609,45.85
WHEAT,4693264.09,11826.9,10.555,5.353,396.83
MAIZE,3453680.58,8987.13,7.768,4.068,384.29
MISCELLANEOUS PREPARATIONS,826368.62,8889.12,1.859,4.023,92.96
GROUNDNUTS,668885.39,6735.25,1.504,3.048,99.31
CEREAL PREPARATIONS,480429.35,6051.51,1.081,2.739,79.39
PULSES,775024.48,5397.86,1.743,2.443,143.58
PROCESSED VEGETABLES,410415.99,4987.36,0.923,2.257,82.29
GUARGUM,406513.53,4944.6,0.914,2.238,82.21
"PROCESSED FRUITS, JUICES & NUTS",388207.95,4754.83,0.873,2.152,81.64
FRESH ONIONS,2525258.35,4522.79,5.679,2.047,558.34
JAGGERY & CONFECTIONERY,761640.19,4330.07,1.713,1.96,175.9
PREPARED ANIMAL FEEDER,796242.9,3584.39,1.791,1.622,222.14
CASHEW KERNELS,59575.83,2868.72,0.134,1.298,20.77
OTHER FRESH FRUITS,674291.7,2736.99,1.517,1.239,246.36
ALCOHOLIC BEVERAGES,230903.46,2546.44,0.519,1.153,90.68
FRESH GRAPES,267950.39,2543.42,0.603,1.151,105.35
OTHER FRESH VEGETABLES,827288.05,2443.04,1.861,1.106,338.63
DAIRY PRODUCTS,67572.99,2269.85,0.152,1.027,29.77
MILLED PRODUCTS,629253.46,2223.94,1.415,1.007,282.95
CUCUMBER AND GHERKINS( PREPD. &  PRESVD),227699.04,1761.1,0.512,0.797,129.29
NATURAL HONEY,79929.17,1622.77,0.18,0.734,49.25
COCOA PRODUCTS,34249.85,1242.13,0.077,0.562,27.57
MANGO PULP,109501.38,1189.66,0.246,0.538,92.04
POULTRY PRODUCTS,664753.46,1081.62,1.495,0.49,614.59
OTHER OIL CAKE/SOLID RESDUS,583387.18,939.66,1.312,0.425,620.85
FRUITS & VEGETABLES SEEDS,13605.72,827.13,0.031,0.374,16.45
CASEIN,8843.53,816.32,0.02,0.369,10.83
FLORICULTURE,21024.41,707.81,0.047,0.32,29.7
Millet,169049.21,608.11,0.38,0.275,277.99
SHEEP/GOAT MEAT,9592.31,537.18,0.022,0.243,17.86
OTHERS (BETEL LEAVES & NUTS),17205.45,534.73,0.039,0.242,32.18
FRESH MANGOES,22963.76,378.49,0.052,0.171,60.67
ANIMAL CASINGS,12577.04,326.02,0.028,0.148,38.58
ALBUMIN( Eggs & Milk ),2219.94,266.88,0.005,0.121,8.32
CARDANOL,6607.05,57.08,0.015,0.026,115.75
CASHEWNUT SHELL LIQUID,10641.81,56.39,0.024,0.026,188.72
OTHER CEREALS,3801.18,27.4,0.009,0.012,138.73
WALNUTS,717.64,25.83,0.002,0.012,27.78
OTHER MEAT,701.8,16.93,0.002,0.008,41.45
PROCESSED MEAT,331.57,11.72,0.001,0.005,28.29
Total,44463103.97,220940.1,100.0,100.0,201.25
