Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BASMATI RICE,4414560.81,32804.13,19.042,24.279,134.57
BUFFALO MEAT,1236638.4,25168.31,5.334,18.628,49.13
NON BASMATI RICE,7599595.93,21185.07,32.781,15.68,358.72
GUARGUM,513211.88,4707.05,2.214,3.484,109.03
CASHEW KERNELS,78177.32,4579.17,0.337,3.389,17.07
MISCELLANEOUS PREPARATIONS,517179.39,4072.99,2.231,3.015,126.98
CEREAL PREPARATIONS,347751.56,3859.57,1.5,2.857,90.1
FRESH ONIONS,2183766.42,3468.87,9.42,2.567,629.53
GROUNDNUTS,489187.11,3298.33,2.11,2.441,148.31
"PROCESSED FRUITS, JUICES & NUTS",339604.02,2804.88,1.465,2.076,121.08
PROCESSED VEGETABLES,248122.32,2474.0,1.07,1.831,100.29
DAIRY PRODUCTS,113725.62,2423.01,0.491,1.793,46.94
FRESH GRAPES,246133.77,2335.25,1.062,1.728,105.4
ALCOHOLIC BEVERAGES,231601.93,2103.97,0.999,1.557,110.08
OTHER FRESH VEGETABLES,735743.1,2069.66,3.174,1.532,355.49
MAIZE,1051855.92,1872.51,4.537,1.386,561.74
OTHER FRESH FRUITS,372213.64,1834.57,1.606,1.358,202.89
PULSES,289593.95,1822.44,1.249,1.349,158.9
JAGGERY & CONFECTIONERY,313843.56,1606.27,1.354,1.189,195.39
CUCUMBER AND GHERKINS( PREPD. &  PRESVD),212819.85,1437.13,0.918,1.064,148.09
COCOA PRODUCTS,27603.73,1350.86,0.119,1.0,20.43
MILLED PRODUCTS,307366.42,1060.14,1.326,0.785,289.93
FRUITS & VEGETABLES SEEDS,16151.15,849.23,0.07,0.629,19.02
SHEEP/GOAT MEAT,18424.97,790.65,0.079,0.585,23.3
NATURAL HONEY,61333.9,732.19,0.265,0.542,83.77
POULTRY PRODUCTS,544985.05,687.31,2.351,0.509,792.92
MANGO PULP,105873.22,657.67,0.457,0.487,160.98
FLORICULTURE,19726.56,571.41,0.085,0.423,34.52
Millet,219402.5,542.5,0.946,0.402,404.43
ANIMAL CASINGS,14882.83,480.66,0.064,0.356,30.96
WHEAT,226224.99,424.95,0.976,0.315,532.36
FRESH MANGOES,46510.22,406.5,0.201,0.301,114.42
CASEIN,5638.75,220.53,0.024,0.163,25.57
OTHERS (BETEL LEAVES & NUTS),17364.51,174.27,0.075,0.129,99.64
ALBUMIN( Eggs & Milk ),2196.83,103.06,0.009,0.076,21.32
WALNUTS,1874.86,66.77,0.008,0.049,28.08
CARDANOL,3579.18,20.79,0.015,0.015,172.16
OTHER MEAT,852.36,13.73,0.004,0.01,62.08
PROCESSED MEAT,405.63,13.52,0.002,0.01,30.0
OTHER CEREALS,5750.05,11.74,0.025,0.009,489.78
CASHEWNUT SHELL LIQUID,1721.48,6.12,0.007,0.005,281.29
Total,23183195.69,135111.78,100.0,100.0,171.59
