Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BASMATI RICE,355277.0,317.2,33.765,41.864,1120.04
GUARGUM,52920.64,99.0,5.029,13.066,534.55
BUFFALO MEAT,45166.62,58.62,4.293,7.737,770.5
FRESH ONIONS,130391.59,40.61,12.392,5.36,3210.82
WHEAT,253662.0,35.39,24.107,4.671,7167.62
PROCESSED VEGETABLES,23117.39,24.41,2.197,3.222,947.05
FRESH MANGOES,20302.63,23.34,1.93,3.08,869.86
NON BASMATI RICE,33519.0,21.4,3.186,2.824,1566.31
MANGO PULP,16800.8,18.39,1.597,2.427,913.58
SHEEP/GOAT MEAT,6873.12,18.27,0.653,2.411,376.2
CEREAL PREPARATIONS,9740.74,15.6,0.926,2.059,624.41
OTHER FRESH FRUITS,30173.18,15.29,2.868,2.018,1973.39
"PROCESSED FRUITS, JUICES & NUTS",16745.18,15.06,1.591,1.988,1111.9
WALNUTS,3784.87,13.2,0.36,1.742,286.73
PULSES,9433.0,6.64,0.896,0.876,1420.63
MISCELLANEOUS PREPARATIONS,2682.5,5.29,0.255,0.698,507.09
GROUNDNUTS,4665.0,5.04,0.443,0.665,925.6
ANIMAL CASINGS,342.37,4.4,0.033,0.581,77.81
FRESH GRAPES,3297.15,4.06,0.313,0.536,812.11
DAIRY PRODUCTS,968.67,3.66,0.092,0.483,264.66
OTHER FRESH VEGETABLES,7187.4,2.97,0.683,0.392,2420.0
MILLED PRODUCTS,21347.0,2.49,2.029,0.329,8573.09
FRUITS & VEGETABLES SEEDS,765.18,1.96,0.073,0.259,390.4
FLORICULTURE,0.0,1.74,0.0,0.23,0.0
ALCOHOLIC BEVERAGES,1072.5,1.69,0.102,0.223,634.62
POULTRY PRODUCTS,1099.74,0.84,0.105,0.111,1309.21
JAGGERY & CONFECTIONERY,354.76,0.49,0.034,0.065,724.0
COCOA PRODUCTS,202.42,0.37,0.019,0.049,547.08
PROCESSED MEAT,76.78,0.17,0.007,0.022,451.65
MAIZE,151.0,0.06,0.014,0.008,2516.67
OTHER CEREALS,54.0,0.02,0.005,0.003,2700.0
CUCUMBER AND GHERKINS( PREPD. &  PRESVD),39.01,0.02,0.004,0.003,1950.5
Total,1052213.24,757.69,100.0,100.0,1388.71
