Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BASMATI RICE,4454656.69,31025.88,24.381,25.985,143.58
BUFFALO MEAT,1152547.31,22668.47,6.308,18.985,50.84
NON BASMATI RICE,5040707.58,14364.66,27.588,12.031,350.91
GROUNDNUTS,664442.91,5096.39,3.637,4.268,130.38
MISCELLANEOUS PREPARATIONS,327512.12,4147.88,1.793,3.474,78.96
CASHEW KERNELS,84327.61,4018.35,0.462,3.365,20.99
CEREAL PREPARATIONS,341723.46,3871.69,1.87,3.243,88.26
GUARGUM,381880.14,3261.6,2.09,2.732,117.08
"PROCESSED FRUITS, JUICES & NUTS",360459.06,3086.3,1.973,2.585,116.79
PROCESSED VEGETABLES,253276.97,2760.53,1.386,2.312,91.75
FRESH ONIONS,1149896.84,2320.7,6.294,1.944,495.5
FRESH GRAPES,193690.51,2176.87,1.06,1.823,88.98
OTHER FRESH FRUITS,496577.66,2065.82,2.718,1.73,240.38
OTHER FRESH VEGETABLES,754007.57,2064.77,4.127,1.729,365.18
ALCOHOLIC BEVERAGES,139364.43,1648.62,0.763,1.381,84.53
JAGGERY & CONFECTIONERY,341154.87,1633.27,1.867,1.368,208.88
PULSES,235698.93,1533.74,1.29,1.285,153.68
DAIRY PRODUCTS,51421.79,1341.01,0.281,1.123,38.35
COCOA PRODUCTS,27410.18,1274.31,0.15,1.067,21.51
CUCUMBER AND GHERKINS( PREPD. &  PRESVD),189342.9,1241.21,1.036,1.04,152.55
MILLED PRODUCTS,283380.99,1064.62,1.551,0.892,266.18
MAIZE,370066.09,1019.3,2.025,0.854,363.06
FRUITS & VEGETABLES SEEDS,14796.09,723.44,0.081,0.606,20.45
SHEEP/GOAT MEAT,14128.84,646.69,0.077,0.542,21.85
NATURAL HONEY,59536.76,633.79,0.326,0.531,93.94
MANGO PULP,85725.56,584.32,0.469,0.489,146.71
POULTRY PRODUCTS,350817.81,574.58,1.92,0.481,610.56
FLORICULTURE,16949.39,541.61,0.093,0.454,31.29
WHEAT,217354.23,439.14,1.19,0.368,494.95
Millet,129012.88,425.69,0.706,0.357,303.07
FRESH MANGOES,49658.68,400.21,0.272,0.335,124.08
ANIMAL CASINGS,12816.18,398.5,0.07,0.334,32.16
OTHERS (BETEL LEAVES & NUTS),14003.48,137.13,0.077,0.115,102.12
ALBUMIN( Eggs & Milk ),2483.48,82.35,0.014,0.069,30.16
WALNUTS,1648.22,52.78,0.009,0.044,31.23
CARDANOL,3884.01,20.4,0.021,0.017,190.39
OTHER MEAT,1030.41,16.32,0.006,0.014,63.14
PROCESSED MEAT,439.61,14.72,0.002,0.012,29.86
OTHER CEREALS,2403.62,12.45,0.013,0.01,193.06
CASEIN,164.39,7.55,0.001,0.006,21.77
CASHEWNUT SHELL LIQUID,721.07,2.69,0.004,0.002,268.06
Total,18271121.32,119400.35,100.0,100.0,153.02
